fonte,tema,periodo,geografia,indicador,valor,unidade,natureza,base_ou_calculo,limitacao
"ANP — vendas municipais","Combustíveis","2023","São Borja/RS","Gasolina C — vendas anuais",10356700,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Não identifica perfil do comprador"
"ANP — vendas municipais","Combustíveis","2024","São Borja/RS","Gasolina C — vendas anuais",15929410,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Não identifica perfil do comprador"
"ANP — vendas municipais","Combustíveis","2023→2024","São Borja/RS","Gasolina C — variação anual",53.81,"%","DADO CALCULADO","(15929410/10356700-1)*100","Não atribuir causalidade"
"ANP — vendas municipais","Combustíveis","2023","São Borja/RS","Etanol hidratado — vendas anuais",359000,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Não identifica perfil do comprador"
"ANP — vendas municipais","Combustíveis","2024","São Borja/RS","Etanol hidratado — vendas anuais",592100,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Não identifica perfil do comprador"
"ANP — vendas municipais","Combustíveis","2023→2024","São Borja/RS","Etanol hidratado — variação anual",64.93,"%","DADO CALCULADO","(592100/359000-1)*100","Não atribuir causalidade"
"ANP — vendas municipais","Combustíveis","2023","São Borja/RS","Óleo diesel — vendas anuais",32426894,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Não identifica perfil do comprador"
"ANP — vendas municipais","Combustíveis","2024","São Borja/RS","Óleo diesel — vendas anuais",49501472,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Não identifica perfil do comprador"
"ANP — vendas municipais","Combustíveis","2023→2024","São Borja/RS","Óleo diesel — variação anual",52.66,"%","DADO CALCULADO","(49501472/32426894-1)*100","Múltiplos usos; não atribuir causalidade"
"ANP — vendas municipais","GLP","2023","São Borja/RS","GLP P13 — vendas anuais",1447655,"kg","DADO OBSERVADO","Arquivo municipal oficial ANP","Preservar P13 separado"
"ANP — vendas municipais","GLP","2024","São Borja/RS","GLP P13 — vendas anuais",1124934,"kg","DADO OBSERVADO","Arquivo municipal oficial ANP","Preservar P13 separado"
"ANP — vendas municipais","GLP","2023→2024","São Borja/RS","GLP P13 — variação anual",-22.29,"%","DADO CALCULADO","(1124934/1447655-1)*100","Não atribuir causalidade"
"ANP — vendas municipais","GLP","2023","São Borja/RS","GLP OUTROS — vendas anuais",229030,"kg","DADO OBSERVADO","Arquivo municipal oficial ANP","Preservar OUTROS separado"
"ANP — vendas municipais","GLP","2024","São Borja/RS","GLP OUTROS — vendas anuais",210685,"kg","DADO OBSERVADO","Arquivo municipal oficial ANP","Preservar OUTROS separado"
"ANP — vendas municipais","GLP","2023→2024","São Borja/RS","GLP OUTROS — variação anual",-8.01,"%","DADO CALCULADO","(210685/229030-1)*100","Não atribuir causalidade"
"ANP — vendas municipais","GLP","2023","São Borja/RS","GLP total calculado P13+OUTROS",1676685,"kg","DADO CALCULADO","1447655+229030","Total analítico; preservar medidas originais"
"ANP — vendas municipais","GLP","2024","São Borja/RS","GLP total calculado P13+OUTROS",1335619,"kg","DADO CALCULADO","1124934+210685","Total analítico; preservar medidas originais"
"ANP — vendas municipais","GLP","2023→2024","São Borja/RS","GLP total calculado — variação",-20.34,"%","DADO CALCULADO","(1335619/1676685-1)*100","Não atribuir causalidade"
"ANP — revendedores em operação","Abastecimento","18/09/2026","São Borja/RS","Revendedores em operação retornados",10,"registros","DADO OBSERVADO","Resposta oficial ANP","Não mede vendas"
"ANP — revendedores em operação","Abastecimento","18/09/2026","São Borja/RS","VIBRA",3,"registros","DADO CALCULADO","Contagem por bandeira/distribuidora","Não é market share"
"ANP — revendedores em operação","Abastecimento","18/09/2026","São Borja/RS","Bandeira Branca",3,"registros","DADO CALCULADO","Contagem por bandeira/distribuidora","Não é market share"
"ANP — revendedores em operação","Abastecimento","18/09/2026","São Borja/RS","IPIRANGA",2,"registros","DADO CALCULADO","Contagem por bandeira/distribuidora","Não é market share"
"ANP — revendedores em operação","Abastecimento","18/09/2026","São Borja/RS","SANTA LUCIA",1,"registro","DADO CALCULADO","Contagem por bandeira/distribuidora","Não é market share"
"ANP — revendedores em operação","Abastecimento","18/09/2026","São Borja/RS","RAIZEN",1,"registro","DADO CALCULADO","Contagem por bandeira/distribuidora","Não é market share"
"Cadastur — Meios de Hospedagem","Turismo/hospitalidade","2T2026","São Borja/RS","Meios cadastrados Regular/Operação",2,"estabelecimentos","DADO OBSERVADO","Arquivo oficial Cadastur","Não equivale à totalidade do alojamento"
"Cadastur — Meios de Hospedagem","Turismo/hospitalidade","2T2026","São Borja/RS","Unidades habitacionais dos 2 registros",90,"UHs","DADO CALCULADO","70+20","Somente oferta cadastrada"
"Cadastur — Meios de Hospedagem","Turismo/hospitalidade","2T2026","São Borja/RS","Leitos dos 2 registros",180,"leitos","DADO CALCULADO","156+24","Somente oferta cadastrada"
"Cadastur — Agências de Turismo","Turismo","2T2026","São Borja/RS","Registros localizados",7,"registros","DADO OBSERVADO","Arquivo oficial Cadastur","1 está Em Implantação"
"Cadastur — Agências de Turismo","Turismo","2T2026","São Borja/RS","Regular / Operação",6,"registros","DADO CALCULADO","7-1 Em Implantação","Não mede volume de negócios"
"Cadastur — Agências de Turismo","Turismo","2T2026","São Borja/RS","Em Implantação",1,"registro","DADO OBSERVADO","Arquivo oficial Cadastur","Não tratar como operação corrente"
