fonte,tema,periodo,geografia,indicador,valor,unidade,natureza,base_calculo_ou_status,limitacao
"ANP — vendas municipais","Combustíveis","2023","São Borja/RS","Gasolina C — vendas anuais",10356700,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Volume vendido no município; não identifica perfil do comprador"
"ANP — vendas municipais","Combustíveis","2024","São Borja/RS","Gasolina C — vendas anuais",15929410,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Volume vendido no município; não identifica perfil do comprador"
"ANP — vendas municipais","Combustíveis","2023→2024","São Borja/RS","Gasolina C — variação anual",53.81,"%","DADO CALCULADO","(15929410/10356700-1)*100","Não atribuir causalidade a turismo, fronteira, agro ou transporte"
"ANP — vendas municipais","Combustíveis","2023","São Borja/RS","Etanol hidratado — vendas anuais",359000,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Volume vendido no município"
"ANP — vendas municipais","Combustíveis","2024","São Borja/RS","Etanol hidratado — vendas anuais",592100,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Volume vendido no município"
"ANP — vendas municipais","Combustíveis","2023→2024","São Borja/RS","Etanol hidratado — variação anual",64.93,"%","DADO CALCULADO","(592100/359000-1)*100","Não atribuir causalidade"
"ANP — vendas municipais","Combustíveis","2023","São Borja/RS","Óleo diesel — vendas anuais",32426894,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Volume vendido no município"
"ANP — vendas municipais","Combustíveis","2024","São Borja/RS","Óleo diesel — vendas anuais",49501472,"litros","DADO OBSERVADO","Arquivo municipal oficial ANP","Volume vendido no município"
"ANP — vendas municipais","Combustíveis","2023→2024","São Borja/RS","Óleo diesel — variação anual",52.66,"%","DADO CALCULADO","(49501472/32426894-1)*100","Não atribuir causalidade; diesel pode refletir múltiplos usos"
"ANP — API Revendedores","Abastecimento","18/09/2026","São Borja/RS","Revendedores varejistas em operação retornados pela API",10,"registros","DADO OBSERVADO","Resposta oficial API ANP, HTTP 200","Registro em operação não mede vendas"
"ANP — API Revendedores","Abastecimento","18/09/2026","São Borja/RS","VIBRA — revendedores cadastrados",3,"registros","DADO CALCULADO","Contagem por distribuidora na resposta de 10 registros","Distribuidora do posto não é market share"
"ANP — API Revendedores","Abastecimento","18/09/2026","São Borja/RS","Bandeira Branca — revendedores cadastrados",3,"registros","DADO CALCULADO","Contagem por distribuidora na resposta","Não mede vendas"
"ANP — API Revendedores","Abastecimento","18/09/2026","São Borja/RS","IPIRANGA — revendedores cadastrados",2,"registros","DADO CALCULADO","Contagem por distribuidora na resposta","Não mede vendas"
"ANP — API Revendedores","Abastecimento","18/09/2026","São Borja/RS","SANTA LUCIA — revendedores cadastrados",1,"registro","DADO CALCULADO","Contagem por distribuidora na resposta","Não mede vendas"
"ANP — API Revendedores","Abastecimento","18/09/2026","São Borja/RS","RAIZEN — revendedores cadastrados",1,"registro","DADO CALCULADO","Contagem por distribuidora na resposta","Não mede vendas"
"Cadastur — Meios de Hospedagem","Turismo/hospitalidade","2T2026","São Borja/RS","Meios de hospedagem cadastrados retornados",2,"estabelecimentos","DADO OBSERVADO","Ambos com situação cadastral Regular e atividade Operação","Cadastur não equivale à totalidade de CNPJs de alojamento"
"Cadastur — Meios de Hospedagem","Turismo/hospitalidade","2T2026","São Borja/RS","Unidades habitacionais dos 2 registros",90,"UHs","DADO CALCULADO","70+20","Capacidade apenas dos meios cadastrados no arquivo"
"Cadastur — Meios de Hospedagem","Turismo/hospitalidade","2T2026","São Borja/RS","Leitos dos 2 registros",180,"leitos","DADO CALCULADO","156+24","Capacidade apenas dos meios cadastrados no arquivo"
"Cadastur — Agências de Turismo","Turismo","2T2026","São Borja/RS","Registros de agências localizados",7,"estabelecimentos/registros","DADO OBSERVADO","Arquivo oficial 2T2026","Uma unidade está Em Implantação"
"Cadastur — Agências de Turismo","Turismo","2T2026","São Borja/RS","Agências em situação Regular / Operação",6,"estabelecimentos/registros","DADO CALCULADO","7 registros menos 1 Em Implantação","Regular/Operação no Cadastur não mede volume de negócios"
"Cadastur — Agências de Turismo","Turismo","2T2026","São Borja/RS","Agência em implantação",1,"estabelecimento/registro","DADO OBSERVADO","Situação Cadastral e Atividade = Em Implantação","Não tratar como operação corrente"
"ANP — vendas municipais","GLP","2023","São Borja/RS","GLP P13 — vendas anuais",1447655,"kg","DADO OBSERVADO","Arquivo municipal oficial ANP","Medida P13 separada de OUTROS"
"ANP — vendas municipais","GLP","2024","São Borja/RS","GLP P13 — vendas anuais",1124934,"kg","DADO OBSERVADO","Arquivo municipal oficial ANP","Medida P13 separada de OUTROS"
"ANP — vendas municipais","GLP","2023→2024","São Borja/RS","GLP P13 — variação anual",-22.29,"%","DADO CALCULADO","(1124934/1447655-1)*100","Não atribuir causalidade"
"ANP — vendas municipais","GLP","2023","São Borja/RS","GLP OUTROS — vendas anuais",229030,"kg","DADO OBSERVADO","Arquivo municipal oficial ANP","Medida OUTROS separada de P13"
"ANP — vendas municipais","GLP","2024","São Borja/RS","GLP OUTROS — vendas anuais",210685,"kg","DADO OBSERVADO","Arquivo municipal oficial ANP","Medida OUTROS separada de P13"
"ANP — vendas municipais","GLP","2023→2024","São Borja/RS","GLP OUTROS — variação anual",-8.01,"%","DADO CALCULADO","(210685/229030-1)*100","Não atribuir causalidade"
"ANP — vendas municipais","GLP","2023","São Borja/RS","GLP total calculado P13+OUTROS",1676685,"kg","DADO CALCULADO","1447655+229030","Soma das duas medidas oficiais; não substituir colunas originais"
"ANP — vendas municipais","GLP","2024","São Borja/RS","GLP total calculado P13+OUTROS",1335619,"kg","DADO CALCULADO","1124934+210685","Soma das duas medidas oficiais; não substituir colunas originais"
"ANP — vendas municipais","GLP","2023→2024","São Borja/RS","GLP total calculado — variação anual",-20.34,"%","DADO CALCULADO","(1335619/1676685-1)*100","Não atribuir causalidade"
