eixo,indicador,periodo,valor,unidade,geografia,natureza,fonte,limitacao
"Beneficiamento RS","Total das indústrias",2023,5722235,"toneladas","Rio Grande do Sul","DADO OBSERVADO","IRGA Ranking Beneficiamento 2023","Beneficiamento físico; não é faturamento"
"Beneficiamento RS","Total das indústrias",2024,5233168,"toneladas","Rio Grande do Sul","DADO OBSERVADO","IRGA Ranking Beneficiamento 2024 corrigido","Beneficiamento físico; não é faturamento"
"Beneficiamento RS","Variação 2023→2024",2023-2024,-8.55,"%","Rio Grande do Sul","DADO CALCULADO","SBMI: (5.233.168 / 5.722.235 - 1) × 100","Variação anual do beneficiamento"
"São Borja — mínimo identificável","Beneficiamento de 4 empresas territorializadas",2023,303619,"toneladas","São Borja","DADO CALCULADO","SBMI: Pirahy + Albaruska + Ciagro + Cerealista Streck, IRGA/Sindarroz","Subconjunto; não é total municipal"
"São Borja — mínimo identificável","Participação no beneficiamento estadual",2023,5.30,"%","São Borja / RS","DADO CALCULADO","Soma das participações IRGA das 4 empresas","Subconjunto; não é market share financeiro"
"São Borja — mínimo identificável","Beneficiamento de 4 empresas territorializadas",2024,325033,"toneladas","São Borja","DADO CALCULADO","SBMI: Pirahy + Albaruska + Ciagro + Cerealista Streck, IRGA/Sindarroz","Subconjunto; não é total municipal"
"São Borja — mínimo identificável","Participação no beneficiamento estadual",2024,6.22,"%","São Borja / RS","DADO CALCULADO","Soma das participações IRGA das 4 empresas","Subconjunto; não é market share financeiro"
"São Borja — mínimo identificável","Variação de volume 2023→2024",2023-2024,7.05,"%","São Borja","DADO CALCULADO","SBMI: (325.033 / 303.619 - 1) × 100","Subconjunto de 4 empresas"
"São Borja — mínimo identificável","Variação da participação estadual",2023-2024,0.92,"p.p.","São Borja / RS","DADO CALCULADO","SBMI: 6,22 - 5,30","Subconjunto de 4 empresas"
"Beneficiamento e saídas RS","Acumulado jan-abr",2025,2331192,"toneladas base casca","Rio Grande do Sul","DADO CALCULADO","Soma mensal IRGA/Taxa CDO 2025","Série 'beneficiamento e saídas'; não é ranking empresarial"
"Beneficiamento e saídas RS","Acumulado jan-abr",2026,2578193,"toneladas base casca","Rio Grande do Sul","DADO OBSERVADO/CALCULADO","IRGA/Taxa CDO 2026 — total jan-abr informado","Dados disponíveis até abr/2026 no arquivo localizado"
"Beneficiamento e saídas RS","Variação jan-abr 2025→2026",2025-2026,10.60,"%","Rio Grande do Sul","DADO CALCULADO","SBMI: (2.578.193 / 2.331.192 - 1) × 100","Comparação de quatro meses; não representa ano completo"
"Vendas indústria arrozeira","Vendas acumuladas em 12 meses","Publicação 23/04/2024",20.28,"R$ bilhões","Rio Grande do Sul","DADO OBSERVADO","Sefaz-RS / RS360","Setor arrozeiro; classificação setorial diferente de NCM"
"Vendas indústria arrozeira","Variação das vendas em 12 meses","Publicação 23/04/2024",17.3,"%","Rio Grande do Sul","DADO OBSERVADO","Sefaz-RS / RS360","Janela móvel de 12 meses da publicação"
"Vendas indústria arrozeira","Aumento absoluto das vendas em 12 meses","Publicação 23/04/2024",2.99,"R$ bilhões","Rio Grande do Sul","DADO OBSERVADO","Sefaz-RS / RS360","Não é valor adicionado"
"Vendas indústria arrozeira","Variação das vendas para outras UFs","Publicação 23/04/2024",32.0,"%","Rio Grande do Sul","DADO OBSERVADO","Sefaz-RS / RS360","Não informa no texto consultado o valor absoluto por destino"
