cnpj,raiz,classe,operador,referencia_inventario,status_provisorio,decisao_provisoria,endereco,lotes,origem_identificacao,evidencia,limitacao,proxima_acao,elegibilidade_provisoria
87345021003304,87345021,CANDIDATO_CORRECAO_MARCA_CNPJ,Candidato a Lojas Pompéia / Lins Ferrao Artigos do Vestuario Ltda,ADICIONAL_RAIZ_87345021,CNPJ_ADICIONAL_ATIVO_CANDIDATO_POMPEIA,Adicionar ao controle; candidato a substituir associação Pompéia do row103,"Rua General Marques 1196, Centro, São Borja-RS",L03-02,CNPJ_REGISTRO,ATIVA; Rua General Marques 1196; diretórios atuais listam Lojas Pompéia no mesmo endereço,"Endereço coincidente é hipótese forte, não prova cadastral da fantasia",Buscar vínculo de primeira parte marca↔CNPJ,NAO_INCLUIR_NO_DENOMINADOR_ATE_RECONCILIACAO
05823159000120,05823159,CNPJ_ADICIONAL_MESMA_RAIZ,"M. H. Moda Intima / G P Junior, Moda Intima Ltda",ADICIONAL_RAIZ_05823159,CNPJ_ADICIONAL_PRIMEIRA_PARTE_ATIVO_RAIZ_MH,Adicionar ao controle; candidato forte a incorporação,"Rua General Osorio 2298 Loja 01, Centro, São Borja-RS",L05-09,CNPJ_REGISTRO,ATIVA; matriz; CNPJ e endereço exibidos no site oficial da marca em 2026,Site oficial lista também loja em General Marques 1014; não converter endereços em unidades sem reconciliação,Mapear CNPJ ↔ função ↔ ponto físico antes de recálculo,NAO_INCLUIR_NO_DENOMINADOR_ATE_RECONCILIACAO
32195385001158,32195385,CNPJ_ADICIONAL_MESMA_RAIZ,Brasil Free Shop Comercio Varejista de Mercadorias Ltda,ADICIONAL_RAIZ_32195385,CNPJ_ADICIONAL_OFICIAL_LISTA_LOJA_FRANCA_SECUNDARIO_ATIVO,Adicionar ao controle; candidato forte a incorporação,"Rua Vereador Eurico Batista da Silva 925, Paraboi, São Borja-RS",L03-08,CNPJ_REGISTRO,Consta na lista oficial estadual de lojas francas; cadastro secundário: ATIVA; aberta 09/06/2025,"Lista oficial confirma autorização, não fluxo/vendas",Confirmar RFB direta e natureza operacional do ponto,NAO_INCLUIR_NO_DENOMINADOR_ATE_RECONCILIACAO
58434608001500,58434608,CNPJ_ADICIONAL_MESMA_RAIZ,RM2S Ltda — marca operacional não identificada,ADICIONAL_RAIZ_58434608,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_RM2S,Adicionar ao controle; não ao denominador canônico ainda,"Rua General Marques 1112, Centro, São Borja-RS",L03-05,CNPJ_REGISTRO,ATIVA; filial; aberta 19/06/2026; Rua General Marques 1112,CNPJ ativo não informa marca de fachada; não assumir MAXX Outlet,Identificar marca/loja e confirmar RFB,NAO_INCLUIR_NO_DENOMINADOR_ATE_RECONCILIACAO
59205031000121,59205031,CNPJ_ADICIONAL_MESMA_RAIZ,Mariza Matoso Pedebos Ltda — matriz,ADICIONAL_RAIZ_59205031,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_JOAO_MARIA,Adicionar ao controle; não ao denominador canônico ainda,"10A Rua Borges do Canto 385 Sala 101, Tiro, São Borja-RS",L12-02,CNPJ_REGISTRO,ATIVA; matriz; aberta 30/01/2025; varejo pet; sem fantasia disponível,Ausência de fantasia não autoriza atribuir automaticamente João e Maria,Identificar marca/ponto operacional e confirmar RFB,NAO_INCLUIR_NO_DENOMINADOR_ATE_RECONCILIACAO
92012467009479,92012467,CNPJ_ADICIONAL_MESMA_RAIZ,Tottal Casa & Lazer / Grazziotin S A,ADICIONAL_RAIZ_92012467,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_GRAZZIOTIN,Adicionar ao controle; não ao denominador canônico ainda,"Rua Eddie Freire Nunes 1999, Centro, São Borja-RS",L02-05,CNPJ_REGISTRO,ATIVA; filial; Rua Eddie Freire Nunes 1999,Situação atual vem de secundária; documento institucional de endereço é triangulação,Confirmar RFB e presença operacional antes de promoção,NAO_INCLUIR_NO_DENOMINADOR_ATE_RECONCILIACAO
92012467012186,92012467,CNPJ_ADICIONAL_MESMA_RAIZ,Por Menos / Grazziotin S A,ADICIONAL_RAIZ_92012467,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_GRAZZIOTIN,Adicionar ao controle; não ao denominador canônico ainda,"Avenida Presidente Vargas 1206, Centro, São Borja-RS",L02-06,CNPJ_REGISTRO,ATIVA; filial; Avenida Presidente Vargas 1206,Fontes secundárias; não prova storefront independente,Confirmar RFB e presença operacional,NAO_INCLUIR_NO_DENOMINADOR_ATE_RECONCILIACAO
92012467026560,92012467,CNPJ_ADICIONAL_MESMA_RAIZ,Tech Box / Grazziotin S A,ADICIONAL_RAIZ_92012467,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_GRAZZIOTIN,Adicionar ao controle; não ao denominador canônico ainda,"Rua General Marques 1066, Centro, São Borja-RS",L02-07,CNPJ_REGISTRO,ATIVA; filial; Rua General Marques 1066,Fontes secundárias; estabelecimento cadastral não equivale a market share,Confirmar RFB e presença operacional,NAO_INCLUIR_NO_DENOMINADOR_ATE_RECONCILIACAO
92012467045190,92012467,CNPJ_ADICIONAL_MESMA_RAIZ,Pormenos / Grazziotin S A,ADICIONAL_RAIZ_92012467,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_GRAZZIOTIN,Adicionar ao controle; não ao denominador canônico ainda,"Rua Candido Falcao 940 Sala 02, Centro, São Borja-RS",L02-08,CNPJ_REGISTRO,ATIVA; filial; Rua Candido Falcao 940 Sala 02,Fontes secundárias; raiz empresarial não é market share,Confirmar RFB e presença operacional,NAO_INCLUIR_NO_DENOMINADOR_ATE_RECONCILIACAO
92293703001145,92293703,CNPJ_ADICIONAL_MESMA_RAIZ,Barraca Missões / GFO Saúde e Nutrição Animal Ltda,ADICIONAL_RAIZ_92293703,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_BARRACA_MISSOES,Adicionar ao controle; candidato forte a incorporação,"Avenida Bernardo de Mello 150, Pirahy, São Borja-RS",L12-06,CNPJ_REGISTRO,ATIVA; filial; aberta 28/10/2025; Barraca Missões; medicamentos veterinários,CNPJ ativo não informa sozinho a função física da filial,Confirmar RFB e presença/função operacional,NAO_INCLUIR_NO_DENOMINADOR_ATE_RECONCILIACAO
