cnpj,classe_origem,linha_referencia,operador_marca,status_provisorio,periodo,endereco,fonte_1,fonte_2,decisao_provisoria,elegibilidade_futura,bloqueio_remanescente,limitacao,proxima_acao,lote
05823159000120,ADICIONAL_RAIZ,ADICIONAL_RAIZ_05823159,"M. H. Moda Intima / G P Junior, Moda Intima Ltda",CNPJ_ADICIONAL_PRIMEIRA_PARTE_ATIVO_RAIZ_MH,2026-09-23,"Rua General Osorio 2298 Loja 01, Centro, São Borja-RS",Site oficial M.H. + Solutudo,https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/g-p-junior-moda-intima-ltda-9414297,Adicionar ao controle; candidato forte a incorporação,APOS_VALIDAR_FUNCAO_FISICA_E_NAO_DUPLICIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,Site oficial lista também loja em General Marques 1014; não converter endereços em unidades sem reconciliação,Mapear CNPJ ↔ função ↔ ponto físico antes de recálculo,L05-09
32195385001158,ADICIONAL_RAIZ,ADICIONAL_RAIZ_32195385,Brasil Free Shop Comercio Varejista de Mercadorias Ltda,CNPJ_ADICIONAL_OFICIAL_LISTA_LOJA_FRANCA_SECUNDARIO_ATIVO,2026-09-23,"Rua Vereador Eurico Batista da Silva 925, Paraboi, São Borja-RS",Receita Estadual/RS + Casa dos Dados,https://casadosdados.com.br/solucao/cnpj/brasil-free-shop-comercio-varejista-de-mercadorias-ltda-32195385001158,Adicionar ao controle; candidato forte a incorporação,APOS_VALIDAR_FUNCAO_FISICA_E_NAO_DUPLICIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,"Lista oficial confirma autorização, não fluxo/vendas",Confirmar RFB direta e natureza operacional do ponto,L03-08
58434608001500,ADICIONAL_RAIZ,ADICIONAL_RAIZ_58434608,RM2S Ltda — marca operacional não identificada,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_RM2S,2026-09-23,"Rua General Marques 1112, Centro, São Borja-RS",CNPJ.biz + raiz RM2S,https://casadosdados.com.br/solucao/cnpj/rm2s-ltda-58434608001003,Adicionar ao controle; não ao denominador canônico ainda,APOS_VALIDAR_FUNCAO_FISICA_E_NAO_DUPLICIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,CNPJ ativo não informa marca de fachada; não assumir MAXX Outlet,Identificar marca/loja e confirmar RFB,L03-05
59205031000121,ADICIONAL_RAIZ,ADICIONAL_RAIZ_59205031,Mariza Matoso Pedebos Ltda — matriz,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_JOAO_MARIA,2026-09-23,"10A Rua Borges do Canto 385 Sala 101, Tiro, São Borja-RS",Econodata + CNPJ.biz,https://cnpj.biz/59205031000121,Adicionar ao controle; não ao denominador canônico ainda,APOS_VALIDAR_FUNCAO_FISICA_E_NAO_DUPLICIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,Ausência de fantasia não autoriza atribuir automaticamente João e Maria,Identificar marca/ponto operacional e confirmar RFB,L12-02
92293703001145,ADICIONAL_RAIZ,ADICIONAL_RAIZ_92293703,Barraca Missões / GFO Saúde e Nutrição Animal Ltda,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_BARRACA_MISSOES,2026-09-23,"Avenida Bernardo de Mello 150, Pirahy, São Borja-RS",Casa dos Dados + Serasa Experian,https://empresas.serasaexperian.com.br/consulta-gratis/GFO-SAUDE-E-NUTRICAO-ANIMAL-LTDA-92293703001145,Adicionar ao controle; candidato forte a incorporação,APOS_VALIDAR_FUNCAO_FISICA_E_NAO_DUPLICIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,CNPJ ativo não informa sozinho a função física da filial,Confirmar RFB e presença/função operacional,L12-06
93202695000256,ADICIONAL_RAIZ,ADICIONAL_RAIZ_93202695,Jose Altamir Silveira da Rosa Ltda — marca operacional não confirmada,CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_REQUINTE,2026-09-23,"Avenida Presidente Vargas 2055 Sala 1, Centro, São Borja-RS",Solutudo + Cirtrox,https://www.cirtrox.com.br/consulta-empresas/empresa/92012467019008-franco-giorgi,Adicionar ao controle; não ao denominador canônico ainda,APOS_VALIDAR_FUNCAO_FISICA_E_NAO_DUPLICIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,CNPJ ativo não comprova marca ou storefront independente,Identificar marca operacional e confirmar RFB,L05-02
87345021003304,CANDIDATO_CORRECAO_ASSOCIACAO_MARCA,ADICIONAL_RAIZ_87345021,Candidato a Lojas Pompéia / Lins Ferrao Artigos do Vestuario Ltda,CNPJ_ADICIONAL_ATIVO_CANDIDATO_POMPEIA,2026-09-23,"Rua General Marques 1196, Centro, São Borja-RS",Cirtrox + Solutudo,https://www.solutudo.com.br/empresas/rs/s-borja/roupas%2Be%2Bacessorios,Adicionar ao controle; candidato a substituir associação Pompéia do row103,NAO_AINDA_VINCULO_DIRETO_PENDENTE,VINCULO_EXPLICITO_MARCA_CNPJ,"Endereço coincidente é hipótese forte, não prova cadastral da fantasia",Buscar vínculo de primeira parte marca↔CNPJ,L03-02
46083011000183,CANDIDATO_CORRENTE_MARCA,127,Excêntrica / Pedro Roberto da Silva Quoos,MARCA_ATUAL_CNPJ_CANDIDATO_FORTE_EXCENTRICA,2026-09-24,"Rua General Marques 939, Centro, São Borja-RS",TodosNegocios,Nacional Consultas + FGTAS,Presença da marca resolvida; CNPJ permanece candidato forte,NAO_AINDA_VINCULO_DIRETO_PENDENTE,VINCULO_EXPLICITO_MARCA_CNPJ,Fantasia NOAH em fonte institucional e CNAE principal lanchonete,Buscar vínculo explícito Excêntrica↔CNPJ,L19-03
87236758000101,CANDIDATO_FORTE_LINHA_SEM_CNPJ,213,Marco Relojoeiro,CNPJ_CANDIDATO_FORTE_ENDERECO_CNAE_SOCIO_COMPATIVEL,2026-09-24,"Rua General Osorio 2215, Centro, São Borja-RS",Citiservi + CNPJ.biz,https://cnpj.biz/87236758000101,Manter 87236758000101 como candidato forte; não preencher canonicamente ainda,NAO_AINDA_VINCULO_DIRETO_PENDENTE,VINCULO_EXPLICITO_MARCA_CNPJ,"Prédio possui outras pessoas jurídicas; convergência forte, mas não há fonte declarando a marca como fantasia da Telo e Telo Ltda","Buscar NF-e, IE, alvará, telefone completo cadastral ou primeira parte",L18-06
97093694000190,CANDIDATO_FORTE_LINHA_SEM_CNPJ,123,7 Povos Confecções e Calçados São Borja,CNPJ_CANDIDATO_FORTE_MARCA_ENDERECO_TEMPORAL_DIVERGENTE,2026-09-24,Histórico: Rua Candido Falcao 1227/1233; marca 2026: Rua General Marques 978,Solutudo + SIMUSB,https://simusb.blogspot.com/p/empresas-conveniadas.html,Manter como candidato forte; não preencher canonicamente ainda,NAO_AINDA_VINCULO_DIRETO_PENDENTE,VINCULO_EXPLICITO_MARCA_CNPJ,"Associação é forte, mas falta documento que una explicitamente a marca atual em General Marques 978 ao CNPJ candidato","Buscar NF-e, IE, alvará ou fonte oficial/primeira parte marca↔CNPJ",L16-02
