grupo_analitico,storefronts,operator_keys,raizes_multiunidade_no_grupo,storefronts_em_raizes_multiunidade,share_storefronts_em_raizes_multiunidade_pct,maior_operator_key_unidades,maior_operator_key_share_pct,maiores_operator_keys,sensibilidade_storefronts,sensibilidade_operator_keys,abrangencia,periodo_referencia,limitacao
MODA_CALCADOS_ACESSORIOS,57,51,4,10,17.54,4,7.02,Grupo Grazziotin,56,50,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
PET_VETERINARIA_AGRO,20,19,1,2,10.00,2,10.00,Cia dos Bichos,20,19,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
JOALHERIA_OPTICA_RELOJOARIA,12,12,0,0,0.00,1,8.33,RAIZ_90241498 | RAIZ_49552224 | RAIZ_31153867 | RAIZ_92274166 | RAIZ_27792396 | RAIZ_26102738 | RAIZ_41391545 | RAIZ_19326443 | RAIZ_47696043 | RAIZ_96491683 | RAIZ_87236758 | Grupo Grazziotin,12,12,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
CASA_UTILIDADES_PRESENTES_DECORACAO,7,7,0,0,0.00,1,14.29,RAIZ_91252635 | RAIZ_66405682 | RAIZ_48341505 | RAIZ_51758623 | RAIZ_23423360 | RAIZ_90072059 | Grupo Grazziotin,7,7,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
ELETRODOMESTICOS_AUDIO_VIDEO,7,5,2,4,57.14,2,28.57,Lojas Quero-Quero | Lojas Becker,7,5,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
MISTO_MULTISSEGMENTO,5,5,0,0,0.00,1,20.00,RAIZ_96662168 | RAIZ_46746201 | RAIZ_11263905 | RAIZ_42027991 | RAIZ_89271464,5,5,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
LOJA_FRANCA_DUTY_FREE,3,1,1,3,100.00,3,100.00,Brasil Free Shop,3,1,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
ARMARINHO_TECIDOS,2,2,0,0,0.00,1,50.00,RAIZ_00664113 | RAIZ_62201240,2,2,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
DEPARTAMENTOS_MAGAZINES,2,2,0,0,0.00,1,50.00,RAIZ_47960950 | RAIZ_00776574,2,2,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
FERRAGENS_MATERIAIS_ELETRICOS,2,2,0,0,0.00,1,50.00,RAIZ_09674510 | RAIZ_26003402,2,2,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
PAPELARIA,2,2,0,0,0.00,1,50.00,RAIZ_92691104 | RAIZ_24495873,2,2,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
ACESSORIOS_DISPOSITIVOS_MOVEIS,1,1,0,0,0.00,1,100.00,RAIZ_33544751,1,1,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
ARTIGOS_MILITARES,1,1,0,0,0.00,1,100.00,RAIZ_20929450,1,1,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
MOVEIS,1,1,0,0,0.00,1,100.00,RAIZ_08717165,1,1,São Borja/RS,2026-09-24,"Participações calculadas em número de storefronts; não representam faturamento, market share ou poder de mercado."
