prioridade,impacto,origem,sheet_row,operador_marca,cnpj,raiz,status_origem,regra_inclusao,pendencia,lote_origem,observacao
P0,CONFLITO_CADASTRAL_AINDA_BLOQUEIA,CNPJ_ORIGINAL_103,122,Fantasia: 7 Povos Kids / Razão Social: Lenise Goulart Morgental (Cnpj 62.201.625/0001-79),62201625000179,62201625,CONFLITO_CADASTRAL,PENDENTE_RESOLVER_STATUS_CADASTRAL,Priorizar RFB oficial/base integral e evidência fiscal/municipal recente,L06-01,
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,ADICIONAL_RAIZ_05823159,"M. H. Moda Intima / G P Junior, Moda Intima Ltda",05823159000120,05823159,ADICIONAL_RAIZ,PENDENTE_FUNCAO_FISICA_DA_UNIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,L05-09,Adicionar ao controle; candidato forte a incorporação
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_ORIGINAL_103,100,Fantasia: Loja Marlin Fashion / Razão Social: Marciel Murad Ibrahim (Cnpj 18.556.994/0001-92),18556994000192,18556994,P0_RESOLVIDO_PRESENCA_OPERACIONAL_CNPJ_INAPTO,INCLUIR_OPERACAO_CNPJ_INAPTO_IDENTIDADE_P1,IDENTIFICAR_CNPJ_CORRENTE_OU_REGULARIDADE_JURIDICA,L21-01,Loja Marlin Fashion operacionalmente atual; CNPJ 18.556.994/0001-92 não deve ser tratado como ativo.
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,130,Ka Lopes Fitness,15009711000102,15009711,CANDIDATO_HISTORICO_FORTE,HISTORICO_FORTE_CNPJ_CORRENTE_PENDENTE,IDENTIFICAR_CNPJ_CORRENTE_DA_MARCA,L17-01,Não preencher canonicamente; preservar 15009711000102 como candidato histórico
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,156,Rilu Tecidos / Socoloski & Socoloski Comercio de Tecidos Ltda,00664113000191,00664113,CONTINUIDADE_CANDIDATA_MARCA,PENDENTE_EQUIVALENCIA_OPERADOR_MARCA,EQUIVALENCIA_RILU_ARMARINHOS_VS_RILU_TECIDOS,L19-07,Excluir CNPJ histórico baixado; manter operação Rilu atual em P1 até fechar equivalência
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,182,Veterinaria Sao Francisco / Mario Lucio Saraiva Goncalves,03243241000150,03243241,HOMONIMO_ALTERNATIVO,PENDENTE_RESOLVER_HOMONIMIA_OU_SUCESSAO,RESOLVER_HOMONIMIA_SUCESSAO,L10-06,Manter CNPJ original com marca pendente; registrar 03243241000150 em controle separado
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,ADICIONAL_RAIZ_32195385,Brasil Free Shop Comercio Varejista de Mercadorias Ltda,32195385001158,32195385,ADICIONAL_RAIZ,PENDENTE_FUNCAO_FISICA_DA_UNIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,L03-08,Adicionar ao controle; candidato forte a incorporação
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,127,Excêntrica / Pedro Roberto da Silva Quoos,46083011000183,46083011,CANDIDATO_CORRENTE_MARCA,PENDENTE_VINCULO_DIRETO_MARCA_CNPJ,VINCULO_EXPLICITO_MARCA_CNPJ,L19-03,Presença da marca resolvida; CNPJ permanece candidato forte
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,161,Bella Cestas & Presentes,48341505000146,48341505,CANDIDATO_MODERADO_LINHA_SEM_CNPJ,PENDENTE_PROVA_IDENTIDADE_JURIDICA,PROVAR_IDENTIDADE_JURIDICA,L18-04,Manter linha sem CNPJ; registrar 48341505000146 apenas como candidato moderado
P1,IDENTIDADE_UNIDADE_SUCESSAO_OU_FUNCAO_FISICA,CNPJ_EXTERNO_AOS_103,ADICIONAL_RAIZ_58434608,RM2S Ltda — marca operacional não identificada,58434608001500,58434608,ADICIONAL_RAIZ,PENDENTE_FUNCAO_FISICA_DA_UNIDADE,FUNCAO_FISICA_STORE_FRONT_VS_OUTRA_UNIDADE,L03-05,Adicionar ao controle; não ao denominador canônico ainda
