sheet_row,inventario_nome,subcategoria,cnpj_unidade,cnpj_base,cnpj_duplicate_in_inventory,unique_root_units,root_multiunit_flag,source,periodo_referencia,limitacao
97,Fantasia: Mb Lojas / Razão Social: Fernandez Comercio de Medicamentos S.a. (Cnpj 93.641.710/0003-43),Loja de Roupas e sapatos,93641710000343,93641710,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
98,Fantasia: Camponesa New Fashion / Razão Social: Bortoluzzi e Campos LTDA (Cnpj 94.012.382/0001-17),"Loja de Roupas, Sapatos e Assessórios",94012382000117,94012382,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
99,Fantasia: Dress / Razão Social: Taline Ariel Kubaski - MEI (Cnpj 13.793.236/0001-74),"Loja de Roupas, Sapatos e Assessórios",13793236000174,13793236,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
100,Fantasia: Loja Marlin Fashion / Razão Social: Marciel Murad Ibrahim (Cnpj 18.556.994/0001-92),Loja de Roupas e Sapatos,18556994000192,18556994,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
101,Fantasia: Loja It Girls / Razão Social: Manoela Aranda Soares (Cnpj 32.894.094/0001-86),Loja de Roupas e Assessórios,32894094000186,32894094,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
102,Fantasia: L'amour Boutique / Razão Social: Nilda Elisa da Silva Martins (Cnpj 23.124.000/0001-07),"Loja de Roupas, Sapatos e Assessórios",23124000000107,23124000,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
103,Fantasia: Lojas Pompeia / Razão Social: Lins Ferrao Artigos do Vestuario Ltda (Cnpj 87.345.021/0122-14),"Loja de Roupas, Sapatos e Assessórios",87345021012214,87345021,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
104,Fantasia: Cacio Moda Masculina / Razão Social: Vanessa Javares Miotti Ltda (Cnpj 04.258.324/0001-85),"Loja de Roupas, Sapatos e Assessórios",04258324000185,04258324,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
105,Fantasia: Lojas Monjuá / Razão Social: Lojas Tres Passos Ltda (Cnpj 98.102.650/0023-58),"Loja de Roupas, Sapatos e Assessórios",98102650002358,98102650,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
106,Fantasia: Lolita Lingerie / Razão Social: Rogeria Tatiane Machado Loureiro (Cnpj 10.343.219/0002-28) / Filial,"Loja de Roupas, Sapatos e Assessórios",10343219000228,10343219,NÃO,2,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
107,Fantasia: Volupia Moda Intima / Razão Social: Rogeria Tatiane Machado Loureiro (Cnpj 10.343.219/0001-47) / Matriz,"Loja de Roupas, Sapatos e Assessórios",10343219000147,10343219,NÃO,2,SIM,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
108,Fantasia: Mega City / Razão Social: Hiad Ahmad AL Jamal (Cnpj 13.956.162/0001-40),"Loja de Roupas, Sapatos e Assessórios",13956162000140,13956162,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
109,Fantasia: Luna Modas / Razão Social: Narieli Sarmento Picinin LTDA (Cnpj 60.167.511/0001-24),"Loja de Roupas, Sapatos e Assessórios",60167511000124,60167511,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
110,Fantasia: Su Store / Razão Social: Leonardo de Souza Storch (Cnpj 45.897.087/0001-80),"Loja de Roupas, Sapatos e Assessórios",45897087000180,45897087,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
111,Fantasia: Requinte Modas / Razão Social: Jose Altamir Silveira da Rosa Ltda (Cnpj 93.202.695/0006-80) / Filial - 9,"Loja de Roupas, Sapatos e Assessórios",93202695000680,93202695,NÃO,1,NÃO,Empresas de Varejo de São Borja — inventário POM/documental,2026,"Estrutura do inventário; CNPJ/raiz não prova atividade atual, market share ou marca/rede completa."
