operator_key,raiz_referencia,operator_name_group,storefronts_cenario_base,share_unidades_base_pct,storefronts_sensibilidade,share_unidades_sensibilidade_pct,multi_storefront_flag,brand_pattern,segment_pattern,storefront_ids,cnpjs_referencia,marcas_storefronts,grupos_analiticos,operator_key_basis,limitacao
RAIZ_92012467,92012467,Grupo Grazziotin,6,4.92,6,4.96,1,MULTIMARCA_CONFIRMADA,MULTISSEGMENTO_CONFIRMADO,INV_116 | INV_117 | ADD_GRAZZIOTIN_TOTTAL | ADD_GRAZZIOTIN_PORMENOS_0121 | ADD_GRAZZIOTIN_TECHBOX | ADD_GRAZZIOTIN_PORMENOS_0451,92012467019008 | 92012467003780 | 92012467009479 | 92012467012186 | 92012467026560 | 92012467045190,Fantasia: Franco Giorgi / Razão Social: Grazziotin S A (Cnpj 92.012.467/0190-08) | Fantasia: Lojas Grazziotin / Razão Social: Grazziotin S A (Cnpj 92.012.467/0037-80) | Tottal Casa & Lazer / Grazziotin S.A. | Por Menos / Grazziotin S.A. | Tech Box / Grazziotin S.A. | Pormenos / Grazziotin S.A.,MODA_CALCADOS_ACESSORIOS | CASA_UTILIDADES_PRESENTES_DECORACAO | JOALHERIA_OPTICA_RELOJOARIA,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_32195385,32195385,Brasil Free Shop Comércio Varejista de Mercadorias Ltda,3,2.46,3,2.48,1,MULTIMARCA_CONFIRMADA,MESMO_GRUPO_ANALITICO,INV_176 | INV_177 | ADD_BRASIL_FREE_SHOP_0011,32195385000690 | 32195385001239 | 32195385001158,Fantasia: Brasil Free Shop / Razão Social: Brasil Free Shop Comercio Varejista de Mercadorias Ltda (Cnpj 32.195.385/0006-90) | Fantasia: Monaco Freeshop / Razão Social: Brasil Free Shop Comercio Varejista de Mercadorias Ltda. | Brasil Free Shop — filial Paraboi,LOJA_FRANCA_DUTY_FREE,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_07195827,07195827,Daniela Pitrovski Dornelles / Cia dos Bichos,2,1.64,2,1.65,1,MESMA_MARCA_OU_VARIANTE,MESMO_GRUPO_ANALITICO,INV_183 | INV_187,07195827000147 | 07195827000228,Fantasia: Companhia dos Bichos / Razão Social: Daniela Pitrovski Dornelles (Cnpj 07.195.827/0001-47) | Fantasia: Cia dos Bichos (Aquarium) / Razão Social: Daniela Pitrovski Dornelles (Cnpj 07.195.827/0002-28) / Filial,PET_VETERINARIA_AGRO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_93202695,93202695,José Altamir Silveira da Rosa Ltda,2,1.64,2,1.65,1,MARCA_PENDENTE_EM_UMA_UNIDADE,MESMO_GRUPO_ANALITICO,INV_111 | ADD_REQUINTE_0002,93202695000680 | 93202695000256,Fantasia: Requinte Modas / Razão Social: Jose Altamir Silveira da Rosa Ltda (Cnpj 93.202.695/0006-80) / Filial - 9 | José Altamir Silveira da Rosa Ltda — filial Presidente Vargas,MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_87345021,87345021,Lins Ferrão Artigos do Vestuário Ltda,2,1.64,2,1.65,1,MULTIMARCA_CONFIRMADA,MESMO_GRUPO_ANALITICO,INV_103 | ADD_POMPEIA_0033,87345021012214 | 87345021003304,Gang / Lins Ferrão | Lojas Pompéia / Lins Ferrão,MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_04415928,04415928,Lojas Becker Ltda,2,1.64,2,1.65,1,MESMA_MARCA,MESMO_GRUPO_ANALITICO,INV_173 | INV_174,04415928004347 | 04415928021608,Fantasia: Lojas Becker / Razão Social: Lojas Becker Ltda (Cnpj 04.415.928/0043-47) | Fantasia: Lojas Becker / Razão Social: Lojas Becker Ltda (Cnpj 04.415.928/0216-08),ELETRODOMESTICOS_AUDIO_VIDEO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_96418264,96418264,Lojas Quero-Quero S.A.,2,1.64,2,1.65,1,MESMA_MARCA,MESMO_GRUPO_ANALITICO,INV_168 | INV_169,96418264035781 | 96418264002859,Fantasia: Lojas Quero Quero / Razão Social: Lojas Quero-Quero S.a. (Cnpj 96.418.264/0357-81) | Fantasia: Lojas Quero Quero / Razão Social: Lojas Quero-Quero S.a. (Cnpj 96.418.264/0357-81),ELETRODOMESTICOS_AUDIO_VIDEO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_10343219,10343219,Rogéria Tatiane Machado Loureiro,2,1.64,2,1.65,1,MULTIMARCA_CONFIRMADA,MESMO_GRUPO_ANALITICO,INV_106 | INV_107,10343219000228 | 10343219000147,Fantasia: Lolita Lingerie / Razão Social: Rogeria Tatiane Machado Loureiro (Cnpj 10.343.219/0002-28) / Filial | Fantasia: Volupia Moda Intima / Razão Social: Rogeria Tatiane Machado Loureiro (Cnpj 10.343.219/0001-47) / Matriz,MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_97093694,97093694,7 Povos Confecções e Calçados São Borja,1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_123,97093694000190,7 Povos Confecções e Calçados São Borja,MODA_CALCADOS_ACESSORIOS,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
RAIZ_66405682,66405682,Amei Presentes Criativos,1,0.82,1,0.83,0,SINGLE_STOREFRONT,SINGLE_STOREFRONT,INV_160,66405682000120,Amei Presentes Criativos,CASA_UTILIDADES_PRESENTES_DECORACAO,RAIZ_REFERENCIA_CNPJ_CORRENTE_OU_CANDIDATO,Participação calculada em número de storefronts; não representa faturamento ou market share.
