sheet_row,inventario_nome,subcategoria,cnpj,raiz,status_provisorio,classe_fechamento,situacao_auditoria,evidencia,decisao_provisoria,limitacao,proxima_acao,registro_lote,bloqueio_estrutural
97,Fantasia: Mb Lojas / Razão Social: Fernandez Comercio de Medicamentos S.a. (Cnpj 93.641.710/0003-43),Loja de Roupas e sapatos,93641710000343,93641710,CNPJ_DOCUMENTAL_BAIXADO_DESDE_2014,BAIXADO,BAIXADA_EM_FONTE,BAIXADA desde 17/03/2014 por encerramento/liquidação voluntária; fantasia Mb Lojas; CNAE principal comércio varejista de calçados,,Fonte secundária; eventual continuidade da marca sob outro CNPJ não investigada neste lote,Buscar eventual CNPJ sucessor antes de fechar universo,L04-01,SIM
98,Fantasia: Camponesa New Fashion / Razão Social: Bortoluzzi e Campos LTDA (Cnpj 94.012.382/0001-17),"Loja de Roupas, Sapatos e Assessórios",94012382000117,94012382,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; CNAE vestuário e secundário calçados; Rua Vereador Eddie Freire Nunes 1839,,Fontes secundárias; não medem intensidade operacional,Confirmar RFB oficial,L04-02,NÃO
99,Fantasia: Dress / Razão Social: Taline Ariel Kubaski - MEI (Cnpj 13.793.236/0001-74),"Loja de Roupas, Sapatos e Assessórios",13793236000174,13793236,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; CNAE principal vestuário; Avenida Presidente Vargas 1941 Sala 01,,Uma fonte cadastral secundária nesta rodada,Triangular com segunda fonte/primeira parte e confirmar RFB,L04-03,NÃO
100,Fantasia: Loja Marlin Fashion / Razão Social: Marciel Murad Ibrahim (Cnpj 18.556.994/0001-92),Loja de Roupas e Sapatos,18556994000192,18556994,CNPJ_SECUNDARIO_INAPTO_DESDE_20260519,INAPTO,INAPTA_EM_FONTE,INAPTA desde 19/05/2026 por omissão de declarações segundo fontes cadastrais recentes,,Inapta não equivale automaticamente a estabelecimento fechado,Buscar presença operacional recente e confirmar RFB,L04-04,SIM
101,Fantasia: Loja It Girls / Razão Social: Manoela Aranda Soares (Cnpj 32.894.094/0001-86),Loja de Roupas e Assessórios,32894094000186,32894094,CNPJ_DOCUMENTAL_BAIXADO_DESDE_2021,BAIXADO,BAIXADA_EM_FONTE,BAIXADA desde 08/10/2021 por encerramento/liquidação voluntária,,Fonte secundária; continuidade de marca não demonstrada,Buscar eventual CNPJ sucessor,L04-05,SIM
102,Fantasia: L'amour Boutique / Razão Social: Nilda Elisa da Silva Martins (Cnpj 23.124.000/0001-07),"Loja de Roupas, Sapatos e Assessórios",23124000000107,23124000,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; CNAE vestuário; secundários incluem calçados e joalheria,,Fontes secundárias; não medem presença física efetiva,Confirmar RFB oficial,L04-06,NÃO
103,Fantasia: Lojas Pompeia / Razão Social: Lins Ferrao Artigos do Vestuario Ltda (Cnpj 87.345.021/0122-14),"Loja de Roupas, Sapatos e Assessórios",87345021012214,87345021,CNPJ_ATIVO_MARCA_INVENTARIO_INCOMPATIVEL_ASSOCIACAO_GANG_HIPOTESE,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; Rua Candido Falcao 1057; diretórios atuais associam Gang ao endereço; antigo CNPJ Gang no ponto aparece baixado,,Coincidência de endereço com Gang não prova vínculo jurídico marca↔CNPJ,Buscar fonte de primeira parte Lins Ferrão/Gang e confirmar RFB,L03-01,NÃO
104,Fantasia: Cacio Moda Masculina / Razão Social: Vanessa Javares Miotti Ltda (Cnpj 04.258.324/0001-85),"Loja de Roupas, Sapatos e Assessórios",04258324000185,04258324,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; CNAE principal vestuário; Rua General Marques 876,,Uma fonte cadastral secundária nesta rodada,Triangular com segunda fonte/primeira parte e confirmar RFB,L04-07,NÃO
105,Fantasia: Lojas Monjuá / Razão Social: Lojas Tres Passos Ltda (Cnpj 98.102.650/0023-58),"Loja de Roupas, Sapatos e Assessórios",98102650002358,98102650,CNPJ_ATIVO_ENDERECO_COMPATIVEL_MARCA_MONJUA_FANTASIA_RFB_TECIDOS_TRES_PASSOS,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; fantasia cadastral TECIDOS TRES PASSOS; Rua General Marques 1076; Monjuá mantém presença corrente em São Borja,,Presença da marca na cidade não prova isoladamente vínculo jurídico; endereço convergente reforça associação,Confirmar marca↔CNPJ por fonte de primeira parte/nota fiscal ou RFB,L03-03,NÃO
106,Fantasia: Lolita Lingerie / Razão Social: Rogeria Tatiane Machado Loureiro (Cnpj 10.343.219/0002-28) / Filial,"Loja de Roupas, Sapatos e Assessórios",10343219000228,10343219,CNPJ_SECUNDARIO_ATIVO_MULTIUNIDADE_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; filial; abertura 04/10/2022; endereço distinto da matriz,,Situação cadastral por republicadores; CNPJ não prova market share/storefront independente,Confirmar RFB oficial; não recalcular estrutura,L02-01,NÃO
107,Fantasia: Volupia Moda Intima / Razão Social: Rogeria Tatiane Machado Loureiro (Cnpj 10.343.219/0001-47) / Matriz,"Loja de Roupas, Sapatos e Assessórios",10343219000147,10343219,CNPJ_SECUNDARIO_ATIVO_MULTIUNIDADE_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; ficha lista uma filial ativa da mesma raiz em São Borja,,Fontes secundárias; dois CNPJs não equivalem a market share,Confirmar RFB oficial; preservar ambos,L02-02,NÃO
108,Fantasia: Mega City / Razão Social: Hiad Ahmad AL Jamal (Cnpj 13.956.162/0001-40),"Loja de Roupas, Sapatos e Assessórios",13956162000140,13956162,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Mega City; vestuário principal; duas fontes atuais convergem,,CNAEs secundários amplos não autorizam inferir participação em outros mercados,Confirmar RFB oficial,L15-01,NÃO
109,Fantasia: Luna Modas / Razão Social: Narieli Sarmento Picinin LTDA (Cnpj 60.167.511/0001-24),"Loja de Roupas, Sapatos e Assessórios",60167511000124,60167511,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Luna Modas; aberta 31/03/2025; vestuário principal e calçados secundário,,Fontes secundárias não medem intensidade operacional/faturamento,Confirmar RFB oficial,L15-02,NÃO
110,Fantasia: Su Store / Razão Social: Leonardo de Souza Storch (Cnpj 45.897.087/0001-80),"Loja de Roupas, Sapatos e Assessórios",45897087000180,45897087,CNPJ_SECUNDARIO_ATIVO_REDE_INTERMUNICIPAL_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Su Store; vestuário principal; filial ativa em Santiago fora do recorte municipal,,Filial de Santiago não integra oferta municipal,Confirmar RFB e preservar estrutura matriz/filial,L15-03,NÃO
111,Fantasia: Requinte Modas / Razão Social: Jose Altamir Silveira da Rosa Ltda (Cnpj 93.202.695/0006-80) / Filial - 9,"Loja de Roupas, Sapatos e Assessórios",93202695000680,93202695,CNPJ_SECUNDARIO_ATIVO_RAIZ_REQUINTE_SUBCOBERTA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; filial; Requinte Modas; Rua General Osorio 2051,,Fonte principal é republicador; raiz não equivale a número de lojas,Confirmar RFB e presença operacional; registrar /0002-56 como adicional,L05-01,SIM
112,Fantasia: D' Castro Camisaria / Razão Social: (Cnpj 28.064.447/0001-43),"Loja de Roupas, Sapatos e Assessórios",28064447000143,28064447,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; fantasia D Castro Camisaria; CNAE principal vestuário,,Fontes secundárias; não medem intensidade operacional,Confirmar RFB oficial,L05-03,NÃO
113,Fantasia: Linda Variedades / Razão Social: Changyong Duan (Cnpj 48.346.814/0001-09),Loja de Roupas  e Assessórios,48346814000109,48346814,CNPJ_SECUNDARIO_ATIVO_COLISAO_DE_MARCA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Linda Variedades; Rua Candido Falcao 1201 Sala 01,,Mesmo nome fantasia em raízes diferentes não prova relação societária,Preservar separadamente e confirmar operação física,L05-04,SIM
114,Fantasia: Linda Variedades / Razão Social: F. Zhu (Cnpj 55.498.031/0001-06),Loja de Roupas  e Assessórios,55498031000106,55498031,CNPJ_SECUNDARIO_ATIVO_COLISAO_DE_MARCA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; Linda Variedades; aberta 12/06/2024; Rua General Marques 983,,Coincidência de fantasia não autoriza inferir mesma empresa ou rede,Preservar separadamente; confirmar operação física,L05-05,SIM
115,Fantasia: Kolwertn Multimarcas / Razão Social: CR Comércio do Vestuário Ltda (Cnpj 94.072.782/0001-18),Loja de Roupas e Assessórios,94072782000118,94072782,CNPJ_SECUNDARIO_ATIVO_MARCA_INVENTARIO_NAO_REVALIDADA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; matriz; vestuário; Avenida Presidente Vargas 1952,,"Fontes revalidam pessoa jurídica, não nome de fachada Kolwertn",Buscar primeira parte/redes da marca e confirmar RFB,L05-06,NÃO
116,Fantasia: Franco Giorgi / Razão Social: Grazziotin S A (Cnpj 92.012.467/0190-08),"Loja de Roupas, Sapatos e Assessórios",92012467019008,92012467,CNPJ_SECUNDARIO_ATIVO_RAIZ_SUBCOBERTA_COLOCALIZACAO,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; filial; fantasia Franco Giorgi; atual Rua General Marques 969 Sala 102,,Co-localização no nº 969 com /0037-80 impede converter CNPJs em lojas físicas,Confirmar RFB e mapear unidade física/marca,L02-03,SIM
117,Fantasia: Lojas Grazziotin / Razão Social: Grazziotin S A (Cnpj 92.012.467/0037-80),"Loja de confRoupas, Sapatos e Assessórios",92012467003780,92012467,CNPJ_SECUNDARIO_ATIVO_MARCA_ATUALIZADA_RAIZ_SUBCOBERTA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; filial; fantasia cadastral GZT EXPRESS; Rua General Marques 969 Sala 101,,Republicadores da RFB; co-localização com Franco Giorgi não prova storefront distinto,Confirmar RFB e documentar transição de fantasia/endereço,L02-04,SIM
118,Fantasia: Peguei da Vick / Razão Social: L V Comercio e Vestuario LTDA (Cnpj 53.529.949/0001-40),"Loja de Roupas, Sapatos e Assessórios",53529949000140,53529949,CNPJ_SECUNDARIO_ATIVO_COMPATIVEL,ATIVO_COMPATIVEL,ATIVA_EM_EVIDENCIA,ATIVA; matriz; fantasia PEGUEI DA VICK; página atualizada em 09/08/2026,,Uma fonte cadastral substantiva nesta rodada,Triangular com segunda fonte/primeira parte e confirmar RFB,L05-07,NÃO
119,"Fantasia: M.h. Moda Intima / Razão Social: G P Junior, Moda Intima Ltda (Cnpj 05.823.159/0004-72)","Loja de Roupas, Sapatos e Assessórios",05823159000472,05823159,CNPJ_SECUNDARIO_ATIVO_RAIZ_MH_SUBCOBERTA,ATIVO_COM_RECONCILIACAO,ATIVA_EM_EVIDENCIA,ATIVA; filial; CNAE vestuário; Entrada BR 287 Km 7 3345,,Endereço cadastral da filial difere de endereço de loja divulgado pela marca,Registrar matriz /0001-20 e reconciliar funções/endereços antes de métricas,L05-08,SIM
120,Fantasia: Pimentas Boutique Sensual / Razão Social: Jessica Santoro (Cnpj 28.597.654/0001-63),"Loja de Roupas, Sapatos e Assessórios",28597654000163,28597654,CNPJ_NAO_REVALIDADO_FONTE_INDEPENDENTE_NAO_LOCALIZADA,SEM_EVIDENCIA_INDEPENDENTE,NAO_CONFIRMADA,"NÃO REVALIDADO: buscas por CNPJ exato, marca, titular e presença local não retornaram fonte específica confiável",,"Ausência de resultado indexado não prova baixa, inatividade ou inexistência","Tentar RFB oficial/base integral; buscar IE, documento fiscal ou fonte municipal",L05-10,SIM
