registro_lote,sheet_row,origem_inventario,operador_marca,cnpj,cnpj_base,situacao_encontrada,periodo_consulta,endereco_revalidado,compatibilidade_inventario,fonte_1,fonte_1_natureza,fonte_2,fonte_2_natureza,necessidade_reconciliacao,status_provisorio,decisao_provisoria,limitacao,proxima_acao
L02-01,106,SIM,Lolita Lingerie / Rogeria Tatiane Machado Loureiro,10343219000228,10343219,"ATIVA; filial; abertura 04/10/2022",2026-09-23,"Rua General Osorio 2215 Sala 101, Centro, São Borja-RS","COMPATÍVEL; raiz multiunidade com 10.343.219/0001-47","https://www.nacionalconsultas.com.br/cnpj/rogeria-tatiane-machado-loureiro-10343219000228","Secundária; reproduz Cartão CNPJ/RFB; atualização informada 10/05/2026","https://maiscnpj.com.br/cnpj/10343219000228-rogeria-tatiane-machado-loureiro","Secundária; reproduz base pública cadastral","SIM — confirmação direta RFB pendente","CNPJ_SECUNDARIO_ATIVO_MULTIUNIDADE_COMPATIVEL","MANTER_PROVISORIAMENTE","Situação cadastral vem de republicadores; não prova volume de operação ou storefront distinto","Confirmar RFB oficial quando houver rota; não recalcular estrutura de rede"
L02-02,107,SIM,Volupia Moda Intima / Rogeria Tatiane Machado Loureiro,10343219000147,10343219,"ATIVA; matriz; lista uma filial ativa da mesma raiz em São Borja",2026-09-23,"Rua Candido Falcao 908 Sala 101, Centro, São Borja-RS","COMPATÍVEL; raiz multiunidade com 10.343.219/0002-28","https://cnpj.biz/10343219000147","Secundária; organiza dados públicos cadastrais","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/rogeria-tatiane-machado-loureiro-9414830","Secundária; declara dados oficiais/RFB","SIM — confirmação direta RFB pendente","CNPJ_SECUNDARIO_ATIVO_MULTIUNIDADE_COMPATIVEL","MANTER_PROVISORIAMENTE","Fontes secundárias; dois CNPJs distintos não equivalem automaticamente a participação de mercado","Confirmar RFB oficial; preservar os dois CNPJs"
L02-03,116,SIM,Franco Giorgi / Grazziotin S A,92012467019008,92012467,"ATIVA; filial; fantasia FRANCO GIORGI",2026-09-23,"Rua General Marques 969 Sala 102, Centro, São Borja-RS","CNPJ compatível; endereço atual diverge de listagens históricas; co-localizado no mesmo número com 92.012.467/0037-80","https://www.cirtrox.com.br/consulta-empresas/empresa/92012467019008-franco-giorgi","Secundária; base cadastral atual","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/grazziotin-s-a-9418713","Secundária; declara informações públicas da RFB","SIM — reconciliar endereço temporal e co-localização antes de inferir lojas físicas","CNPJ_SECUNDARIO_ATIVO_RAIZ_SUBCOBERTA_COLOCALIZACAO","MANTER_CNPJ; ATUALIZAR_ENDERECO_NO_SUCESSOR_COM_NOTA_TEMPORAL","CNPJ ativo não prova storefront independente; endereço corrente deve ser distinguido de endereços históricos","Confirmar RFB e mapear unidade física/marca antes de métricas"
L02-04,117,SIM,GZT Express / Grazziotin S A — inventário rotulava Lojas Grazziotin,92012467003780,92012467,"ATIVA; filial; fantasia cadastral corrente GZT EXPRESS",2026-09-23,"Rua General Marques 969 Sala 101, Centro, São Borja-RS","CNPJ compatível, mas nome fantasia e endereço do inventário exigem atualização; co-localizado no mesmo número com Franco Giorgi","https://indicecnpj.com.br/empresa/grazziotin-s-a-92012467003780","Secundária; informa origem RFB Base CNPJ e atualização 02/07/2026","https://www.cirtrox.com.br/consulta-empresas/empresa/92012467003780-gzt-express","Secundária; base cadastral atual","SIM — corrigir metadados sem apagar histórico","CNPJ_SECUNDARIO_ATIVO_MARCA_ATUALIZADA_RAIZ_SUBCOBERTA","MANTER_CNPJ; ATUALIZAR_FANTASIA_PARA_GZT_EXPRESS_E_ENDERECO_CORRENTE_NO_SUCESSOR","Republicadores da base RFB; co-localização impede contar automaticamente como storefront distinto","Confirmar RFB e documentar transição Lojas Grazziotin→GZT Express"
L02-05,ADICIONAL_RAIZ_92012467,NÃO,Tottal Casa & Lazer / Grazziotin S A,92012467009479,92012467,"ATIVA; filial; CNPJ adicional da raiz em São Borja não presente no inventário",2026-09-23,"Rua Eddie Freire Nunes 1999, Centro, São Borja-RS","NÃO PRESENTE NO INVENTÁRIO; evidência indica subcobertura da raiz","https://www.cirtrox.com.br/consulta-empresas/empresa/92012467009479-tottal-casa-lazer","Secundária; base cadastral atual","https://www.generali.com.br/wp-content/uploads/2025/10/Grazziotin-Lista-de-Loja.pdf","Documento institucional de terceiro; lista CNPJ/endereço em São Borja","SIM — incorporar somente após reconciliação oficial/operacional","CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_GRAZZIOTIN","ADICIONAR_AO_CONTROLE_NAO_AO_DENOMINADOR_CANONICO_AINDA","Documento institucional é histórico; situação atual vem de fonte secundária","Confirmar RFB e presença operacional atual antes de promoção"
L02-06,ADICIONAL_RAIZ_92012467,NÃO,Por Menos / Grazziotin S A,92012467012186,92012467,"ATIVA; filial; CNPJ adicional da raiz em São Borja não presente no inventário",2026-09-23,"Avenida Presidente Vargas 1206, Centro, São Borja-RS","NÃO PRESENTE NO INVENTÁRIO; evidência indica subcobertura da raiz","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/grazziotin-s-a-9418712","Secundária; declara dados oficiais/RFB","https://www.sintegrabrasil.com.br/cnpj/92012467063090","Secundária; tabela de filiais indica /0121-86 São Borja ativa","SIM — incorporar somente após reconciliação oficial/operacional","CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_GRAZZIOTIN","ADICIONAR_AO_CONTROLE_NAO_AO_DENOMINADOR_CANONICO_AINDA","Fontes secundárias; não prova participação de mercado nem storefront independente","Confirmar RFB e presença operacional atual"
L02-07,ADICIONAL_RAIZ_92012467,NÃO,Tech Box / Grazziotin S A,92012467026560,92012467,"ATIVA; filial; CNPJ adicional da raiz em São Borja não presente no inventário",2026-09-23,"Rua General Marques 1066, Centro, São Borja-RS","NÃO PRESENTE NO INVENTÁRIO; evidência indica subcobertura da raiz","https://www.cirtrox.com.br/consulta-empresas/empresa/92012467026560-tech-box","Secundária; base cadastral atual","https://www.wcsasistemas.cyou/cnpj/92012467026560-tech-box","Secundária; declara RFB Base 16/03/2026","SIM — incorporar somente após reconciliação oficial/operacional","CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_GRAZZIOTIN","ADICIONAR_AO_CONTROLE_NAO_AO_DENOMINADOR_CANONICO_AINDA","Fontes secundárias; CNAE/estabelecimento cadastral não equivale a market share","Confirmar RFB e presença operacional atual"
L02-08,ADICIONAL_RAIZ_92012467,NÃO,Pormenos / Grazziotin S A,92012467045190,92012467,"ATIVA; filial; CNPJ adicional da raiz em São Borja não presente no inventário",2026-09-23,"Rua Candido Falcao 940 Sala 02, Centro, São Borja-RS","NÃO PRESENTE NO INVENTÁRIO; evidência indica subcobertura da raiz","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/grazziotin-s-a-9418715","Secundária; declara dados oficiais/RFB","https://www.cirtrox.com.br/consulta-empresas/empresa/92012467019008-franco-giorgi","Secundária; matriz do grupo lista Pormenos /0451-90 em São Borja","SIM — incorporar somente após reconciliação oficial/operacional","CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_GRAZZIOTIN","ADICIONAR_AO_CONTROLE_NAO_AO_DENOMINADOR_CANONICO_AINDA","Fontes secundárias; raiz empresarial não é unidade física nem market share","Confirmar RFB e presença operacional atual"
L02-09,183,SIM,Companhia dos Bichos / Daniela Pitrovski Dornelles,07195827000147,07195827,"ATIVA; matriz; lista uma filial ativa da mesma raiz em São Borja",2026-09-23,"Rua Felix da Cunha 766, Bettim, São Borja-RS","COMPATÍVEL; raiz multiunidade com 07.195.827/0002-28","https://cnpj.biz/07195827000147","Secundária; organiza dados públicos cadastrais","https://www.saoborja.rs.gov.br/images/DOESB/2018/Fevereiro/doesb23_02_2018.pdf","Fonte oficial municipal histórica; licença vincula CNPJ/endereço","SIM — situação corrente RFB ainda por confirmar diretamente","CNPJ_SECUNDARIO_ATIVO_MULTIUNIDADE_COMPATIVEL","MANTER_PROVISORIAMENTE","Documento municipal é histórico; situação atual vem de fonte secundária","Confirmar RFB oficial; não recalcular estrutura de rede"
L02-10,187,SIM,Cia dos Bichos / Daniela Pitrovski Dornelles,07195827000228,07195827,"ATIVA segundo raiz/listagem cadastral; filial aberta em 29/09/2021",2026-09-23,"Rua Riachuelo 1329 Sala 101, Centro, São Borja-RS","COMPATÍVEL; segunda unidade cadastral distinta da mesma raiz","https://cnpj.biz/07195827000147","Secundária; matriz lista a filial ativa","https://petshoppertodemim.com/e/companhia-dos-bichos-aynnve/","Diretório empresarial; reproduz CNPJ/endereço da filial","SIM — confirmação direta RFB pendente","CNPJ_SECUNDARIO_ATIVO_MULTIUNIDADE_COMPATIVEL","MANTER_PROVISORIAMENTE","Segunda fonte não é cadastral primária; dois CNPJs não autorizam inferir market share","Confirmar RFB oficial e presença operacional atual"
