registro_lote,sheet_row,origem_inventario,operador_marca,cnpj,cnpj_base,situacao_encontrada,periodo_consulta,endereco_revalidado,compatibilidade_inventario,fonte_1,fonte_1_natureza,fonte_2,fonte_2_natureza,necessidade_reconciliacao,status_provisorio,decisao_provisoria,limitacao,proxima_acao
L05-01,111,SIM,"Requinte Modas / Jose Altamir Silveira da Rosa Ltda",93202695000680,93202695,"ATIVA; filial; nome associado a Requinte Modas; endereço Rua General Osorio 2051","2026-09-23","Rua General Osorio 2051, Centro, São Borja-RS","COMPATÍVEL; raiz está subcoberta porque há outro CNPJ ativo da mesma empresa em São Borja","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/jose-altamir-silveira-da-rosa-ltda-9418947","Secundária; declara dados oficiais da RFB","https://www.cirtrox.com.br/consulta-empresas/empresa/92012467019008-franco-giorgi","Secundária cadastral municipal; lista /0006-80 e /0002-56 entre empresas similares de São Borja","SIM — ampliar raiz no controle; confirmação RFB direta pendente","CNPJ_SECUNDARIO_ATIVO_RAIZ_REQUINTE_SUBCOBERTA","MANTER_PROVISORIAMENTE","Fonte principal é republicador; não inferir número de lojas pela raiz","Confirmar RFB e presença operacional; registrar /0002-56 como adicional"
L05-02,ADICIONAL_RAIZ_93202695,NÃO,"Jose Altamir Silveira da Rosa Ltda — marca operacional não confirmada",93202695000256,93202695,"ATIVA; filial; comércio de vestuário; segundo CNPJ da raiz em São Borja","2026-09-23","Avenida Presidente Vargas 2055 Sala 1, Centro, São Borja-RS","NÃO PRESENTE NO INVENTÁRIO; evidencia subcobertura da raiz 93.202.695","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/jose-altamir-silveira-da-rosa-ltda-9418946","Secundária; declara dados oficiais da RFB","https://www.cirtrox.com.br/consulta-empresas/empresa/92012467019008-franco-giorgi","Secundária cadastral municipal; lista a unidade em São Borja","SIM — marca de fachada e RFB direta pendentes","CNPJ_ADICIONAL_SECUNDARIO_ATIVO_RAIZ_REQUINTE","ADICIONAR_AO_CONTROLE_NAO_AO_DENOMINADOR_CANONICO_AINDA","CNPJ ativo não comprova marca ou storefront independente","Identificar marca operacional e confirmar RFB antes de promoção"
L05-03,112,SIM,"D Castro Camisaria / Castro Soares Comercio do Vestuario Ltda",28064447000143,28064447,"ATIVA; matriz; fantasia D Castro Camisaria; CNAE principal vestuário","2026-09-23","Rua Lioncio Silvio Pereira Aquino 309, Dr Florencio Aquino Guimaraes, São Borja-RS","COMPATÍVEL","https://cnpj.biz/28064447000143","Secundária cadastral","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/castro-soares-comercio-do-vestuario-ltda-9417191","Secundária; declara dados oficiais da RFB","SIM — confirmação RFB direta pendente","CNPJ_SECUNDARIO_ATIVO_COMPATIVEL","MANTER_PROVISORIAMENTE","Fontes secundárias; não medem intensidade operacional","Confirmar RFB oficial quando houver rota"
L05-04,113,SIM,"Linda Variedades / Changyong Duan",48346814000109,48346814,"ATIVA; matriz; fantasia Linda Variedades; CNAE principal vestuário","2026-09-23","Rua Candido Falcao 1201 Sala 01, Centro, São Borja-RS","COMPATÍVEL; porém existe outra empresa distinta também chamada Linda Variedades","https://cnpj.biz/48346814000109","Secundária cadastral","https://brazilguide.net/c/changyong-duan-48346814000109","Secundária cadastral","SIM — reconciliar colisão de marca com 55.498.031/0001-06","CNPJ_SECUNDARIO_ATIVO_COLISAO_DE_MARCA","MANTER_CNPJ_E_TRATAR_MARCA_COM_IDENTIFICADOR_JURIDICO","Mesmo nome fantasia em dois CNPJs de raízes diferentes não prova relação societária","Preservar ambas as empresas separadamente e confirmar operação física"
L05-05,114,SIM,"Linda Variedades / F. Zhu",55498031000106,55498031,"ATIVA; matriz; fantasia Linda Variedades; aberta 12/06/2024; CNAE principal vestuário","2026-09-23","Rua General Marques 983, Centro, São Borja-RS","COMPATÍVEL; marca colide com 48.346.814/0001-09, mas são raízes e titulares distintos","https://cnpj.biz/55498031000106","Secundária cadastral","https://casadosdados.com.br/solucao/cnpj/f-zhu-55498031000106","Secundária; informa última consulta RFB em 11/04/2026","SIM — reconciliar colisão de marca, não fundir operadores","CNPJ_SECUNDARIO_ATIVO_COLISAO_DE_MARCA","MANTER_CNPJ_E_TRATAR_MARCA_COM_IDENTIFICADOR_JURIDICO","Coincidência de fantasia não autoriza inferir mesma empresa ou rede","Preservar ambas separadamente; confirmar operação física"
L05-06,115,SIM,"Kolwertn Multimarcas / C.R. Comercio do Vestuario Ltda",94072782000118,94072782,"ATIVA; matriz; CNAE principal vestuário; endereço Avenida Presidente Vargas 1952","2026-09-23","Avenida Presidente Vargas 1952, Centro, São Borja-RS","CNPJ/atividade/endereço compatíveis; a marca Kolwertn não foi confirmada nas fontes cadastrais consultadas","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/c-r-comercio-do-vestuario-ltda-9418804","Secundária; dados públicos cadastrais","https://www.dunsguide.com/company/3c9dd8bcc10ded0546e93da9700ed083/cr-comercio-do-vestuario-ltda","Secundária cadastral","SIM — marca operacional Kolwertn pendente","CNPJ_SECUNDARIO_ATIVO_MARCA_INVENTARIO_NAO_REVALIDADA","MANTER_CNPJ; MANTER_MARCA_COM_FLAG_PENDENTE","Fontes revalidam a pessoa jurídica, não o nome de fachada Kolwertn","Buscar primeira parte/redes sociais da marca e confirmar RFB"
L05-07,118,SIM,"Peguei da Vick / L V Comercio e Vestuario Ltda",53529949000140,53529949,"ATIVA; matriz; fantasia PEGUEI DA VICK; página atualizada em 09/08/2026","2026-09-23","Avenida Presidente Vargas 1963, São Borja-RS","COMPATÍVEL","https://www.informecadastral.com.br/cnpj/l-v-comercio-e-vestuario-ltda-53529949000140","Secundária cadastral atualizada em 2026","","","SIM — confirmação RFB direta pendente","CNPJ_SECUNDARIO_ATIVO_COMPATIVEL","MANTER_PROVISORIAMENTE","Uma fonte cadastral substantiva nesta rodada","Triangular com segunda fonte/primeira parte e confirmar RFB"
L05-08,119,SIM,"M.H. Moda Intima / G P Junior, Moda Intima Ltda",05823159000472,05823159,"ATIVA; filial; CNAE principal vestuário; matriz da mesma raiz também está em São Borja","2026-09-23","Entrada BR 287 - Km 7, 3345, Galpão/Fundos, São Borja-RS","COMPATÍVEL; raiz subcoberta no inventário","https://www.econodata.com.br/consulta-empresa/05823159000472-g-p-junior-moda-intima-ltda","Secundária cadastral atualizada em setembro/2026","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/g-p-junior-moda-intima-ltda-9414298","Secundária; declara dados oficiais da RFB","SIM — incorporar matriz da raiz no controle","CNPJ_SECUNDARIO_ATIVO_RAIZ_MH_SUBCOBERTA","MANTER_PROVISORIAMENTE","Endereço cadastral da filial difere da loja indicada no site oficial da marca; CNPJ não equivale automaticamente a storefront","Registrar matriz /0001-20 e reconciliar funções/endereços antes de métricas"
L05-09,ADICIONAL_RAIZ_05823159,NÃO,"M. H. Moda Intima / G P Junior, Moda Intima Ltda",05823159000120,05823159,"ATIVA; matriz; CNPJ exibido no site oficial da própria marca em 2026","2026-09-23","Rua General Osorio 2298 Loja 01, Centro, São Borja-RS","NÃO PRESENTE NO INVENTÁRIO; evidência forte de subcobertura da raiz M.H.","https://www.mhmodaintima.com.br/","Primeira parte — site oficial da marca; exibe CNPJ e endereço em 2026","https://www.solutudo.com.br/empresas/rs/s-borja/roupas-e-acessorios/g-p-junior-moda-intima-ltda-9414297","Secundária; declara dados oficiais da RFB e situação ativa","SIM — endereço da loja física exibida no site institucional difere do endereço cadastral da matriz","CNPJ_ADICIONAL_PRIMEIRA_PARTE_ATIVO_RAIZ_MH","ADICIONAR_AO_CONTROLE_CANDIDATO_FORTE_A_INCORPORACAO","Site oficial também lista loja São Borja em General Marques 1014, criando distinção entre CNPJ/endereço cadastral e ponto comercial","Mapear qual CNPJ atende cada ponto físico antes de recálculo de unidades"
L05-10,120,SIM,"Pimentas Boutique Sensual / Jessica Santoro",28597654000163,28597654,"NÃO REVALIDADO: buscas pelo CNPJ exato, marca e titular não retornaram fonte cadastral indexada confiável nesta rodada","2026-09-23","","Inventário permanece como única evidência documental disponível neste lote","Busca web dirigida em 23/09/2026","Procedimento de auditoria; nenhum resultado utilizável","Busca local/brand dirigida em 23/09/2026","Sem resultado específico e confiável para a empresa","SIM — situação cadastral e presença operacional permanecem desconhecidas","CNPJ_NAO_REVALIDADO_FONTE_INDEPENDENTE_NAO_LOCALIZADA","MANTER_APENAS_COMO_REGISTRO_DOCUMENTAL_PENDENTE","Ausência de resultado indexado não prova baixa, inatividade ou inexistência","Tentar rota RFB oficial/base integral; buscar nota fiscal, inscrição estadual ou fonte municipal"
