registro_lote,sheet_row,origem_inventario,operador_marca,cnpj,cnpj_base,situacao_encontrada,periodo_consulta,endereco_revalidado,compatibilidade_inventario,fonte_1,fonte_1_natureza,fonte_2,fonte_2_natureza,necessidade_reconciliacao,status_provisorio,decisao_provisoria,limitacao,proxima_acao
L13-01,202,SIM,"Joalheria e Ótica Diamante Saoborjense Ltda",90241498000177,90241498,"ATIVA; matriz; CNAE principal joalheria e secundários óptica, relojoaria e reparações; duas fontes cadastrais convergem","2026-09-23","Rua Candido Falcao 1096, São Borja-RS","COMPATÍVEL; denominação do inventário coincide com a razão social","https://cnpj.ai/90241498000177","Secundária cadastral recente; apresenta situação ATIVA e dados públicos","https://cnpj.biz/90241498000177","Secundária cadastral","SIM — confirmação direta RFB pendente","CNPJ_SECUNDARIO_ATIVO_COMPATIVEL","MANTER_PROVISORIAMENTE","As fontes cadastrais não medem operação comercial efetiva nem faturamento","Confirmar RFB oficial quando houver rota"
L13-02,203,SIM,"Finger Joias / Micheli Redel Finger",49552224000103,49552224,"ATIVA segundo diretório empresarial que declara informações públicas da Receita Federal; atividade joias e bijuterias; CNPJ, titular e endereço identificados","2026-09-23","Rua Barao do Rio Branco 1978, Centro, São Borja-RS","CNPJ/titular/setor compatíveis; marca Finger Joias do inventário não aparece como fantasia na fonte recuperada","https://www.solutudo.com.br/empresas/rs/s-borja/joias-e-bijouterias/micheli-redel-finger-27984363","Secundária; declara informações públicas da Receita Federal e situação ATIVA","https://www.solutudo.com.br/empresas/rs/s-borja/busca?q=loja+de+j%C3%B3ia","Diretório empresarial atual","SIM — marca operacional Finger Joias pendente","CNPJ_SECUNDARIO_ATIVO_MARCA_FINGER_NAO_REVALIDADA","MANTER_CNPJ; MANTER_MARCA_COM_FLAG_PENDENTE","Fonte confirma a pessoa jurídica, não explicitamente o nome de fachada Finger Joias","Buscar primeira parte/redes sociais da marca e confirmar RFB"
L13-03,204,SIM,"Joalheria e Óptica Elegance / Edelar Kener Joalheria",31153867000100,31153867,"ATIVA; matriz; fantasia Joalheria e Optica Elegance; CNAE principal joalheria e secundário óptica","2026-09-23","Rua General Osorio 1906, Centro, São Borja-RS","COMPATÍVEL","https://cnpj.biz/31153867000100","Secundária cadastral","https://brazilguide.net/empresas/rs/sao-borja/joalheirias","Diretório cadastral recente; lista Elegance como ATIVA no mesmo endereço","SIM — confirmação direta RFB pendente","CNPJ_SECUNDARIO_ATIVO_COMPATIVEL","MANTER_PROVISORIAMENTE","Fontes secundárias; não medem intensidade operacional","Confirmar RFB oficial"
L13-04,205,SIM,"J Martins Joalheiros Ltda",92274166000114,92274166,"ATIVA; matriz; CNAE principal joalheria; duas fontes convergem no CNPJ/endereço","2026-09-23","Rua Candido Falcao 958, Centro, São Borja-RS","COMPATÍVEL","https://www.econodata.com.br/consulta-empresa/92274166000114-j-martins-joalheiros-ltda","Secundária cadastral","https://cnpj.biz/92274166000114","Secundária cadastral atual","SIM — confirmação direta RFB pendente","CNPJ_SECUNDARIO_ATIVO_COMPATIVEL","MANTER_PROVISORIAMENTE","Não há medição de atividade econômica ou market share","Confirmar RFB oficial"
L13-05,206,SIM,"Joias El Shadday / Luis Eduardo Dalcul Gusmao",27792396000103,27792396,"ATIVA; matriz; fantasia Joias El Shadday; cadastro atual inclui joalheria, relojoaria, óptica e reparação de joias","2026-09-23","Rua General Osorio 2278, Centro, São Borja-RS","COMPATÍVEL","https://cnpj.biz/27792396000103","Secundária cadastral","","","SIM — confirmação direta RFB pendente","CNPJ_SECUNDARIO_ATIVO_COMPATIVEL","MANTER_PROVISORIAMENTE","Uma fonte cadastral substantiva nesta rodada","Triangular com segunda fonte/primeira parte e confirmar RFB"
L13-06,207,SIM,"Esmeralda Joias Ltda",26102738000153,26102738,"ATIVA; matriz; fantasia Esmeralda Joias; CNAE principal suvenires/bijuterias/artesanatos e secundário joalheria","2026-09-23","Rua General Osorio 1882, Centro, São Borja-RS","COMPATÍVEL; classificação POM como joalheria é compatível com atividade secundária, embora o CNAE principal seja mais amplo","https://cnpj.biz/26102738000153","Secundária cadastral","","","SIM — confirmação direta RFB pendente","CNPJ_SECUNDARIO_ATIVO_CLASSIFICACAO_POM_COMPATIVEL_CNAE_SECUNDARIO","MANTER_PROVISORIAMENTE","Classificação mercadológica do inventário não deve ser confundida com CNAE principal","Confirmar RFB oficial e preservar nota de classificação"
L13-07,208,SIM,"Lela Joias / Karlize Rizzatti",41391545000153,41391545,"ATIVA; matriz; fantasia Lela Joias; CNAE principal joalheria. Marketplace Magalu mantém seller Lela Joias e Semijoias com o mesmo CNPJ e endereço.","2026-09-23","Avenida Presidente Vargas 1984 Sala Frente, Centro, São Borja-RS","COMPATÍVEL; atividade operacional digital recente triangulada","https://www.econodata.com.br/consulta-empresa/41391545000153-karlize-rizzatti","Secundária cadastral atualizada em abril/2026","https://www.magazineluiza.com.br/pingente-placa-fosca-em-ouro-18k-lela-joias/p/faa7a4522d/md/ping/?seller_id=lelajoiasesemijoias","Marketplace; exibe CNPJ, loja e endereço","SIM — confirmação direta RFB pendente","CNPJ_SECUNDARIO_ATIVO_PRESENCA_DIGITAL_CNPJ_COMPATIVEL","MANTER_PROVISORIAMENTE","Marketplace comprova atividade digital recente, não faturamento total ou market share","Confirmar RFB oficial"
L13-08,209,SIM,"Óptica Moca / E. Matoso Brittes & Cia Ltda",19326443000103,19326443,"ATIVA; matriz/estabelecimento único; fantasia Optica Moca; dados públicos RFB atualizados em 13/12/2025; atividade principal joalheria e secundários relojoaria/óptica/reparação","2026-09-23","Avenida Julio Trois 1004 Sala 01, Passo, São Borja-RS","COMPATÍVEL","https://monitorcnpj.com.br/cnpj/19326443000103/","Secundária que declara fonte primária RFB e atualização 13/12/2025","https://www.empresasriograndedosul.com.br/sao-borja/passo","Diretório empresarial recente; lista Optica Moca no bairro Passo","SIM — confirmação RFB direta pendente","CNPJ_SECUNDARIO_ATIVO_COMPATIVEL","MANTER_PROVISORIAMENTE","Fonte atual é republicação de dados públicos da RFB; diretório não prova intensidade operacional","Confirmar RFB oficial"
L13-09,210,SIM,"Tayne Joias / Tayne Ramos Rodrigues",42027991000146,42027991,"ATIVA; matriz; fantasia Tayne Joias; CNAE principal vestuário e secundários joalheria/bijuterias; site próprio identificado pela fonte cadastral","2026-09-23","10A Rua Aparicio Mariense 2671 Loja Use T, Centro, São Borja-RS","COMPATÍVEL; classificação POM como joalheria reflete atividade secundária e marca, não CNAE principal","https://www.econodata.com.br/consulta-empresa/42027991000146-tayne-ramos-rodrigues","Secundária cadastral atualizada em abril/maio de 2026","https://cnpj.biz/42027991000146","Secundária cadastral","SIM — preservar diferença entre CNAE principal e classificação mercadológica","CNPJ_SECUNDARIO_ATIVO_CLASSIFICACAO_POM_COMPATIVEL_CNAE_SECUNDARIO","MANTER_PROVISORIAMENTE","CNAE principal vestuário não invalida atuação em joias; não inferir composição de vendas","Confirmar RFB oficial"
L13-10,211,SIM,"Encanto Semijoias / Cibele Lago Robalo",47696043000117,47696043,"ATIVA; matriz; razão social Cibele Lago Robalo; CNAE principal joalheria. A marca Encanto Semijoias não aparece como fantasia nas fontes cadastrais recuperadas.","2026-09-23","10A Rua Jose Ribeiro 1247 Loja, Centro, São Borja-RS","CNPJ/titular/setor compatíveis; marca operacional pendente","https://empresas.serasaexperian.com.br/consulta-gratis/47696043-CIBELE-LAGO-ROBALO-ME-47696043000117","Secundária cadastral recente; situação ATIVA","https://brazilguide.net/c/47-696-043-cibele-lago-robalo-47696043000117","Secundária cadastral; confirma situação e endereço","SIM — marca Encanto Semijoias não revalidada externamente","CNPJ_SECUNDARIO_ATIVO_MARCA_ENCANTO_NAO_REVALIDADA","MANTER_CNPJ; MANTER_MARCA_COM_FLAG_PENDENTE","As fontes confirmam pessoa jurídica e setor, não o nome de fachada do inventário","Buscar primeira parte/redes da marca e confirmar RFB"
