storefront_id,origem,sheet_row,operador_marca,subcategoria_inventario,cnpj_inventario,cnpj_referencia_cenario,raiz_referencia,regra_cenario,inclui_cenario_base,inclui_sensibilidade_conservadora,incremento_vs_linhas_inventario,lote_decisao,observacao
INV_97,LINHA_INVENTARIO_2026,97,Fantasia: Mb Lojas / Razão Social: Fernandez Comercio de Medicamentos S.a. (Cnpj 93.641.710/0003-43),Loja de Roupas e sapatos,93641710000343,43839616000163,43839616,INCLUIR_OPERACAO_ATUAL_MB_LOJAS_CNPJ_SUBSTITUIDO,1,1,0,,
INV_98,LINHA_INVENTARIO_2026,98,Fantasia: Camponesa New Fashion / Razão Social: Bortoluzzi e Campos LTDA (Cnpj 94.012.382/0001-17),"Loja de Roupas, Sapatos e Assessórios",94012382000117,94012382000117,94012382,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_99,LINHA_INVENTARIO_2026,99,Fantasia: Dress / Razão Social: Taline Ariel Kubaski - MEI (Cnpj 13.793.236/0001-74),"Loja de Roupas, Sapatos e Assessórios",13793236000174,13793236000174,13793236,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_100,LINHA_INVENTARIO_2026,100,Fantasia: Loja Marlin Fashion / Razão Social: Marciel Murad Ibrahim (Cnpj 18.556.994/0001-92),Loja de Roupas e Sapatos,18556994000192,,18556994,INCLUIR_OPERACAO_MARLIN_CNPJ_CORRENTE_PENDENTE,1,1,0,,
INV_101,LINHA_INVENTARIO_2026,101,Fantasia: Loja It Girls / Razão Social: Manoela Aranda Soares (Cnpj 32.894.094/0001-86),Loja de Roupas e Assessórios,32894094000186,35686566000101,35686566,INCLUIR_OPERACAO_ATUAL_IT_GIRLS_CNPJ_SUBSTITUIDO,1,1,0,,
INV_102,LINHA_INVENTARIO_2026,102,Fantasia: L'amour Boutique / Razão Social: Nilda Elisa da Silva Martins (Cnpj 23.124.000/0001-07),"Loja de Roupas, Sapatos e Assessórios",23124000000107,23124000000107,23124000,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_103,LINHA_INVENTARIO_2026,103,Fantasia: Lojas Pompeia / Razão Social: Lins Ferrao Artigos do Vestuario Ltda (Cnpj 87.345.021/0122-14),"Loja de Roupas, Sapatos e Assessórios",87345021012214,87345021012214,87345021,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_104,LINHA_INVENTARIO_2026,104,Fantasia: Cacio Moda Masculina / Razão Social: Vanessa Javares Miotti Ltda (Cnpj 04.258.324/0001-85),"Loja de Roupas, Sapatos e Assessórios",04258324000185,04258324000185,04258324,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_105,LINHA_INVENTARIO_2026,105,Fantasia: Lojas Monjuá / Razão Social: Lojas Tres Passos Ltda (Cnpj 98.102.650/0023-58),"Loja de Roupas, Sapatos e Assessórios",98102650002358,98102650002358,98102650,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_106,LINHA_INVENTARIO_2026,106,Fantasia: Lolita Lingerie / Razão Social: Rogeria Tatiane Machado Loureiro (Cnpj 10.343.219/0002-28) / Filial,"Loja de Roupas, Sapatos e Assessórios",10343219000228,10343219000228,10343219,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_107,LINHA_INVENTARIO_2026,107,Fantasia: Volupia Moda Intima / Razão Social: Rogeria Tatiane Machado Loureiro (Cnpj 10.343.219/0001-47) / Matriz,"Loja de Roupas, Sapatos e Assessórios",10343219000147,10343219000147,10343219,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_108,LINHA_INVENTARIO_2026,108,Fantasia: Mega City / Razão Social: Hiad Ahmad AL Jamal (Cnpj 13.956.162/0001-40),"Loja de Roupas, Sapatos e Assessórios",13956162000140,13956162000140,13956162,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_109,LINHA_INVENTARIO_2026,109,Fantasia: Luna Modas / Razão Social: Narieli Sarmento Picinin LTDA (Cnpj 60.167.511/0001-24),"Loja de Roupas, Sapatos e Assessórios",60167511000124,60167511000124,60167511,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_110,LINHA_INVENTARIO_2026,110,Fantasia: Su Store / Razão Social: Leonardo de Souza Storch (Cnpj 45.897.087/0001-80),"Loja de Roupas, Sapatos e Assessórios",45897087000180,45897087000180,45897087,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_111,LINHA_INVENTARIO_2026,111,Fantasia: Requinte Modas / Razão Social: Jose Altamir Silveira da Rosa Ltda (Cnpj 93.202.695/0006-80) / Filial - 9,"Loja de Roupas, Sapatos e Assessórios",93202695000680,93202695000680,93202695,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_112,LINHA_INVENTARIO_2026,112,Fantasia: D' Castro Camisaria / Razão Social: (Cnpj 28.064.447/0001-43),"Loja de Roupas, Sapatos e Assessórios",28064447000143,28064447000143,28064447,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_113,LINHA_INVENTARIO_2026,113,Fantasia: Linda Variedades / Razão Social: Changyong Duan (Cnpj 48.346.814/0001-09),Loja de Roupas  e Assessórios,48346814000109,48346814000109,48346814,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_114,LINHA_INVENTARIO_2026,114,Fantasia: Linda Variedades / Razão Social: F. Zhu (Cnpj 55.498.031/0001-06),Loja de Roupas  e Assessórios,55498031000106,55498031000106,55498031,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_115,LINHA_INVENTARIO_2026,115,Fantasia: Kolwertn Multimarcas / Razão Social: CR Comércio do Vestuário Ltda (Cnpj 94.072.782/0001-18),Loja de Roupas e Assessórios,94072782000118,94072782000118,94072782,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_116,LINHA_INVENTARIO_2026,116,Fantasia: Franco Giorgi / Razão Social: Grazziotin S A (Cnpj 92.012.467/0190-08),"Loja de Roupas, Sapatos e Assessórios",92012467019008,92012467019008,92012467,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_117,LINHA_INVENTARIO_2026,117,Fantasia: Lojas Grazziotin / Razão Social: Grazziotin S A (Cnpj 92.012.467/0037-80),"Loja de confRoupas, Sapatos e Assessórios",92012467003780,92012467003780,92012467,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_118,LINHA_INVENTARIO_2026,118,Fantasia: Peguei da Vick / Razão Social: L V Comercio e Vestuario LTDA (Cnpj 53.529.949/0001-40),"Loja de Roupas, Sapatos e Assessórios",53529949000140,53529949000140,53529949,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_119,LINHA_INVENTARIO_2026,119,"Fantasia: M.h. Moda Intima / Razão Social: G P Junior, Moda Intima Ltda (Cnpj 05.823.159/0004-72)","Loja de Roupas, Sapatos e Assessórios",05823159000472,05823159000472,05823159,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_120,LINHA_INVENTARIO_2026,120,Fantasia: Pimentas Boutique Sensual / Razão Social: Jessica Santoro (Cnpj 28.597.654/0001-63),"Loja de Roupas, Sapatos e Assessórios",28597654000163,28597654000163,28597654,EXCLUIR_BASE_SEM_EVIDENCIA_ATUAL_PIMENTAS,0,0,0,,
INV_121,LINHA_INVENTARIO_2026,121,Magazine Bandeirante,"Loja de Roupas, Sapatos e Assessórios",,87583456000100,87583456,INCLUIR_CNPJ_IDENTIFICADO_MAGAZINE_BANDEIRANTE,1,1,0,,
INV_122,LINHA_INVENTARIO_2026,122,Fantasia: 7 Povos Kids / Razão Social: Lenise Goulart Morgental (Cnpj 62.201.625/0001-79),"Loja de Roupas, Sapatos e Assessórios",62201625000179,62201625000179,62201625,INCLUIR_BASE_COM_SENSIBILIDADE_7_POVOS_KIDS,1,0,0,L23-P0-01,Base inclui; sensibilidade conservadora exclui até confirmação oficial direta.
INV_123,LINHA_INVENTARIO_2026,123,7 Povos Confecções e Calçados São Borja,"Loja de Roupas, Sapatos e Assessórios",,97093694000190,97093694,INCLUIR_OPERACAO_7_POVOS_CONF_CNPJ_CANDIDATO,1,1,0,,
INV_124,LINHA_INVENTARIO_2026,124,Fantasia: 7 Povos Tchê! / Razão Social: Renato Cesar Prauchner (Cnpj 06.339.679/0001-24),"Loja de Roupas, Sapatos e Assessórios",06339679000124,06339679000124,06339679,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_125,LINHA_INVENTARIO_2026,125,Loja CHICMI,"Loja de Roupas, Sapatos e Assessórios",,,,EXCLUIR_BASE_SEM_EVIDENCIA_ATUAL_CHICMI,0,0,0,,
INV_126,LINHA_INVENTARIO_2026,126,Loja do Ramada,"Loja de Roupas, Sapatos e Assessórios",,,,EXCLUIR_BASE_REGISTRO_HISTORICO_LOJA_DO_RAMADA,0,0,0,,
INV_127,LINHA_INVENTARIO_2026,127,Fantasia: Excêntrica / Razão Social: Rubia Lamana Quoos (Cnpj 18.283.007/0001-23),"Loja de Roupas e Assessórios (obs. cnpj baixado, instagram atualizado) ",18283007000123,46083011000183,46083011,INCLUIR_OPERACAO_EXCENTRICA_CNPJ_CANDIDATO,1,1,0,,
INV_128,LINHA_INVENTARIO_2026,128,Fantasia: MAXX Outlet / Razão Social: Rm2S Ltda (Cnpj 58.434.608/0010-03) / Filial,"Loja de Roupas, Sapatos e Assessórios",58434608001003,58434608001003,58434608,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_129,LINHA_INVENTARIO_2026,129,Fantasia: Studio Live! São Borja / Razão Social: Otto Comercio e Vestuario LTDA (Cnpj 48.191.706/0001-04) /,Loja de Roupas (esportivas),48191706000104,48191706000104,48191706,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_130,LINHA_INVENTARIO_2026,130,Ka Lopes Fitness,Loja de Roupas e Sapatos (espotivos),,,,INCLUIR_OPERACAO_KA_LOPES_CNPJ_CORRENTE_PENDENTE,1,1,0,,
INV_131,LINHA_INVENTARIO_2026,131,Fantasia: Original Store / Razão Social: Comercio de Confeccoes Silveira & Severo Ltda (Cnpj 18.382.369/0003-33),"Loja de Roupas, Sapatos e Assessórios",18382369000333,18382369000333,18382369,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_132,LINHA_INVENTARIO_2026,132,Loja Portal,"Loja de Roupas, Sapatos e Assessórios",,17705834000103,17705834,INCLUIR_CNPJ_IDENTIFICADO_LOJA_PORTAL,1,1,0,,
INV_133,LINHA_INVENTARIO_2026,133,Fantasia: Dunia Modas / Razão Social: Comercial de Vestuario Dunia Ltda (Cnpj 00.872.980/0001-12),"Loja de Roupas, Sapatos e Assessórios",00872980000112,00872980000112,00872980,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_134,LINHA_INVENTARIO_2026,134,Elegância Moda e Acessórios,"Loja de Roupas, Sapatos e Assessórios",,11496172000114,11496172,INCLUIR_CNPJ_IDENTIFICADO_ELEGANCIA,1,1,0,,
INV_135,LINHA_INVENTARIO_2026,135,Fantasia: Donna Amô / Razão Social: 60.940.561 Paola da Silva Cardoso (Cnpj 60.940.561/0001-00),"Loja de Roupas, Sapatos e Assessórios",60940561000100,60940561000100,60940561,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_136,LINHA_INVENTARIO_2026,136,Fantasia: Dona Nanda / Razão Social: Fernanda Bublitz Petterini (Cnpj 29.091.514/0001-81),"Loja de Roupas, Sapatos e Assessórios",29091514000181,29091514000181,29091514,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_137,LINHA_INVENTARIO_2026,137,Fantasia: Stilo Modas / Razão Social: Marlise Neubuser Cezar (Cnpj 22.560.258/0001-85),"Loja de Roupas, Sapatos e Assessórios",22560258000185,22560258000185,22560258,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_138,LINHA_INVENTARIO_2026,138,Fantasia: Lojas Lebes / Razão Social: Drebes & Cia LTDA (Cnpj 96.662.168/0365-94),Loja de Roupas e Eletrodomésticos,96662168036594,96662168036594,96662168,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_139,LINHA_INVENTARIO_2026,139,Fantasia: Exclusiva Moda Plus / Razão Social: Flavio Lourenco da Silva (Cnpj 45.486.913/0001-06),Loja de Roupas e Assessórios,45486913000106,45486913000106,45486913,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_140,LINHA_INVENTARIO_2026,140,Fantasia: Loja Top 20 (Top Store) / Razão Social: Suelen Bastos Rodrigues (Cnpj 34.542.287/0001-01),Loja de Roupas e Assessórios,34542287000101,37106058000124,37106058,INCLUIR_OPERACAO_ATUAL_TOP20_CNPJ_SUBSTITUIDO,1,1,0,,
INV_141,LINHA_INVENTARIO_2026,141,Carol Modas,Loja de Roupas e Assessórios,,88721220000155,88721220,INCLUIR_CNPJ_IDENTIFICADO_CAROL_MODAS,1,1,0,,
INV_142,LINHA_INVENTARIO_2026,142,Fantasia: Clean Boutique / Razão Social: Angelica Fonseca Dias e Cia Ltda (Cnpj 33.964.619/0001-75),"Loja de Roupas, Sapatos e Assessórios",33964619000175,33964619000175,33964619,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_143,LINHA_INVENTARIO_2026,143,Fantasia: Lucky Store / Razão Social: Zuhdi & Cia Ltda (Cnpj 17.434.253/0001-76),"Loja de Roupas, Sapatos e Assessórios",17434253000176,17434253000176,17434253,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_144,LINHA_INVENTARIO_2026,144,Fantasia: Mundi Calçados / Razão Social: Calcemoda Comercio de Calcados LTDA (Cnpj 38.128.053/0001-65),"Loja de Roupas, Sapatos e Assessórios",38128053000165,38128053000165,38128053,INCLUIR_OPERACAO_MUNDI_STATUS_CNPJ_PENDENTE,1,1,0,,
INV_145,LINHA_INVENTARIO_2026,145,Fantasia: Oka Tia Sinha / Razão Social: Renata Andres (Cnpj 94.175.528/0001-45),Loja de Roupas e Assessórios,94175528000145,94175528000145,94175528,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_146,LINHA_INVENTARIO_2026,146,Fantasia: Cia do Uniforme / Razão Social: M da Cruz Oliveira Uniformes (Cnpj 41.726.814/0001-95),Loja de Roupas (Uniformes com pronta entrega),41726814000195,41726814000195,41726814,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_147,LINHA_INVENTARIO_2026,147,Fantasia: Ciranda Boutique / Razão Social: Sidinei Poerscke (Cnpj 90.134.701/0001-06),Loja de Roupas (Infantil até 12 meses),90134701000106,90134701000106,90134701,INCLUIR_OPERACAO_CIRANDA_STATUS_CNPJ_PENDENTE,1,1,0,,
INV_148,LINHA_INVENTARIO_2026,148,Fantasia: Loja UP São Borja (Pedrangel Calcados) / Razão Social: Pedrangel Comercio de Calcados e Vestuarios Ltda. (Cnpj 08.835.108/0001-06),Loja de Sapatos,08835108000106,08835108000106,08835108,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_149,LINHA_INVENTARIO_2026,149,Fantasia: Santa Clara Confecções e Calçados / Razão Social: Angela Mari Faguaga Siqueira Ltda (Cnpj 01.800.560/0001-93),Loja de Sapatos,01800560000193,01800560000193,01800560,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_150,LINHA_INVENTARIO_2026,150,Fantasia: Casa A Favorita / Razão Social: Casa Favoritasb Ltda (Cnpj 05534303578),Loja de Sapatos,,89224869000123,89224869,INCLUIR_CNPJ_IDENTIFICADO_CASA_A_FAVORITA,1,1,0,,
INV_151,LINHA_INVENTARIO_2026,151,Fantasia: LF Calçados (Gf Gerson Fernandez) / Razão Social: Gerson Jair Peroty Fernandez Ltda (Cnpj 09.148.429/0001-03),Loja de Sapatos,09148429000103,09148429000103,09148429,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_152,LINHA_INVENTARIO_2026,152,Fantasia: Menta Pimenta Calçados / Razão Social: Menta Pimenta Calçados Ltda (Cnpj 18.627.385/0001-87),Loja de Sapatos,18627385000187,18627385000187,18627385,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_153,LINHA_INVENTARIO_2026,153,Fantasia: Camponesa Sapatu´s / Razão Social: Andreia Machado da Trindade (Cnpj 07.574.946/0002-91),Loja de Sapatos,07574946000291,07574946000291,07574946,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
INV_154,LINHA_INVENTARIO_2026,154,Akazzo,Loja de Sapatos,,,,EXCLUIR_BASE_SEM_EVIDENCIA_ATUAL_AKAZZO,0,0,0,,
INV_155,LINHA_INVENTARIO_2026,155,Fantasia: Elite Artigos Militares / Razão Social: Elite Artigos Militares (Cnpj 20.929.450/0002-51),Loja de Artigos Militares,20929450000251,20929450000251,20929450,INCLUIR_LINHA_ORIGINAL_REVALIDADA,1,1,0,,
