grupo_analitico_harmonizado,storefronts_cenario_base,percentual_cenario_base,storefronts_sensibilidade_conservadora,percentual_sensibilidade_conservadora,delta_storefronts_base_menos_sensibilidade,unidade,abrangencia,periodo_referencia
MODA_CALCADOS_ACESSORIOS,57,46.72,56,46.28,1,storefronts e %,São Borja/RS,2026-09-24
PET_VETERINARIA_AGRO,20,16.39,20,16.53,0,storefronts e %,São Borja/RS,2026-09-24
JOALHERIA_OPTICA_RELOJOARIA,12,9.84,12,9.92,0,storefronts e %,São Borja/RS,2026-09-24
CASA_UTILIDADES_PRESENTES_DECORACAO,7,5.74,7,5.79,0,storefronts e %,São Borja/RS,2026-09-24
ELETRODOMESTICOS_AUDIO_VIDEO,7,5.74,7,5.79,0,storefronts e %,São Borja/RS,2026-09-24
MISTO_MULTISSEGMENTO,5,4.10,5,4.13,0,storefronts e %,São Borja/RS,2026-09-24
LOJA_FRANCA_DUTY_FREE,3,2.46,3,2.48,0,storefronts e %,São Borja/RS,2026-09-24
ARMARINHO_TECIDOS,2,1.64,2,1.65,0,storefronts e %,São Borja/RS,2026-09-24
DEPARTAMENTOS_MAGAZINES,2,1.64,2,1.65,0,storefronts e %,São Borja/RS,2026-09-24
FERRAGENS_MATERIAIS_ELETRICOS,2,1.64,2,1.65,0,storefronts e %,São Borja/RS,2026-09-24
PAPELARIA,2,1.64,2,1.65,0,storefronts e %,São Borja/RS,2026-09-24
ACESSORIOS_DISPOSITIVOS_MOVEIS,1,0.82,1,0.83,0,storefronts e %,São Borja/RS,2026-09-24
ARTIGOS_MILITARES,1,0.82,1,0.83,0,storefronts e %,São Borja/RS,2026-09-24
MOVEIS,1,0.82,1,0.83,0,storefronts e %,São Borja/RS,2026-09-24
TOTAL,122,100.00,121,100.00,1,storefronts e %,São Borja/RS,2026-09-24
