periodo,indicador,geografia_tipo,geografia_nome,recorte,valor,unidade,variacao_pct,natureza,fonte,limitacao
"2025-09 a 2026-08","Exportações","COREDE","Fronteira Oeste","Total",322.2,"US$ milhões",27.43,"DADO OBSERVADO","BET Comércio Exterior ed.07 — resultados ago/2026","Valores em US$; agregação por COREDE da NFe; sujeito a tratamento de sigilo fiscal"
"2025-09 a 2026-08","Total de vendas","COREDE","Fronteira Oeste","Total",5673.1,"US$ milhões",12.84,"DADO OBSERVADO","BET Comércio Exterior ed.07 — resultados ago/2026","Valor convertido para US$ pelo câmbio mensal BACEN"
"2025-09 a 2026-08","Intensidade exportadora","COREDE","Fronteira Oeste","Exportações / total vendas",5.68,"%","","DADO CALCULADO","SBMI: 322,2 / 5.673,1 × 100","Razão calculada com grandezas apresentadas na mesma tabela; não é índice oficial do BET"
"2025-09 a 2026-08","Exportações","Estado","Rio Grande do Sul","Total COREDE tabela",24044.9,"US$ milhões",2.89,"DADO OBSERVADO","BET Comércio Exterior ed.07 — resultados ago/2026","Total da tabela regional; pode divergir ligeiramente de outros totais pela regra de sigilo/agregação"
"2025-09 a 2026-08","Total de vendas","Estado","Rio Grande do Sul","Total COREDE tabela",242300.2,"US$ milhões",14.24,"DADO OBSERVADO","BET Comércio Exterior ed.07 — resultados ago/2026","Total da tabela regional"
"2025-09 a 2026-08","Intensidade exportadora","Estado","Rio Grande do Sul","Exportações / total vendas",9.92,"%","","DADO CALCULADO","SBMI: 24.044,9 / 242.300,2 × 100","Razão calculada; não confundir com indicadores oficiais de exportações/faturamento da página macro"
"2025-09 a 2026-08","Exportações por produto amplo","Estado","Rio Grande do Sul","Cereais e Grãos (exceto soja)",1278.5,"US$ milhões",7.3,"DADO OBSERVADO","BET Comércio Exterior ed.07 — resultados ago/2026","Categoria ampla inclui arroz e outros cereais; não atribuir integralmente ao arroz"
"2025-09 a 2026-08","Importações por produto amplo","Estado","Rio Grande do Sul","Cereais e Grãos (exceto soja)",227.2,"US$ milhões",-32.5,"DADO OBSERVADO","BET Comércio Exterior ed.07 — resultados ago/2026","Categoria ampla inclui arroz e outros cereais"
"2025-09 a 2026-08","Exportações da indústria","Estado","Rio Grande do Sul","AGRO",12031.6,"US$ milhões",18.98,"DADO OBSERVADO","BET Comércio Exterior ed.07 — resultados ago/2026","Área ampla; não equivale à cadeia do arroz"
"2025-09 a 2026-08","Exportações da indústria","Estado","Rio Grande do Sul","ALIMENTOS",982.4,"US$ milhões",9.81,"DADO OBSERVADO","BET Comércio Exterior ed.07 — resultados ago/2026","Área ampla; não equivale ao CNAE de beneficiamento de arroz"
