periodo,indicador,geografia_tipo,geografia_nome,valor,unidade,comparador,variacao_pct,natureza,fonte,limitacao
"2026-08","Estabelecimentos ativos","COREDE","Fronteira Oeste",25218,"estabelecimentos","","","DADO OBSERVADO","BET Resultados Consolidados agosto/2026","Contagem não inclui MEI; universo de estabelecimentos difere do universo de vendas industriais"
"2026-08","Participação nos estabelecimentos ativos do RS","COREDE/Estado","Fronteira Oeste / RS",4.15,"%","607659 estabelecimentos no RS","","DADO CALCULADO","SBMI: 25.218 / 607.659 × 100","Não comparar diretamente com participação em vendas industriais"
"2026-08","Volume de vendas da indústria","COREDE","Fronteira Oeste",0.7,"R$ bilhões","agosto/2025: R$ 0,7 bi",-5.3,"DADO OBSERVADO","BET Resultados Consolidados agosto/2026","Valores arredondados no boletim; corrigidos pelo D-ICMS"
"2026-08","Participação nas vendas industriais do RS","COREDE","Fronteira Oeste",1.3,"%","","","DADO OBSERVADO","BET Resultados Consolidados agosto/2026","Participação no mês de agosto/2026"
"2026-08","Vendas industriais realizado vs previsto","COREDE","Fronteira Oeste",0.7,"R$ bilhões","previsto R$ 0,7 bi",0.8,"DADO OBSERVADO","BET Resultados Consolidados agosto/2026","Previsão econométrica da Receita Estadual; valores arredondados"
"2026-08","Volume de vendas da indústria","Estado","Rio Grande do Sul",51.6,"R$ bilhões","agosto/2025: R$ 53,5 bi",-3.5,"DADO OBSERVADO","BET Resultados Consolidados agosto/2026","Valores corrigidos pelo D-ICMS"
"2026-08","Vendas industriais realizado vs previsto","Estado","Rio Grande do Sul",51.6,"R$ bilhões","previsto R$ 56,0 bi",-8.5,"DADO OBSERVADO","BET Resultados Consolidados agosto/2026","Previsão econométrica da Receita Estadual"
"2026-08","Vendas industriais — alimentos","Estado","Rio Grande do Sul",1.8,"R$ bilhões","agosto/2025: R$ 1,8 bi",1.3,"DADO OBSERVADO","BET Resultados Consolidados agosto/2026","Setor estadual; não atribuir a São Borja"
"2026-08","Diferença da variação FO vs RS","COREDE/Estado","Fronteira Oeste / RS",-1.8,"p.p.","-5,3% vs -3,5%","","DADO CALCULADO","SBMI: -5,3 - (-3,5)","Compara variações do mesmo indicador e período"
"2026-08","São Borja na tabela municipal exibida","Município","São Borja","","","Tabela municipal de vendas","","DADO OBSERVADO — AUSÊNCIA","BET Resultados Consolidados agosto/2026","São Borja não aparece no subconjunto municipal exibido; isso não implica ausência de atividade"
