edition,title,source_url,download_status,error,pdf_bytes,pdf_sha256,text_lines,sao_borja_occurrences
1,Boletim Econômico-Tributário ed. 01,https://receitadoc.sefaz.rs.gov.br/media/lw4owecp/01-boletim-econômico-tributário-receita-rs-mai-2024.pdf,OK,,926979,209d725e03ad12fd0e0943dedbfb3fa3970f34c18afa7c4863fc1254fc3d6cf3,520,0
2,Boletim Econômico-Tributário ed. 02,https://receitadoc.sefaz.rs.gov.br/media/l5njh130/02-boletim-econômico-tributário-receita-rs-mai-2024.pdf,OK,,1276994,cc7a531f2e02ff700ae49f32f46340315b9bbb8b1131be0681ae45da128db36d,704,0
3,Boletim Econômico-Tributário ed. 03,https://receitadoc.sefaz.rs.gov.br/media/lbnpbxhg/03-boletim-econômico-tributário-receita-rs-jun-2024.pdf,OK,,1105512,150c93363b1bf8b0f5460b2d72053bec01074b971d02a818b607b11cc8a666b4,820,0
4,Boletim Econômico-Tributário ed. 04,https://receitadoc.sefaz.rs.gov.br/media/fykp3fl4/04-boletim-econômico-tributário-receita-rs-jun-2024.pdf,OK,,1063281,cdaff1da1968fd3d04c0c929ddc782cf6d86c26884ea402ac67c7f35c73039d5,1001,0
5,Boletim Econômico-Tributário ed. 05,https://receitadoc.sefaz.rs.gov.br/media/f1pl4ogi/05-boletim-econômico-tributário-receita-rs-jun-2024.pdf,OK,,1227671,fd6cc024f10246b18e8c91091a3ff2ba254fd88aa2a485a031903f4a9de3cb83,1100,0
6,Boletim Econômico-Tributário ed. 06,https://receitadoc.sefaz.rs.gov.br/media/1ipjugpc/06-boletim-econômico-tributário-receita-rs-jun-2024.pdf,OK,,1210215,dc529c77f95b6c91754074c8508e566e899d712f235416880f90938782af056a,957,0
7,Boletim Econômico-Tributário ed. 07,https://receitadoc.sefaz.rs.gov.br/media/jluoi2cd/07-boletim-econômico-tributário-receita-rs-jul-2024.pdf,OK,,1196312,52e9daeff58b0beab2e245fd68a742dce74062ba74e3b12657651d46781ae314,988,0
8,Boletim Econômico-Tributário ed. 08,https://receitadoc.sefaz.rs.gov.br/media/tlwfiz3z/08-boletim-econômico-tributário-receita-rs-jul-2024.pdf,OK,,1137450,9f875aacb674ec0151b6220e867e6fdf62b5de3c8a68e93c2b38e0d096948b2b,772,0
9,Boletim Econômico-Tributário ed. 09,https://receitadoc.sefaz.rs.gov.br/media/11nbjxex/09-boletim-econômico-tributário-receita-rs-ago-2024.pdf,OK,,1184867,15eb1727159e9f7adac7633cbb86447f183018ce51a166b3904f9eabe572eeec,642,0
11,Boletim Econômico-Tributário ed. 11,https://receitadoc.sefaz.rs.gov.br/media/5s1ctaxs/11-boletim-econômico-tributário-receita-rs-out-2024.pdf,OK,,961921,4a892df266fed36475bd226405838d1caad842e539724adfde9c1f3ef663798c,608,0
12,Boletim Econômico-Tributário ed. 12,https://receitadoc.sefaz.rs.gov.br/media/r5nbjcht/12-boletim-econômico-tributário-receita-rs-nov-2024.pdf,OK,,914001,a48ae2a368bd653cfe8c4f7d26fce4b9f490bc147166268310c4d80e30906d84,758,0
13,Boletim Econômico-Tributário ed. 13,https://receitadoc.sefaz.rs.gov.br/media/1hqht3ua/13-boletim-econômico-tributário-receita-rs-dez-2024.pdf,OK,,850366,491215695d79bafe31e8af4bef7f295bcad6ec77fa65f280a7cc60f9709dfef5,661,0
14,Boletim Econômico-Tributário ed. 14,https://receitadoc.sefaz.rs.gov.br/media/o5hahawe/14-boletim-econômico-tributário-receita-rs-abr-2025.pdf,OK,,873891,22b0c669c8540a89710bbb1114965be156390305d5275e11adfeca93266b84a6,646,0
15,Boletim Econômico-Tributário ed. 15,https://receitadoc.sefaz.rs.gov.br/media/r2ehw2zs/15-boletim-econômico-tributário-receita-rs-mai-2025.pdf,OK,,892723,c4c1f337e2377842f5d356a8b95e1fb5ae779afd59a209498864d8c13a50ef2d,700,0
