metric,period,geography,value,unit,nature,source,limitation
Exports total,2026-01 a 2026-08,São Borja/RS,9848096,US$ FOB,DADO OBSERVADO,"MDIC/SECEX Comex Stat API /cities","Município = domicílio fiscal do declarante; não origem física da mercadoria"
Exports total mass,2026-01 a 2026-08,São Borja/RS,32151627,kg,DADO OBSERVADO,"MDIC/SECEX Comex Stat API /cities","Domicílio fiscal; não origem física"
Imports total,2026-01 a 2026-08,São Borja/RS,6514628,US$ FOB,DADO OBSERVADO,"MDIC/SECEX Comex Stat API /cities","Município = domicílio fiscal do declarante; não destino físico final"
Imports total mass,2026-01 a 2026-08,São Borja/RS,17497000,kg,DADO OBSERVADO,"MDIC/SECEX Comex Stat API /cities","Domicílio fiscal; não destino físico final"
Trade balance FOB,2026-01 a 2026-08,São Borja/RS,3333468,US$ FOB,DADO CALCULADO,"Exports - Imports","Saldo por domicílio fiscal; não mede renda líquida territorial"
Rice exports SH4 1006,2026-01 a 2026-08,São Borja/RS,952735,US$ FOB,DADO CALCULADO,"Soma países SH4 1006","SH4 agrega diferentes formas de arroz"
Rice export mass SH4 1006,2026-01 a 2026-08,São Borja/RS,1281477,kg,DADO CALCULADO,"Soma países SH4 1006","Domicílio fiscal; não origem física"
Rice imports SH4 1006,2026-01 a 2026-08,São Borja/RS,6417496,US$ FOB,DADO CALCULADO,"Soma países SH4 1006","Não equivale a consumo municipal"
Rice import mass SH4 1006,2026-01 a 2026-08,São Borja/RS,17234000,kg,DADO CALCULADO,"Soma países SH4 1006","Não equivale a consumo municipal"
Rice share of imports FOB,2026-01 a 2026-08,São Borja/RS,98.51,%,DADO CALCULADO,"6417496 / 6514628 * 100","Estrutura das importações domiciliadas; não estrutura do consumo local"
Rice share of exports FOB,2026-01 a 2026-08,São Borja/RS,9.67,%,DADO CALCULADO,"952735 / 9848096 * 100","Estrutura das exportações domiciliadas"
Uruguay share of rice imports FOB,2026-01 a 2026-08,São Borja/RS,94.02,%,DADO CALCULADO,"6033956 / 6417496 * 100","Origem comercial declarada; não rota logística observada"
Soybean share of exports FOB,2026-01 a 2026-08,São Borja/RS,41.36,%,DADO CALCULADO,"4072934 / 9848096 * 100","SH4 1201"
Corn share of exports FOB,2026-01 a 2026-08,São Borja/RS,48.61,%,DADO CALCULADO,"4786899 / 9848096 * 100","SH4 1005"
