cnae,divisao,estabelecimentos,filiais_matriz_externa,participacao_externa_cadastral_pct,vinculos,vinculos_externos_estimados_pct,remuneracao_dez_externa_estimada_pct,razao_emprego_ext_sobre_cadastro_ext,razao_rem_ext_sobre_cadastro_ext,natureza,interpretacao,limitacao
"47","Comércio varejista",1720,114,6.63,2893,37.46,38.16,5.65,5.76,"CALCULADO SOBRE ESTIMATIVAS RAIS×RFB","Estruturas externas têm peso funcional muito superior à presença cadastral.","Não é market share; universos/períodos distintos; emprego/remuneração externos são estimados."
"64","Atividades de serviços financeiros",40,13,32.50,135,96.73,98.70,2.98,3.04,"CALCULADO SOBRE ESTIMATIVAS RAIS×RFB","Setor de rede com controle funcional externo quase total.","Não mede controle de depósitos, crédito, lucros ou fluxos financeiros."
"49","Transporte terrestre",626,26,4.15,588,29.95,42.76,7.22,10.30,"CALCULADO SOBRE ESTIMATIVAS RAIS×RFB","Poucas filiais externas concentram parcela relevante do emprego e, sobretudo, remuneração.","Não mede volume de cargas, faturamento ou rotas."
"46","Comércio por atacado",144,27,18.75,488,34.47,33.35,1.84,1.78,"CALCULADO SOBRE ESTIMATIVAS RAIS×RFB","Presença externa cadastral e funcional ambas materiais.","Não mede origem das mercadorias nem market share."
"35","Eletricidade, gás e utilidades",8,6,75.00,79,96.20,100.00,1.28,1.33,"CALCULADO SOBRE ESTIMATIVAS RAIS×RFB","Setor estruturalmente dominado por redes externas.","Base absoluta muito pequena; setor regulado."
"52","Armazenamento e atividades auxiliares dos transportes",63,12,19.05,331,33.41,30.47,1.75,1.60,"CALCULADO SOBRE ESTIMATIVAS RAIS×RFB","Presença externa relevante em logística, mas não dominante em número de estabelecimentos.","Não mede capacidade física, cargas ou faturamento."
"82","Serviços de escritório, apoio administrativo e outros serviços às empresas",219,7,3.20,198,37.40,42.96,11.69,13.42,"CALCULADO SOBRE ESTIMATIVAS RAIS×RFB","Pouquíssimas estruturas externas parecem concentrar operações empregadoras relativamente grandes.","Hipótese de concentração; RAIS pública não identifica empresa e o modelo é estimativo."
"45","Comércio e reparação de veículos",482,12,2.49,325,19.54,23.32,7.85,9.37,"CALCULADO SOBRE ESTIMATIVAS RAIS×RFB","Base majoritariamente local, com poucas estruturas externas de maior escala funcional.","Divisão mistura concessionárias, oficinas e comércio de peças."
"01","Agricultura, pecuária e serviços relacionados",165,15,9.09,192,22.56,23.13,2.48,2.54,"CALCULADO SOBRE ESTIMATIVAS RAIS×RFB","Predomínio cadastral local, com presença externa de maior escala média.","RAIS cobre apenas emprego formal e não representa toda a estrutura produtiva agropecuária."
"96","Outras atividades de serviços pessoais",402,5,1.24,27,46.30,57.57,37.34,46.43,"CALCULADO SOBRE ESTIMATIVAS RAIS×RFB","Razões muito elevadas decorrem de base funcional extremamente pequena.","Somente 27 vínculos; não usar as razões como relevância econômica sem considerar base absoluta."
