circuito,indicador,periodo,valor,unidade,natureza,fonte_ou_base,interpretacao,limitacao
Agro,VAB municipal,2021,795875000,R$ correntes,DADO OBSERVADO,IBGE PIB dos Municípios / SBMI,"Alta geração de valor no território","VAB não é faturamento nem renda disponível"
Agro,Participação no VAB,2021,33.87,% do VAB,DADO OBSERVADO,IBGE PIB dos Municípios / SBMI,"Âncora de geração de valor","Não mede retenção"
Agro,Participação no emprego formal,2021,12.41,% vínculos,DADO CALCULADO,RAIS 2021 / SBMI,"Transmissão laboral direta muito menor que peso no VAB","Estrutural; não é produtividade"
Agro,Remunerações/VAB — benchmark RS,2019,12.752852,%,BENCHMARK CALCULADO,TRU-RS 2019,"Baixa parcela do VAB convertida diretamente em remunerações no benchmark","Coeficiente estadual, não municipal"
Agro,Valor da produção compatível com benchmark,2021,1412266227.53,R$,ESTIMATIVA POR BENCHMARK,VAB SB 2021 × TRU-RS 2019,"Ordem de grandeza da produção bruta compatível","Não observada"
Agro,Consumo intermediário implícito benchmark,2021,616391227.53,R$,ESTIMATIVA POR BENCHMARK,VAB SB 2021 × TRU-RS 2019,"Ordem de grandeza do estágio produção→VAB","Não identifica origem dos fornecedores"
Agro,Remunerações compatíveis benchmark,2021,101496759.01,R$/ano,ESTIMATIVA POR BENCHMARK,VAB SB 2021 × TRU-RS 2019,"Canal laboral potencial sob estrutura RS","Não observada; residência dos recebedores desconhecida"
Terciário privado,VAB municipal comércio+demais serviços exceto adm pública,2021,928203000,R$ correntes,DADO OBSERVADO,IBGE PIB dos Municípios / SBMI,"Maior bloco privado de VAB em valor","Agregado amplo"
Terciário privado,Participação no emprego formal amplo,2021,69.45,% vínculos,DADO CALCULADO,RAIS 2021 / SBMI,"Principal circuito cotidiano de emprego","Categoria ampla"
Terciário privado,Remunerações/VAB — benchmark agregado RS,2019,40.477346,%,BENCHMARK CALCULADO,TRU-RS 2019,"Conversão laboral muito superior ao agro","Agregado analítico, não categoria oficial"
Terciário privado,Remunerações compatíveis benchmark,2021,375711944.38,R$/ano,ESTIMATIVA POR BENCHMARK,VAB SB 2021 × TRU-RS 2019,"Ordem de grandeza da renda laboral gerada pelo circuito","Não observada"
Varejo,Participação de estabelecimentos com matriz externa,2026-08,6.63,%,DADO CALCULADO,RFB / SBMI,"Baixa presença cadastral externa","Não é market share"
Varejo,Participação externa estimada no emprego,2024,37.46,%,ESTIMATIVA,RFB × RAIS / SBMI,"Redes externas têm peso funcional muito maior que cadastral","Não mede lucro/remessa"
Varejo,Participação externa estimada na remuneração,2024,38.16,%,ESTIMATIVA,RFB × RAIS / SBMI,"Emprego/remuneração também são canais de retenção local","Não mede gasto local"
Digital,Internet no valor transacionado em cartão de crédito — Brasil,4T2025,28.1,%,BENCHMARK NACIONAL,Banco Central do Brasil,"Exposição potencial a canal digital","Não é e-commerce local nem share de São Borja"
Público,VAB municipal administração pública,2021,351229000,R$ correntes,DADO OBSERVADO,IBGE PIB dos Municípios / SBMI,"Produção pública material","Não equivale a recursos externos"
Público,Remunerações/VAB — benchmark RS,2019,89.526088,%,BENCHMARK CALCULADO,TRU-RS 2019,"Produção pública fortemente intensiva em remunerações","Coeficiente estadual"
Público,Remunerações compatíveis benchmark,2021,314441582.98,R$/ano,ESTIMATIVA POR BENCHMARK,VAB SB 2021 × TRU-RS 2019,"Potencial de conversão direta do VAB em renda laboral","Não observada"
Público,Transferências correntes municipais realizadas,2025,295354667.6,R$/ano,DADO OBSERVADO,SICONFI DCA / SBMI,"Entrada orçamentária de grande escala","Inclui mecanismos federativos; não somar ao VAB"
Público,Transferências/receitas correntes,2025,74.66,%,DADO CALCULADO,SICONFI DCA / SBMI,"Forte dependência do financiamento municipal por transferências","Não mede retenção posterior"
Público,Folha não municipal documentada,jul-2026,9551979.21,R$/mês,ORDEM DE GRANDEZA DOCUMENTAL,CGU/Transparência RS/MPRS / SBMI,"Entrada recorrente de renda institucional","Piso parcial; residência/gasto não integralmente observados"
Transferências residentes,INSS/SUIBE,jul-2026,24535168.54,R$/mês,DADO CALCULADO SOBRE REGISTROS OFICIAIS,INSS/SUIBE / SBMI,"Entrada direta a residentes","Crédito ≠ consumo local"
Transferências residentes,Novo Bolsa Família,jul-2026,1513564,R$/mês,DADO CALCULADO SOBRE REGISTROS OFICIAIS,Portal da Transparência / SBMI,"Piso recorrente de demanda","Não somar mecanicamente às demais massas"
Demografia,Saldo migratório residual estimado,2010-2022,-4780 a -5001,pessoas,ESTIMATIVA RESIDUAL,IBGE + DATASUS / SBMI,"Perda populacional intercensitária foi compatível com saída líquida de moradores","Não atribuir causa econômica"
Renda,Mediana domiciliar per capita,2022,1100,R$/pessoa/mês,DADO OBSERVADO,IBGE Censo 2022,"Mercado consumidor central comprimido","Renda ≠ gasto"
Renda,Sem rendimento ou até 2 SM pc,2022,85.7922,% pessoas,DADO CALCULADO,IBGE Censo 2022,"Base ampla em faixas baixas/moderadas","Não é classe social"
Renda,Mais de 5 SM pc,2022,2.78295,% pessoas,DADO CALCULADO,IBGE Censo 2022,"Escala limitada para nichos puramente residentes","1.643 pessoas; não implica consumo de nicho"
