cnae_divisao,atividade,estabelecimentos_ativos,filiais_matriz_externa,participacao_externa_pct,participacao_matriz_local_pct,circuito_analitico,natureza,fonte,competencia,geografia,limitacao
"10","Fabricação de produtos alimentícios",126,1,0.79,99.21,"Agroindústria alimentar","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Contagem cadastral não mede faturamento, emprego ou produção"
"11","Fabricação de bebidas",4,0,0.00,100.00,"Agroindústria alimentar","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Base absoluta muito pequena"
"14","Confecção de artigos do vestuário e acessórios",67,0,0.00,100.00,"Bens não essenciais / produção local","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Divisão industrial; não mede varejo de moda"
"25","Fabricação de produtos de metal, exceto máquinas e equipamentos",108,1,0.93,99.07,"Apoio industrial / metalmecânico","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não identificar automaticamente como fornecedor do agro"
"31","Fabricação de móveis",22,0,0.00,100.00,"Bens não essenciais / produção local","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede capacidade produtiva nem vendas"
"33","Manutenção, reparação e instalação de máquinas e equipamentos",141,1,0.71,99.29,"Serviços industriais / apoio ao agro","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Exposição ao agro não quantificada"
"45","Comércio e reparação de veículos automotores e motocicletas",482,12,2.49,97.51,"Mobilidade / logística / bens não essenciais","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Divisão mistura comércio, peças e reparação"
"46","Comércio por atacado, exceto veículos automotores e motocicletas",144,27,18.75,81.25,"Distribuição B2B","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede origem/destino de mercadorias"
"47","Comércio varejista",1720,114,6.63,93.37,"Varejo transversal","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Divisão ampla; não separar essenciais/não essenciais"
"49","Transporte terrestre",626,26,4.15,95.85,"Logística e fronteira","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede volume de cargas ou passageiros"
"52","Armazenamento e atividades auxiliares dos transportes",63,12,19.05,80.95,"Logística e fronteira","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Não mede capacidade física ou fluxo"
"55","Alojamento",31,1,3.23,96.77,"Hospitalidade / captura de visitantes","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Estabelecimento ativo não equivale a leito, ocupação ou receita"
"56","Alimentação",409,4,0.98,99.02,"Alimentação fora do lar / captura de visitantes","DADO CALCULADO SOBRE RFB","Receita Federal — Dados Abertos CNPJ / derivado por divisão CNAE validado pelo SBMI","2026-08","São Borja","Inclui universo amplo da divisão; não mede informalidade nem faturamento"
