cnae_divisao,divisao,estabelecimentos_rfb_202608,filiais_externas_rfb_202608,participacao_externa_cadastral_pct,vinculos_rais_2025,vinculos_externos_estimados,rem_dez_total_rs,rem_dez_externa_estimada_rs,participacao_no_total_externo_dez_pct,vinculos_ext_por_estab_ext_proxy,vinculos_locais_por_estab_local_proxy,razao_escala_formal_ext_local_proxy,natureza,limitacao
"47","Comércio varejista",1720,114,6.63,2893,1083.743584,6782037.30,2588273.00,36.41,9.51,1.13,8.44,"DADOS OBSERVADOS + ESTIMATIVAS + CÁLCULOS","RAIS 2025 x RFB 2026-08; emprego externo estimado por célula CNAE×natureza; não é market share"
"64","Atividades de serviços financeiros",40,13,32.50,135,130.578947,1081200.92,1067114.00,15.01,10.04,0.16,61.34,"DADOS OBSERVADOS + ESTIMATIVAS + CÁLCULOS","Razão extrema e instável pela pequena base local estimada; não interpretar como produtividade"
"49","Transporte terrestre",626,26,4.15,588,176.092105,1902681.29,813565.40,11.45,6.77,0.69,9.87,"DADOS OBSERVADOS + ESTIMATIVAS + CÁLCULOS","Não mede volume de cargas ou faturamento"
"46","Comércio por atacado",144,27,18.75,488,168.209524,2169307.54,723527.20,10.18,6.23,2.73,2.28,"DADOS OBSERVADOS + ESTIMATIVAS + CÁLCULOS","Não mede origem/destino de mercadorias"
"35","Eletricidade, gás e outras utilidades",8,6,75.00,79,76.0,321425.66,321425.70,4.52,12.67,1.50,8.44,"DADOS OBSERVADOS + ESTIMATIVAS + CÁLCULOS","Base absoluta muito pequena e setor regulado"
"52","Armazenamento e atividades auxiliares dos transportes",63,12,19.05,331,110.583333,1012148.96,308379.20,4.34,9.22,4.32,2.13,"DADOS OBSERVADOS + ESTIMATIVAS + CÁLCULOS","Não mede capacidade física ou faturamento"
"71","Serviços de arquitetura e engenharia",36,1,2.78,131,69.0,444497.30,288938.40,4.07,69.00,1.77,39.02,"DADOS OBSERVADOS + ESTIMATIVAS + CÁLCULOS","Uma única filial externa torna a razão extremamente sensível; não interpretar como produtividade"
"82","Serviços de escritório e apoio administrativo",219,7,3.20,198,74.059524,487936.22,209625.40,2.95,10.58,0.58,18.20,"DADOS OBSERVADOS + ESTIMATIVAS + CÁLCULOS","Modelo sugere concentração em poucas estruturas; empresa não identificável na RAIS pública"
"45","Comércio e reparação de veículos",482,12,2.49,325,63.503205,835333.52,194772.70,2.74,5.29,0.56,9.50,"DADOS OBSERVADOS + ESTIMATIVAS + CÁLCULOS","Divisão heterogênea; não mede vendas"
"01","Agricultura, pecuária e serviços relacionados",165,15,9.09,192,43.310145,593208.92,137206.00,1.93,2.89,0.99,2.91,"DADOS OBSERVADOS + ESTIMATIVAS + CÁLCULOS","RAIS cobre emprego formal e não toda a estrutura produtiva"
