"layer","include_cnes_private_scope","cnes","cnes_nome","cnpj","cnpj_root","grupo_analitico","pom_inventory_2026","crosswalk_status","fonte","consulta","limitacao"
"CNES_PRIVATE","SIM","0136514","COMERCIO DE MEDICAMENTOS BRAIR LTDA","88212113024700","88212113","São João","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","CNES é cadastro de estabelecimento de saúde; não equivale à situação cadastral RFB nem market share."
"CNES_PRIVATE","SIM","4396235","DROGA RAIA LOJA 1358","61585865287850","61585865","Droga Raia","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação."
"CNES_PRIVATE","SIM","8245460","FARMACIA FRONTEIRA","94963576001501","94963576","Farmácias Fronteira","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação."
"CNES_PRIVATE","SIM","8419213","FARMACIA MARIA DO CARMO","20507692000176","20507692","Maria do Carmo","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação."
"CNES_PRIVATE","SIM","8247994","FARMACIAS FRONTEIRA","94963576001331","94963576","Farmácias Fronteira","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação."
"CNES_PRIVATE","SIM","0249068","MB FARMACIA","93641710001072","93641710","MB Farmácias","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação."
"CNES_PRIVATE","SIM","4660277","MB FARMACIAS","93641710004179","93641710","MB Farmácias","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação."
"CNES_PRIVATE","SIM","4889053","MB FARMACIAS","93641710004411","93641710","MB Farmácias","NÃO","CNES_EXTRA_VS_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Unidade corrente ausente do universo anterior de 20 CNPJs POM."
"CNES_PRIVATE","SIM","2881543","MB FARMACIAS FILIAL 29","93641710003105","93641710","MB Farmácias","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação geral."
"CNES_PRIVATE","SIM","4373189","MB FARMACIAS FILIAL 31","93641710003369","93641710","MB Farmácias","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação geral."
"CNES_PRIVATE","SIM","4394232","MB FARMACIAS FILIAL 36","93641710003873","93641710","MB Farmácias","SIM","MATCH_POM_CORRIGE_ENDERECO","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","CNES corrente sustenta Borges do Canto 468; duplicata antiga em 589 deve ser tratada como histórica/stale."
"CNES_PRIVATE","SIM","4028104","MB FARMACIAS FILIAL 64","93641710006465","93641710","MB Farmácias","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação geral."
"CNES_PRIVATE","SIM","5782015","MB FARMACIAS FILIAL 80","93641710008085","93641710","MB Farmácias","NÃO","CNES_EXTRA_VS_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Unidade corrente ausente do universo anterior de 20 CNPJs POM."
"CNES_PRIVATE","SIM","0809055","PANVEL FARMACIAS","92665611056121","92665611","Panvel","NÃO","CNES_EXTRA_VS_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Unidade corrente em Andradas 2161; inventário antigo atribuía esse endereço ao CNPJ Panvel 0467."
"CNES_PRIVATE","SIM","2923599","PANVEL FARMACIAS FILIAL 072","92665611005993","92665611","Panvel","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação geral."
"CNES_PRIVATE","SIM","9921117","PANVEL LOJA 1","92665611046754","92665611","Panvel","SIM","MATCH_POM_CORRIGE_DUPLICIDADE","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","CNES corrente associa 0467 a General Marques 902; Andradas 2161 pertence ao CNPJ 0561."
"CNES_PRIVATE","SIM","8408319","PHORMULA CENTRAL","15567315000192","15567315","Phormula Central","NÃO","CNES_EXTRA_VS_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Farmácia de manipulação; ausente do universo anterior de 20 CNPJs POM."
"CNES_PRIVATE","SIM","4889150","SAO JOAO FARMACIAS","88212113120008","88212113","São João","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação geral."
"CNES_PRIVATE","SIM","9686304","SAO JOAO FARMACIAS FILIAL 01","88212113004946","88212113","São João","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação geral."
"CNES_PRIVATE","SIM","0136832","SAO JOAO FARMACIAS FILIAL 02","88212113012450","88212113","São João","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação geral."
"CNES_PRIVATE","SIM","9686282","SAO JOAO FARMACIAS FILIAL 04","88212113024114","88212113","São João","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação geral."
"CNES_PRIVATE","SIM","0136212","SAO JOAO FARMACIAS FILIAL 06","88212113059848","88212113","São João","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação geral."
"CNES_PRIVATE","SIM","9686274","SAO JOAO FILIAL 05","88212113038760","88212113","São João","SIM","MATCH_POM","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Mesma limitação geral."
"CNES_PUBLIC","NÃO","9360778","FARMACIA BASICA DO CENTRO","88489786000101","88489786","Rede pública municipal","NÃO","EXCLUIDO_ESCOPO_PRIVADO","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Estabelecimento público; não compõe oferta varejista privada."
"CNES_PUBLIC","NÃO","9360786","FARMACIA BASICA DO PASSO","88489786000101","88489786","Rede pública municipal","NÃO","EXCLUIDO_ESCOPO_PRIVADO","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Estabelecimento público; não compõe oferta varejista privada."
"CNES_PUBLIC","NÃO","4061403","FARMACIA BASICA ZONA SUL","88489786000101","88489786","Rede pública municipal","NÃO","EXCLUIDO_ESCOPO_PRIVADO","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Estabelecimento público; não compõe oferta varejista privada."
"CNES_PUBLIC","NÃO","8353980","FARMACIA ESPECIALIZADA","88489786000101","88489786","Rede pública municipal","NÃO","EXCLUIDO_ESCOPO_PRIVADO","CNES/DATASUS — Tipo de Estabelecimento FARMACIA","2026-09-22","Estabelecimento público; não compõe oferta varejista privada."
"OUTSIDE_CNES_CONTROL","NÃO","","AGAFARMA SAO BORJA","26710619000183","26710619","Agafarma","SIM","POM_ONLY_OPERATIONAL_SIGNAL_OUTSIDE_CNES","Evidência operacional digital recente + cadastro secundário","2026-09-22","Há sinais de operação em 2026 e mudança de endereço; ausência no CNES não equivale a encerramento nem valida situação RFB."
