instituicao,empenho,funcao,subfuncao,programa,acao,rubrica,recurso,data,empenhado_R$,anulado_R$,liquidado_R$,pago_R$,eligibility
PREFEITURA MUNICIPAL DE SÃO BORJA,466 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASPS,2026-01-16,345923.96,0,345923.96,345923.96,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,484 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASPS,2026-01-16,91998.16,0,91998.16,91998.16,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,507 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-01-16,717693.15,93561.41,624131.74,624131.74,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,509 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,SUBVENÇÕES SOCIAIS,ASPS,2026-01-16,30000.00,0,30000.00,30000.00,EXCLUIR
PREFEITURA MUNICIPAL DE SÃO BORJA,511 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-01-16,131925.60,0,131925.60,131925.60,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,515 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,SUBVENÇÕES SOCIAIS,Assistência financeira da União destinada à complementação ao pagamento dos pisos salariais para pro,2026-01-16,462000.00,46662.07,413337.32,413337.32,EXCLUIR
PREFEITURA MUNICIPAL DE SÃO BORJA,516 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-01-16,4587902.76,108231.76,4479671.00,4479671.00,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,517 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,RESOLUÇÃO CIB/RS,2026-01-16,2381095.17,0,2381095.17,2381095.17,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,518 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASPS,2026-01-16,1783056.57,46798.04,1736258.53,1736258.53,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,606 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,RESOLUÇÃO CIB/RS,2026-01-19,375000.00,0,375000.00,375000.00,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,2386 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASPS,2026-02-06,360452.46,0,360452.46,360452.46,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,5141 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASPS,2026-03-17,96239.41,1266.28,94973.13,94973.13,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,5289 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASPS,2026-03-19,1081357.38,0,1081357.38,1081357.38,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,6352 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-04-06,131925.60,0,131925.60,131925.60,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,6353 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,RESOLUÇÃO CIB/RS,2026-04-06,375000.00,0,375000.00,375000.00,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,6354 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-04-06,4587902.76,80909.43,4506993.33,4506993.33,CORE_PROCUREMENT
