metric,value,unit,period,status,geography,source,limitation
"demography_population_census_2022","59676","pessoas","2022","OBSERVADO","São Borja","IBGE/Censo — consolidado no Mapa_variaveis_ativas","Censo; não comparar diretamente com estimativa"
"demography_population_estimate_2025","61311","pessoas","2025","OBSERVADO","São Borja","IBGE estimativa — consolidado no Mapa_variaveis_ativas","Estimativa intercensitária não prova reversão da trajetória censitária"
"migration_residual_2010_2022_low","-5001","pessoas","2010–2022","CALCULADO","São Borja","SBMI sobre componentes demográficos","Residual não identifica motivo/destino"
"migration_residual_2010_2022_high","-4780","pessoas","2010–2022","CALCULADO","São Borja","SBMI sobre componentes demográficos","Faixa estimada; residual não identifica causa"
"income_pc_median_2022","1100","R$/mês per capita","2022","OBSERVADO","São Borja","IBGE/Censo — Mapa_variaveis_ativas","Renda domiciliar ≠ salário/PIB"
"income_pc_mean_2022","1568.58","R$/mês per capita","2022","OBSERVADO","São Borja","IBGE/Censo — Mapa_variaveis_ativas","Renda domiciliar ≠ salário/PIB"
"income_pc_up_to_2sm_2022","85.79","%","2022","OBSERVADO","São Borja","IBGE/Censo — Mapa_variaveis_ativas","Faixa censitária; inclui sem renda"
"income_pc_above_5sm_2022","2.78","%","2022","OBSERVADO","São Borja","IBGE/Censo — Mapa_variaveis_ativas","Faixa censitária"
"inss_credits_2026_07","24.535","R$ milhões","jul/2026","OBSERVADO","São Borja","Base previdenciária consolidada no Mapa_variaveis_ativas","14.247 registros não equivalem necessariamente a beneficiários únicos"
"bolsa_familia_2026_07","1.514","R$ milhões","jul/2026","OBSERVADO","São Borja","Novo Bolsa Família — Mapa_variaveis_ativas","Não somar mecanicamente a outras rendas"
"vab_agro_2021","795.875","R$ milhões","2021","OBSERVADO","São Borja","PIB/VAB municipal — Mapa_variaveis_ativas","VAB ≠ faturamento"
"vab_private_tertiary_2021","928.203","R$ milhões","2021","OBSERVADO","São Borja","PIB/VAB municipal — Mapa_variaveis_ativas","VAB ≠ faturamento"
"vab_public_admin_2021","351.229","R$ milhões","2021","OBSERVADO","São Borja","PIB/VAB municipal — Mapa_variaveis_ativas","VAB ≠ gasto público total"
"remuneration_vab_agro_rs_2019","12.75","%","2019","BENCHMARK","Rio Grande do Sul","TRU-RS — Mapa_variaveis_ativas","Benchmark estadual, não coeficiente municipal"
"remuneration_vab_private_tertiary_rs_2019","40.48","%","2019","BENCHMARK","Rio Grande do Sul","TRU-RS — Mapa_variaveis_ativas","Benchmark estadual"
"remuneration_vab_public_rs_2019","89.53","%","2019","BENCHMARK","Rio Grande do Sul","TRU-RS — Mapa_variaveis_ativas","Benchmark estadual"
"municipal_current_revenue_2019","212.254","R$ milhões nominais","2019","OBSERVADO","São Borja","SICONFI/DCA — Mapa_variaveis_ativas","Receita corrente bruta"
"municipal_current_revenue_2025","395.602","R$ milhões nominais","2025","OBSERVADO","São Borja","SICONFI/DCA — Mapa_variaveis_ativas","Receita corrente bruta"
"municipal_current_transfers_2019","160.074","R$ milhões nominais","2019","OBSERVADO","São Borja","SICONFI/DCA — Mapa_variaveis_ativas","Transferências correntes brutas"
"municipal_current_transfers_2025","295.355","R$ milhões nominais","2025","OBSERVADO","São Borja","SICONFI/DCA — Mapa_variaveis_ativas","Transferências correntes brutas"
"current_transfers_share_mean_2019_2025","74.6361","%","2019–2025","CALCULADO","São Borja","SBMI / SICONFI-DCA","Participação média da série; não é renda domiciliar"
"vaf_growth_nominal_2019_2025","50.25","%","2019–2025","CALCULADO","São Borja","SEFAZ-RS VAF + SBMI","Nominal"
"current_revenue_growth_nominal_2019_2025","86.38","%","2019–2025","CALCULADO","São Borja","SICONFI/DCA + SBMI","Nominal"
"current_transfers_growth_nominal_2019_2025","84.51","%","2019–2025","CALCULADO","São Borja","SICONFI/DCA + SBMI","Nominal"
"paid_expense_growth_nominal_2019_2025","91.88","%","2019–2025","CALCULADO","São Borja","SICONFI/DCA + SBMI","Nominal"
"hig_contract_details_checked_2021_2025","719","páginas","2021–2025","OBSERVADO","São Borja","PMSB /acordos + SBMI","Censo da camada contratual, não de pagamentos"
"hig_contract_records_2021_2025","14","contratos","2021–2025","OBSERVADO","São Borja","PMSB /acordos + SBMI","Novos registros por exercício; não relações financeiras independentes"
"hig_2021_2022_share_new_records","71.4","%","2021–2025","CALCULADO","São Borja","SBMI","(6+4)/14; não mede participação financeira"
"pom_essentials_operators","54","linhas/operadores","2026","OBSERVADO/PARCIAL","São Borja","POM Essenciais","52 CNPJs documentais validados; 2 insuficientes"
"pom_essentials_digital_presence","72.22","%","2026","CALCULADO","São Borja","POM Essenciais","Presença nominal ≠ maturidade/venda"
"pom_health_pharmacy_cnpjs","20","CNPJs","2026","OBSERVADO/PARCIAL","São Borja","POM Saúde/Higiene","Inventário setorial; atividade/maturidade ainda a aprofundar"
"pom_health_multiunit_share","85","% das unidades","2026","CALCULADO","São Borja","POM Saúde/Higiene","Unidades em raízes multiunidade ≠ market share"
"pom_nonessential_cnpjs","103","CNPJs","2026","OBSERVADO/PARCIAL","São Borja","POM Não Essenciais","Inventário ≠ censo ativo definitivo"
"pom_nonessential_digital_presence","97.5","%","2026","CALCULADO","São Borja","POM Não Essenciais","Endpoint nominal ≠ maturidade/venda"
"food_cnae56_active","409","estabelecimentos","2026","OBSERVADO","São Borja","RFB/CNAE 56 — Mapa_variaveis_ativas","Cadastro ativo ≠ faturamento"
"food_cnae56_local_matrix_share","99.02","%","2026","CALCULADO","São Borja","RFB/CNAE 56 — Mapa_variaveis_ativas","Matriz local ≠ retenção integral"
"cadastur_lodging_units","90","UHs","2T2026","OBSERVADO","São Borja","Cadastur","Oferta formal ≠ ocupação/demanda"
"cadastur_lodging_beds","180","leitos","2T2026","OBSERVADO","São Borja","Cadastur","Oferta formal ≠ pernoites"
"comex_exports_2026_jan_aug","9.848","US$ milhões","jan–ago/2026","OBSERVADO","São Borja","Comex Stat /cities","Domicílio fiscal ≠ origem física"
"comex_imports_2026_jan_aug","6.515","US$ milhões","jan–ago/2026","OBSERVADO","São Borja","Comex Stat /cities","Domicílio fiscal ≠ destino final"
