bloco,grupo,linhas_brutas,linhas_nomeadas,cnpj_extraivel,cnpj_unicos_extraiveis,duplicidades_cnpj_pares,observacao_status,natureza,fonte,limitacao
"Comércio varejista de bens essenciais","Total inventário POM",54,54,47,"não recalculado nesta etapa","não recalculado","Camada corrente canônica já audita 52 CNPJs documentais; não substituir pela simples extração textual desta planilha","AUDITORIA DE INVENTÁRIO","Empresas de Varejo de São Borja — planilha de pesquisa","Inventário não é censo exaustivo; parsing textual de CNPJ não substitui auditoria documental já feita"
"Saúde, higiene e cuidados pessoais","Total inventário",41,41,39,37,2,"Há duas duplicidades de CNPJ; uma linha de cosméticos registra CNPJ baixado em jul/2025; duas linhas sem CNPJ extraível pelo parser","AUDITORIA DE INVENTÁRIO","Empresas de Varejo de São Borja","Não usar 41 como estoque ativo sem depuração de status"
"Saúde, higiene e cuidados pessoais","Farmácia/drogaria",22,22,22,20,2,"Duas duplicidades de CNPJ identificadas no inventário","AUDITORIA DE INVENTÁRIO","Empresas de Varejo de São Borja","20 CNPJs únicos extraíveis não equivalem automaticamente a 20 estabelecimentos ativos atuais"
"Saúde, higiene e cuidados pessoais","Óticas / ótica+joalheria",9,9,9,9,0,"Sem duplicidade de CNPJ detectada no parser","AUDITORIA DE INVENTÁRIO","Empresas de Varejo de São Borja","Status cadastral atual não revalidado nesta etapa"
"Saúde, higiene e cuidados pessoais","Produtos médicos/ortopédicos",1,1,0,0,0,"CNPJ não extraível do texto da linha","AUDITORIA DE INVENTÁRIO","Empresas de Varejo de São Borja","Requer validação documental"
"Saúde, higiene e cuidados pessoais","Perfumaria",5,5,5,5,0,"Sem duplicidade detectada","AUDITORIA DE INVENTÁRIO","Empresas de Varejo de São Borja","Status atual não revalidado"
"Saúde, higiene e cuidados pessoais","Cosméticos",4,4,3,3,0,"Uma linha sem CNPJ extraível e explicitamente marcada no inventário como CNPJ baixado em jul/2025","AUDITORIA DE INVENTÁRIO","Empresas de Varejo de São Borja","Não contar como ativo sem revalidação"
"Bens não essenciais","Total inventário",120,120,104,103,1,"Duas linhas têm nota explícita de CNPJ baixado; 16 linhas sem CNPJ extraível; uma duplicidade de CNPJ","AUDITORIA DE INVENTÁRIO","Empresas de Varejo de São Borja","Não usar 120 como estoque ativo"
"Bens não essenciais","Moda/calçados",61,61,51,51,0,"10 linhas sem CNPJ extraível; pelo menos uma linha marcada com CNPJ baixado","AGRUPAMENTO ANALÍTICO SBMI","Empresas de Varejo de São Borja","Agrupamento por texto da subcategoria; não categoria oficial"
"Bens não essenciais","Eletro/eletrônicos/mobile",8,8,8,7,1,"Uma duplicidade de CNPJ detectada","AGRUPAMENTO ANALÍTICO SBMI","Empresas de Varejo de São Borja","Não inferir número de lojas ativas sem depuração"
"Bens não essenciais","Móveis/casa",1,1,1,1,0,"Recorte textual restrito","AGRUPAMENTO ANALÍTICO SBMI","Empresas de Varejo de São Borja","Inventário pode subcobrir o mercado"
"Bens não essenciais","Pet/agro",22,22,21,21,0,"Uma linha sem CNPJ extraível","AGRUPAMENTO ANALÍTICO SBMI","Empresas de Varejo de São Borja","Mistura pet, agropecuária e agroveterinária"
"Bens não essenciais","Joias/ótica/relojoaria",11,11,10,10,0,"Uma linha sem CNPJ extraível","AGRUPAMENTO ANALÍTICO SBMI","Empresas de Varejo de São Borja","Sobreposição conceitual com ótica pode variar conforme inventário"
"Bens não essenciais","Presentes/utilidades/departamento",7,7,5,5,0,"Duas linhas sem CNPJ extraível; há observação de armarinho com CNPJ baixado no inventário amplo","AGRUPAMENTO ANALÍTICO SBMI","Empresas de Varejo de São Borja","Grupo textual heterogêneo"
"Bens não essenciais","Papelaria",3,3,2,2,0,"Uma linha sem CNPJ extraível","AGRUPAMENTO ANALÍTICO SBMI","Empresas de Varejo de São Borja","Pequena base"
"Serviços e alimentação fora do lar","Total de linhas da seção",80,3,3,3,0,"77 linhas são placeholders sem empresa identificada","AUDITORIA DE INVENTÁRIO","Empresas de Varejo de São Borja","A planilha NÃO pode ser usada para estimar 80 operadores de serviços/alimentação; usar RFB/RAIS/POM específico"
