periodo,indicador,geografia_tipo,geografia_nome,estrato_ou_produto,valor,unidade,variacao_mes_pct,variacao_ano_pct,variacao_12m_pct,natureza,fonte,limitacao
"2026-08","PCA-RE","COREDE","Fronteira Oeste","Cesta de alimentos",284.19,"R$","0.51","2.01","3.22","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","COREDE de referência; não é preço municipal de São Borja"
"2026-08","PCA-RE","Estado","Rio Grande do Sul","Cesta de alimentos",298.61,"R$","0.60","2.54","3.49","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Média estadual"
"2026-08","Diferença PCA-RE FO vs RS","COREDE/Estado","Fronteira Oeste / RS","Cesta de alimentos",-4.83,"%","", "", "","DADO CALCULADO","SBMI: (284,19/298,61 - 1)×100","Diferença relativa de nível do índice; não mede renda"
"2026-08","ICA-RE 12m","COREDE","Fronteira Oeste","Média",3.23,"%","","","3.23","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Índice regional por ponderação POF; não é inflação municipal"
"2026-08","ICA-RE 12m","Estado","Rio Grande do Sul","Média",3.49,"%","","","3.49","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Índice estadual"
"2026-08","ICA-RE 12m","COREDE","Fronteira Oeste","<2 SM",2.23,"%","","","2.23","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Faixa de renda metodológica da POF"
"2026-08","ICA-RE 12m","COREDE","Fronteira Oeste","2 a 3 SM",1.94,"%","","","1.94","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Faixa de renda metodológica da POF"
"2026-08","ICA-RE 12m","COREDE","Fronteira Oeste","3 a 6 SM",2.26,"%","","","2.26","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Faixa de renda metodológica da POF"
"2026-08","ICA-RE 12m","COREDE","Fronteira Oeste","6 a 10 SM",2.73,"%","","","2.73","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Faixa de renda metodológica da POF"
"2026-08","ICA-RE 12m","COREDE","Fronteira Oeste","10 a 15 SM",2.64,"%","","","2.64","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Faixa de renda metodológica da POF"
"2026-08","ICA-RE 12m","COREDE","Fronteira Oeste","15 a 25 SM",3.84,"%","","","3.84","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Faixa de renda metodológica da POF"
"2026-08","ICA-RE 12m","COREDE","Fronteira Oeste",">25 SM",4.29,"%","","","4.29","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Faixa de renda metodológica da POF"
"2026-08","Preço de grupo","COREDE","Fronteira Oeste","Hortaliças",5.58,"R$","-6.88","6.31","18.69","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Preço regional agregado ponderado; unidade específica do grupo conforme metodologia do projeto"
"2026-08","Preço de grupo","Estado","Rio Grande do Sul","Hortaliças",6.50,"R$","-7.27","16.28","22.45","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Média estadual agregada"
"2026-08","Preço de produto","COREDE","Fronteira Oeste","Cebola",5.43,"R$","-13.10","117.60","101.93","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Preço regional; não é preço de estabelecimento em São Borja"
"2026-08","Preço de produto","Estado","Rio Grande do Sul","Cebola",5.99,"R$","-11.80","101.39","102.89","DADO OBSERVADO","Boletim Preços Dinâmicos ed.25 — agosto/2026","Média estadual"
