action,semantic_family,total_R$,local_vendors,external_vendors,local_R$,local_pct,external_R$,external_pct,competition_pattern,hhi_first_round,top_vendor_pct,top3_pct,top_local_name,top_local_R$,top_external_name,top_external_R$
SAUDE | TRANSPORTE SANITÁRIO ELETIVO,SERVICO_TRANSPORTE_SANITARIO,3035329.72,8,9,429168.08,14.1391,2606161.64,85.8609,COMPETICAO_MISTA_OBSERVADA,1603.7923,21.6751,58.9005,EB BARBOSA LTDA,326077.11,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,657910.24
URBANISMO | MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,ILUMINACAO_PUBLICA_OBJETO_MISTO,3583070.8,20,36,2084687.64,58.1816,1498383.16,41.8184,COMPETICAO_MISTA_OBSERVADA,2506.3381,35.273,74.3433,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,1263855.26,ZAGONEL ILUMINACAO S.A.,1221733.83
ADMINISTRAÇÃO | RECADASTRAMENTO IMOBILIÁRIO,SERVICO_TECNICO_RECADASTRAMENTO,1378860.88,0,2,0,0,1378860.88,100,SEM_LOCAL_OBSERVADO,9127.9535,95.431,100,,0,TOPOCART TOPOGRAFIA ENGENHARIA E AEROLEV,1315860.88
SAUDE | FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,MEDICAMENTOS_E_PRODUTOS_FARMACEUTICOS,1003709.08,8,37,24168.31,2.4079,979540.77,97.5921,EXTERNO_DOMINANTE_LOCAL_RESIDUAL,707.7844,12.0116,31.6243,RICARDO DORNELES CHUQUEL,7399.16,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS L,120562
EDUCAÇÃO | MANUTENÇÃO DA EDUCAÇÃO INFANTIL - NOVOS,EQUIPAMENTOS_MATERIAIS_EDUCACAO_INFANTIL,703369.29,0,9,0,0,703369.29,100,SEM_LOCAL_OBSERVADO,4247.9463,58.5605,95.3941,,0,COMAP COMERCIO DE EQUIPAMENTOS EDUCACION,411896.4
TRANSPORTE | AQUISIÇÃO DE VEÍCULOS,VEICULOS_BEM_CAPITAL,675000,0,1,0,0,675000,100,SEM_LOCAL_OBSERVADO,10000,100,100,,0,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,675000
SAUDE | MANUTENÇÃO DO CER,REABILITACAO_ORTOSES_EQUIPAMENTOS,665346.17,5,12,68652.57,10.3183,596693.6,89.6817,COMPETICAO_MISTA_OBSERVADA,3663.8431,55.2291,83.7644,CLINICA VANESSA TEICHMANN - ATENDIMENTO,35653.9,ORTOPEDICA V2 INDUSTRIA E COMERCIO ORTES,367464.98
ADMINISTRAÇÃO | AQUISIÇÃO DE COMBUSTÍVEIS E LUBRIFICANTE,COMBUSTIVEIS_LUBRIFICANTES_INTERMEDIACAO_POSSIVEL,835466.94,6,5,311955.85,37.3391,523511.09,62.6609,COMPETICAO_MISTA_OBSERVADA,3833.9502,55.6515,92.4465,SIM REDE DE POSTOS LTDA,191948.92,PETROFFACIL COMBUSTIVEIS LTDA,464950
ASSISTÊNCIA SOCIAL | GESTÃO DE BENEFÍCIOS EVENTUAIS,BENEFICIOS_EVENTUAIS,605736.31,2,3,92391.81,15.2528,513344.5,84.7472,COMPETICAO_MISTA_OBSERVADA,4215.4519,59.4978,95.0648,CEMITERIO E CREMATORIO MEMORIAL ANGELOS,85291.81,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,360400
EDUCAÇÃO | INICIAÇÃO A EDUCAÇÃO ALIMENTAR E NUTRICI,ALIMENTACAO_ESCOLAR,501164.05,2,4,178075.61,35.5324,323088.44,64.4676,COMPETICAO_MISTA_OBSERVADA,3459.7911,42.9207,97.2892,ARCELIO IRIO KLEINERT,177209.69,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,215102.91
ADMINISTRAÇÃO | MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,SERVICOS_TIC,479721.24,2,4,248151.9,51.7284,231569.34,48.2716,COMPETICAO_MISTA_OBSERVADA,3593.9778,48.3677,95.0755,BRASIL TECPAR SERVIÇOS DE TELECOMUNICAÇÕES,232029.9,DBSELLER SERVICOS DE INFORMATICA LTDA,153746.72
EDUCAÇÃO | INICIAÇÃO À EDUCAÇÃO ALIMENTAR E NUTRICI,ALIMENTACAO_ESCOLAR,368679.49,2,3,148945.41,40.3997,219734.08,59.6003,COMPETICAO_MISTA_OBSERVADA,2930.501,34.2203,92.8781,ARCELIO IRIO KLEINERT,126163.33,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,108592.07
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO RESTAURANTE POPULAR,ALIMENTACAO_E_EQUIPAMENTOS,259998.64,11,42,59543.91,22.9016,200454.73,77.0984,COMPETICAO_MISTA_OBSERVADA,799.9855,16.3158,41.0838,ARCELIO IRIO KLEINERT,42420.82,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,35436.4
TRANSPORTE | VIAS URBANAS E RURAIS,INFRAESTRUTURA_VIARIA,293746.9,2,4,105123.32,35.787,188623.58,64.213,COMPETICAO_MISTA_OBSERVADA,3608.7842,53.5665,89.3536,JC VALDUGA LTDA,64128,PLANET PAV COMERCIO DE ASFALTOS LTDA,157350
