action,semantic_family,total_R$,local_presence_R$,local_presence_pct,external_R$,external_pct,local_offer_evidence,contestability_interpretation,limitation
SAUDE | TRANSPORTE SANITÁRIO ELETIVO,SERVICO_TRANSPORTE_SANITARIO,3035329.72,429168.08,14.1391,2606161.64,85.8609,PARTICIPACAO_LOCAL_OBSERVADA,Contestabilidade parcial observada,"Há pagamentos locais e externos na mesma finalidade; comparar rotas, capacidade, frota, licenças e desenho contratual."
URBANISMO | MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,ILUMINACAO_PUBLICA_OBJETO_MISTO,3583070.80,2084687.64,58.1816,1498383.16,41.8184,PARTICIPACAO_LOCAL_OBSERVADA,Contestabilidade parcial observada,"A finalidade combina material, equipamentos e instalação; presença local não prova substituição item a item."
ADMINISTRAÇÃO | RECADASTRAMENTO IMOBILIÁRIO,SERVICO_TECNICO_RECADASTRAMENTO,1378860.88,0.00,0.0000,1378860.88,100.0000,SEM_PARTICIPACAO_LOCAL_OBSERVADA,Contestabilidade não demonstrada,100% externo nesta ação; verificar se há oferta local com capacidade técnica e habilitação antes de interpretar como lacuna.
SAUDE | FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,MEDICAMENTOS_E_PRODUTOS_FARMACEUTICOS,1003709.08,24168.31,2.4079,979540.77,97.5921,OFERTA_VAREJISTA_LOCAL+PAGAMENTO_LOCAL_RESIDUAL,Contestabilidade institucional incerta,"Há 20 CNPJs de farmácias/drogarias no inventário local e pequena participação local na ação; isso não prova escala, atacado, preço ou habilitação B2G."
EDUCAÇÃO | MANUTENÇÃO DA EDUCAÇÃO INFANTIL - NOVOS,EQUIPAMENTOS_MATERIAIS_EDUCACAO_INFANTIL,703369.29,0.00,0.0000,703369.29,100.0000,SEM_PARTICIPACAO_LOCAL_OBSERVADA,Contestabilidade a investigar,"100% externo na ação; contratos 2026 mostram mobiliário/equipamentos, mas não há auditoria da oferta local equivalente."
TRANSPORTE | AQUISIÇÃO DE VEÍCULOS,VEICULOS_BEM_CAPITAL,675000.00,0.00,0.0000,675000.00,100.0000,SEM_PARTICIPACAO_LOCAL_OBSERVADA,Provável dependência de rede especializada,"100% externo no recorte; natureza do bem sugere dependência de concessionárias/fabricantes, mas oferta local específica não foi auditada."
SAUDE | MANUTENÇÃO DO CER,REABILITACAO_ORTOSES_EQUIPAMENTOS,665346.17,68652.57,10.3183,596693.60,89.6817,PARTICIPACAO_LOCAL_OBSERVADA,"Contestabilidade parcial, alta especialização","Há pequena parcela local, porém a ação agrega produtos e possivelmente serviços especializados."
ADMINISTRAÇÃO | AQUISIÇÃO DE COMBUSTÍVEIS E LUBRIFICANTE,COMBUSTIVEIS_LUBRIFICANTES_INTERMEDIACAO_POSSIVEL,835466.94,311955.85,37.3391,523511.09,62.6609,OFERTA_LOCAL_COMPROVADA+INTERMEDIACAO,Geografia do credor não mede geografia do fornecimento,"Há 10 revendedores locais em operação; parte dos pagamentos externos pode refletir gestor de cartão/rede, exigindo identificar postos efetivos."
ASSISTÊNCIA SOCIAL | GESTÃO DE BENEFÍCIOS EVENTUAIS,BENEFICIOS_EVENTUAIS,605736.31,92391.81,15.2528,513344.50,84.7472,PARTICIPACAO_LOCAL_OBSERVADA,Contestabilidade indeterminada,A ação não identifica o item econômico; abrir objeto antes de comparar oferta.
EDUCAÇÃO | INICIAÇÃO A EDUCAÇÃO ALIMENTAR E NUTRICI,ALIMENTACAO_ESCOLAR,501164.05,178075.61,35.5324,323088.44,64.4676,PARTICIPACAO_LOCAL_OBSERVADA+BASE_EMPRESARIAL_LOCAL,Contestabilidade parcial observada,"Há participação local e forte base local em alimentação; ainda é necessário separar alimentos, logística, escala e requisitos sanitários."
ADMINISTRAÇÃO | MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,SERVICOS_TIC,479721.24,248151.90,51.7284,231569.34,48.2716,PARTICIPACAO_LOCAL_OBSERVADA,Contestabilidade parcial observada,A ação é aproximadamente dividida entre presença local e externa; especialização e licenciamento podem explicar parte da parcela externa.
EDUCAÇÃO | INICIAÇÃO À EDUCAÇÃO ALIMENTAR E NUTRICI,ALIMENTACAO_ESCOLAR,368679.49,148945.41,40.3997,219734.08,59.6003,PARTICIPACAO_LOCAL_OBSERVADA+BASE_EMPRESARIAL_LOCAL,Contestabilidade parcial observada,Mesma família de finalidade; comparar itens e fornecedores antes de consolidar.
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO RESTAURANTE POPULAR,ALIMENTACAO_E_EQUIPAMENTOS,259998.64,59543.91,22.9016,200454.73,77.0984,PARTICIPACAO_LOCAL_OBSERVADA+BASE_EMPRESARIAL_LOCAL,Contestabilidade parcial observada,"Ação mistura insumos e equipamentos; fornecedores locais participam, mas a estrutura do objeto precisa ser separada."
TRANSPORTE | VIAS URBANAS E RURAIS,INFRAESTRUTURA_VIARIA,293746.90,105123.32,35.7870,188623.58,64.2130,PARTICIPACAO_LOCAL_OBSERVADA,Contestabilidade parcial observada,"Pode combinar materiais e serviços; avaliar jazida, usina, transporte, especificação e escala."
