funcao,acao,rubrica,total_R$,local_R$,local_pct,external_R$,external_pct,local_vendors,external_vendors,semantic_object_family,interpretation_limit
ADMINISTRAÇÃO,AQUISIÇÃO DE COMBUSTÍVEIS E LUBRIFICANTE,MATERIAL DE CONSUMO,835466.94,311955.85,37.3391,523511.09,62.6609,6,5,INTERMEDIACAO_POSSIVEL,Geografia do credor pode não coincidir com posto fornecedor.
TRANSPORTE,AQUISIÇÃO DE VEÍCULOS,EQUIPAMENTOS E MATERIAL PERMANENTE,675000,0,0,675000,100,0,1,SEM_LOCAL_OBSERVADO,Bem de capital; não inferir inexistência de concessionário/representante local sem auditoria.
SAUDE,FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",964631.84,0,0,964631.84,100,0,30,PRODUTOS_FARMACEUTICOS_DISTRIBUICAO,Núcleo farmacêutico da ação: 100% externo na primeira rodada; 20 farmácias locais no inventário não provam capacidade atacadista/B2G.
SAUDE,FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,MATERIAL DE CONSUMO,25000.54,21918.56,87.6723,3081.98,12.3277,7,4,MATERIAIS_DIVERSOS,A parcela local da ação está concentrada em outra rubrica e não deve ser usada como evidência de fornecimento local de medicamentos.
SAUDE,FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,EQUIPAMENTOS E MATERIAL PERMANENTE,13946.71,2119.76,15.199,11826.95,84.801,1,3,EQUIPAMENTOS,Objeto específico não aberto.
SAUDE,FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,129.99,129.99,100,0,0,1,0,SERVICO_RESIDUAL,Valor irrelevante para leitura farmacêutica.
ASSISTÊNCIA SOCIAL,GESTÃO DE BENEFÍCIOS EVENTUAIS,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",605736.31,92391.81,15.2528,513344.5,84.7472,2,3,BENEFICIOS_EVENTUAIS,"A rubrica não identifica item; pode conter alimentos, funeral ou outros benefícios."
EDUCAÇÃO,INICIAÇÃO A EDUCAÇÃO ALIMENTAR E NUTRICI,MATERIAL DE CONSUMO,501164.05,178075.61,35.5324,323088.44,64.4676,2,4,ALIMENTACAO_ESCOLAR,"Oferta local participa, mas externos dominam o valor."
EDUCAÇÃO,INICIAÇÃO À EDUCAÇÃO ALIMENTAR E NUTRICI,MATERIAL DE CONSUMO,368679.49,148945.41,40.3997,219734.08,59.6003,2,3,ALIMENTACAO_ESCOLAR,"Mesma família, grafia distinta; consolidar apenas após controle de duplicidade conceitual."
EDUCAÇÃO,MANUTENÇÃO DA EDUCAÇÃO INFANTIL - NOVOS,MATERIAL DE CONSUMO,703369.29,0,0,703369.29,100,0,9,MATERIAIS_E_EQUIPAMENTOS_EDUCACAO_INFANTIL,Ação documenta equipamentos/materiais em contratos; rubrica corrente é Material de Consumo.
SAUDE,MANUTENÇÃO DO CER,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",580031.72,0,0,580031.72,100,0,4,ORTOSES_PROTESES_E_AJUDAS_TECNICAS,Núcleo de distribuição gratuita 100% externo; alta especialização.
SAUDE,MANUTENÇÃO DO CER,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,60653.17,50679.17,83.5557,9974,16.4443,3,2,SERVICOS_CER,Serviços majoritariamente locais.
SAUDE,MANUTENÇÃO DO CER,MATERIAL DE CONSUMO,24661.28,17973.4,72.8811,6687.88,27.1189,3,6,MATERIAIS_CER,"Materiais de consumo majoritariamente locais em valor, apesar de maior número de credores externos."
URBANISMO,MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,MATERIAL DE CONSUMO,1975045.33,489718.83,24.7953,1485326.5,75.2047,11,33,MATERIAIS_ILUMINACAO,Materiais fortemente externos; objeto pode conter componentes e instalação em contratos mistos.
URBANISMO,MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,1473058.53,1466918.47,99.5832,6140.06,0.4168,8,3,SERVICOS_ILUMINACAO,Serviços quase integralmente ancorados localmente.
URBANISMO,MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,EQUIPAMENTOS E MATERIAL PERMANENTE,128523.6,126350,98.3088,2173.6,1.6912,2,1,EQUIPAMENTOS_ILUMINACAO,Equipamentos permanentes fortemente locais no recorte.
URBANISMO,MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,6443.34,1700.34,26.3891,4743,73.6109,1,1,TIC_ILUMINACAO,Valor pequeno; não generalizar.
ASSISTÊNCIA SOCIAL,MANUTENÇÃO DO RESTAURANTE POPULAR,MATERIAL DE CONSUMO,141680.85,49688.17,35.0705,91992.68,64.9295,7,26,INSUMOS_RESTAURANTE,Consumo/insumos com exposição externa majoritária.
ASSISTÊNCIA SOCIAL,MANUTENÇÃO DO RESTAURANTE POPULAR,EQUIPAMENTOS E MATERIAL PERMANENTE,108259.05,297,0.2743,107962.05,99.7257,1,18,EQUIPAMENTOS_RESTAURANTE,Equipamentos quase integralmente externos.
ASSISTÊNCIA SOCIAL,MANUTENÇÃO DO RESTAURANTE POPULAR,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,9558.74,9558.74,100,0,0,4,0,SERVICOS_RESTAURANTE,Serviços integralmente locais no recorte.
ASSISTÊNCIA SOCIAL,MANUTENÇÃO DO RESTAURANTE POPULAR,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,500,0,0,500,100,0,1,TIC_RESIDUAL,Valor imaterial para o diagnóstico.
ADMINISTRAÇÃO,MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,459601.24,232029.9,50.485,227571.34,49.515,1,3,SERVICOS_TIC,Divisão quase equilibrada local/externa.
ADMINISTRAÇÃO,MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,MATERIAL DE CONSUMO,16122,16122,100,0,0,1,0,MATERIAL_TIC,Material de consumo local no recorte.
ADMINISTRAÇÃO,MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,3998,0,0,3998,100,0,1,SERVICO_TIC_RESIDUAL,Valor pequeno.
ADMINISTRAÇÃO,RECADASTRAMENTO IMOBILIÁRIO,OUTROS SERVIÇOS DE TERCEIROS PESSOA JURÍDICA,1315860.88,0,0,1315860.88,100,0,1,SERVICO_TECNICO_RECADASTRAMENTO,"Contrato técnico especializado, concentrado em um credor externo."
ADMINISTRAÇÃO,RECADASTRAMENTO IMOBILIÁRIO,SERVIÇOS DE CONSULTORIA,63000,0,0,63000,100,0,1,CONSULTORIA_RECADASTRAMENTO,Componente de consultoria também externo.
SAUDE,TRANSPORTE SANITÁRIO ELETIVO,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",1549496.34,326077.11,21.0441,1223419.23,78.9559,1,3,SERVICO_TRANSPORTE_EM_RUBRICA_339032,Rubrica inclui serviço; não interpretar como bem distribuído.
SAUDE,TRANSPORTE SANITÁRIO ELETIVO,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,767187.3,26289.99,3.4268,740897.31,96.5732,7,6,SERVICOS_TRANSPORTE,Serviços fortemente externos apesar de vários credores locais de pequeno valor.
SAUDE,TRANSPORTE SANITÁRIO ELETIVO,MATERIAL DE CONSUMO,718646.08,76800.98,10.6869,641845.1,89.3131,6,1,MATERIAL_CONSUMO_TRANSPORTE,Pode incluir combustível/insumos; objeto ainda precisa ser separado.
TRANSPORTE,VIAS URBANAS E RURAIS,MATERIAL DE CONSUMO,229618.9,40995.32,17.8536,188623.58,82.1464,1,4,MATERIAIS_VIARIOS,Materiais majoritariamente externos.
TRANSPORTE,VIAS URBANAS E RURAIS,OBRAS E INSTALAÇÕES,64128,64128,100,0,0,1,0,OBRAS_VIARIAS,Obras integralmente locais no recorte.
