rubrica,classificacao,valor_pago_R$,criterio
OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CORE_PROCUREMENT,49724923.70,"Aquisição/contratação de serviços de PJ; núcleo principal"
OBRIGAÇÕES PATRONAIS,EXCLUIR,17063887.10,"Obrigação trabalhista/previdenciária; não compra"
MATERIAL DE CONSUMO,CORE_PROCUREMENT,9327033.35,"Aquisição de insumos e materiais consumíveis"
PRINCIPAL DA DÍVIDA POR CONTRATO,EXCLUIR,7144462.14,"Amortização de dívida; não compra corrente"
OUTROS BENEFÍCIOS ASSISTENCIAIS,EXCLUIR,5788946.15,"Benefício/transferência assistencial; não compra"
AMORT DO PASSIVO ATUARIAL COM O RPPS - APORTE PERI,EXCLUIR,5298083.52,"Aporte previdenciário; não compra"
VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL,EXCLUIR,4459994.57,"Pessoal; não compra"
"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",CORE_PROCUREMENT,4138893.49,"Aquisição de bem/material/serviço para distribuição; contratação mercantil"
SUBVENÇÕES SOCIAIS,EXCLUIR,3985121.30,"Transferência/subvenção; não compra"
JUROS SOBRE A DÍVIDA POR CONTRATO,EXCLUIR,3754711.01,"Serviço da dívida; não compra"
EQUIPAMENTOS E MATERIAL PERMANENTE,CORE_PROCUREMENT,3296925.51,"Aquisição de bens de capital"
OBRAS E INSTALAÇÕES,CORE_PROCUREMENT,2856792.74,"Contratação de obra/instalação"
CONTRATAÇÃO POR TEMPO DETERMINADO,EXCLUIR,2598868.08,"Pessoal/contratação temporária; não fornecedor mercantil"
OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS,EXCLUIR,2570854.44,"Tributos/contribuições; não compra"
SENTENCAS JUDICIAIS,EXCLUIR,2460306.72,"Obrigação judicial; não compra"
SUBVENÇÕES ECONOMICAS,EXCLUIR,1420185.88,"Transferência/subvenção; não compra"
OUTROS SERVIÇOS DE TERCEIROS PESSOA JURÍDICA,CORE_PROCUREMENT,1315860.88,"Variante nominal de serviços de terceiros PJ"
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,CORE_PROCUREMENT,1136695.44,"Contratação de TIC"
INDENIZAÇÕES E RESTITUIÇÕES,EXCLUIR,648003.64,"Indenização/restituição; não compra"
AUXÍLIOS,EXCLUIR,630925.88,"Auxílio/transferência; não compra"
CONTRIBUIÇÕES,EXCLUIR,600980.40,"Contribuição institucional; não compra"
AUXÍLIO ALIMENTAÇÃO,AMBIGUO,560317.88,"Pode envolver fornecedor/intermediário contratado, mas é benefício e pode funcionar como pass-through"
DESPESAS DE EXERCÍCIOS ANTERIORES,AMBIGUO,382713.37,"Rubrica não informa a natureza econômica original; exige inspeção do empenho"
COMPENSAÇÕES A REGIMES DE PREVIDÊNCIA,EXCLUIR,236987.71,"Compensação previdenciária; não compra"
JUROS SOBRE A DIVIDA POR CONTRATOS,EXCLUIR,173658.16,"Serviço da dívida; não compra"
SERVIÇOS DE CONSULTORIA,CORE_PROCUREMENT,155954.67,"Contratação de serviço especializado"
RESSARCIAMENTO DE DESPESAS DE PESSOAL REQUISITADO,EXCLUIR,137311.62,"Ressarcimento de pessoal; não compra"
PASSAGENS E DESPESAS COM LOCOMOÇÃO,CORE_PROCUREMENT,86411.40,"Aquisição de transporte/passagem; compra de serviço"
AUXÍLIO TRANSPORTE,EXCLUIR,83443.80,"Benefício de pessoal; não compra"
PREMIAÇÕES CULT. ARTÍST. CIENT. DESPORT. E OUTRAS,EXCLUIR,67878.21,"Premiação; não compra"
INDENIZAÇÕES  TRABALHISTAS,EXCLUIR,21683.54,"Indenização trabalhista; não compra"
OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA,AMBIGUO,17264.40,"Rubrica PF dentro do universo de credores CNPJ; exige inspeção antes de classificar"
DIÁRIAS - PESSOAL CIVIL,EXCLUIR,0.00,"Diárias; não compra"
