uf,municipio,vendors,pago_R$,share_external,share_core
RS,PORTO ALEGRE,52,1468231.28,0.08110222184442342,0.02038092240728673
PR,CURITIBA,9,1393435.94,0.07697067367470387,0.01934266771149615
DF,BRASILIA,11,1363330.92,0.07530773130048145,0.018924771644951502
SC,PINHALZINHO,2,1223110.83,0.06756224800971201,0.016978337991642625
RS,SANTO ANTONIO DAS MISSOES,3,1079066.4,0.059605515663488234,0.014978817622459476
RS,PASSO FUNDO,6,974506.18,0.053829813787322156,0.013527388437059728
RS,NOVO CABRAIS,2,838130.42,0.046296683760476624,0.011634318986315728
RS,VENANCIO AIRES,1,793985.5,0.043858204793358904,0.011021531204546171
RS,SANTA MARIA,9,762536.51,0.042121024147157814,0.010584979120614587
SP,BARUERI,1,702005.12,0.038777388653755636,0.009744726239750196
PA,PARAGOMINAS,1,625800.0,0.03456796699648042,0.008686901999853893
RS,IJUI,7,361816.35,0.019986026918483554,0.005022472314469217
RS,LAJEADO,6,319200.05,0.017631985927892137,0.004430903727546281
RS,CAXIAS DO SUL,5,250842.99,0.013856075742439225,0.0034820205680414352
RS,ROSARIO DO SUL,1,244278.52,0.013493467269589457,0.0033908973536422964
RS,BARAO DE COTEGIPE,9,232094.16,0.012820427074074539,0.003221762899741786
RS,URUGUAIANA,4,224816.57,0.012418427248357192,0.003120740670395163
SC,CHAPECO,3,192177.06,0.010615484607799036,0.0026676626507511052
RS,TUCUNDUVA,1,175239.79,0.009679902967705592,0.002432551745293986
RS,ERECHIM,11,167413.26,0.009247580770938313,0.002323909528756887
RS,ENCANTADO,5,165169.25,0.009123626051187958,0.002292759808468149
RS,ENTRE IJUIS,1,165040.54,0.009116516362737786,0.0022909731495413337
RS,TAQUARA,1,163023.5,0.00900509902149365,0.0022629740622773747
RS,ESTANCIA VELHA,3,160228.75,0.008850722502216862,0.0022241793685028595
RS,SANTO ANGELO,5,158591.01,0.008760256950492963,0.0022014454489099533
SC,NAVEGANTES,1,154204.13,0.0085179342866107,0.002140549960502924
RS,SAO PEDRO DO BUTIA,1,130475.2,0.007207194642791918,0.0018111621537413498
RS,SANTIAGO,5,124884.34,0.006898366480500543,0.0017335538876580914
RS,BOA VISTA DO BURICA,2,110621.78,0.006110530585062189,0.0015355713677043742
RS,SAO JOSE DO INHACORA,2,109327.5,0.006039037091415329,0.0015176051108805153
RS,CRUZ ALTA,4,107734.08,0.005951019689735029,0.0014954864094030348
SP,ITAPIRA,2,105179.31,0.005809899195897384,0.0014600229440432288
RS,CANOAS,7,98346.29,0.005432456546734249,0.0013651719131978445
ES,SERRA,3,94012.99,0.005193093537169134,0.0013050201835142924
RS,ELDORADO DO SUL,1,93269.92,0.005152047804928682,0.0012947054243755394
RS,BOM PRINCIPIO,2,92459.26,0.0051072685333956565,0.001283452429848212
MG,POUSO ALEGRE,1,91200.0,0.005037709475997147,0.0012659722952807209
RS,IVOTI,2,87519.8,0.004834422431988762,0.001214886426409097
SC,ITAJAI,1,84000.0,0.004639995569997371,0.001166027114074348
RS,DOUTOR MAURICIO CARDOSO,1,83165.13,0.004593878985455423,0.0011544380538752142
RS,CAMPO BOM,1,82107.92,0.004535480774544031,0.0011397626309553267
RS,VERA CRUZ,2,73790.6,0.0040760482988981914,0.0010243076233787452
SC,LONTRAS,1,71440.1,0.003946211280002015,0.0009916796860974149
PR,PATO BRANCO,4,69878.01,0.0038599244861932383,0.0009699958849709336
PR,TOLEDO,2,62915.78,0.003475344529558681,0.0008733512545611498
RS,PAULO BENTO,1,61687.96,0.0034075221562163698,0.0008563075472849264
AM,MANAUS,1,61347.44,0.003388712497984281,0.0008515806954648718
RS,DOUTOR RICARDO,1,59860.0,0.003306549224048127,0.0008309331315296486
SC,BRUSQUE,1,59780.0,0.0033021301806481296,0.0008298226295162444
RS,GIRUA,3,57337.0,0.003167183642820706,0.0007959106742819154
RS,SAO LUIZ GONZAGA,4,53917.55,0.002978299918394188,0.0007484443479102306
SC,JARAGUA DO SUL,2,52517.77,0.002900978811263582,0.000729013616556195
SC,ITAPIRANGA,2,51200.0,0.002828187775998398,0.0007107212885786502
RS,CERRO LARGO,2,49760.0,0.002748644994798443,0.0006907322523373757
RS,CIDREIRA,1,48000.0,0.002651426039998498,0.0006663012080424846
RS,TRES DE MAIO,3,45080.64,0.0024901663082457894,0.0006257767685693407
RS,ITAQUI,6,43591.66,0.0024079179677241862,0.0006051078274703595
RS,PUTINGA,1,41417.74,0.002287834882372654,0.0005749310457581153
RS,CARAZINHO,2,39942.75,0.0022063593220656252,0.0005544563036987282
PR,MEDIANEIRA,1,39014.0,0.0021550569900937793,0.0005415640693868644
SP,RIBEIRAO PRETO,1,38340.0,0.0021178265494488004,0.0005322080899239346
RS,BROCHIER,1,38256.0,0.002113186553878803,0.0005310420628098602
RS,MARAU,3,34144.54,0.0018860775516618812,0.0004739697552094778
RS,TAQUARI,1,34000.0,0.001878093444998936,0.00047196335569675996
RS,CACHOEIRINHA,3,33856.67,0.0018701761763674156,0.0004699737525269947
RS,SANTA CRUZ DO SUL,4,32310.98,0.001784795286455639,0.00044851760431326165
RS,SAO PEDRO DA SERRA,1,32267.76,0.0017824078982587902,0.00044791765560052004
MG,TRES CORACOES,1,30690.0,0.0016952555243240398,0.0004260163348921636
SC,MARAVILHA,2,30684.96,0.0016949771245898398,0.0004259463732653191
PR,FRANCISCO BELTRAO,4,30571.57,0.0016887136829507685,0.00042437237547407046
PR,CASCAVEL,1,27733.4,0.0015319387278686324,0.00038497495673178007
RS,MACAMBARA,1,27681.79,0.001529087892495209,0.0003842585441203827
ES,CARIACICA,1,27170.0,0.0015008176147241498,0.0003771542463023814
RS,BAGE,1,26195.6,0.0014469936661121803,0.00036362833177911894
RS,BARAO,1,26094.85,0.0014414284333303085,0.0003622297933059881
RS,OSORIO,1,25996.0,0.0014359681528291867,0.00036085762925567563
PR,CIANORTE,1,24980.0,0.0013798463016492185,0.00034675425368544305
MG,BELO HORIZONTE,6,24048.18,0.0013283743888868977,0.000333819403858815
RS,PELOTAS,3,18431.62,0.0010181266089032733,0.00025585438900375046
RS,ARATIBA,3,18333.0,0.0010126790331519264,0.0002544854176467265
RS,VILA MARIA,1,18000.0,0.0009942847649994369,0.00024986295301593174
RS,TRIUNFO,2,17950.0,0.0009915228628744385,0.0002491688892575541
SP,LEME,2,17918.7,0.0009897939121441895,0.00024873440534480977
RS,TEUTONIA,1,17080.0,0.0009434657658994656,0.0002370921798617841
SP,SAO PAULO,4,16618.65,0.0009179816949921051,0.00023068805356323411
SP,MINEIROS DO TIETE,1,16200.5,0.0008948839075207431,0.00022488359835192234
SC,SAO JOSE,1,15866.21,0.0008764183822934285,0.00022024322687616145
RS,ROLADOR,1,15493.15,0.0008558112781583903,0.0002150646783621546
SC,RIO DO SUL,1,15212.39,0.000840302645346099,0.00021116737154611276
RS,COLINAS,1,14726.4,0.0008134575090715392,0.00020442121062743426
PR,LONDRINA,4,13926.34,0.0007692637607890143,0.00019331535761688283
RS,NOVA BASSANO,1,13750.0,0.0007595230843745697,0.00019086753355383675
SP,ARACATUBA,2,13565.0,0.0007493040465120756,0.00018829949764783967
PR,SAO JOSE DOS PINHAIS,1,13291.98,0.0007342229561487341,0.00018450963190159468
RJ,RIO DE JANEIRO,3,12660.51,0.0006993417894512789,0.00017574402307154077
RS,SERTAO,1,12292.07,0.0006789898850725904,0.000170629606048808
RS,CAMAQUA,1,12000.0,0.0006628565099996245,0.00016657530201062115
SC,CAPINZAL,1,11830.0,0.0006534660427746299,0.00016421548523213735
RS,FREDERICO WESTPHALEN,3,11468.73,0.0006335101951606662,0.00015920059695235592
PR,PONTA GROSSA,1,10817.32,0.0005975275818957615,0.00015015819549546103
RS,ALVORADA,1,10794.3,0.0005962560021574122,0.000149838648541104
PR,GUAIRA,1,10680.0,0.0005899422938996659,0.00014825201878945283
RS,REDENTORA,1,10474.3,0.0005785798285574222,0.00014539664048748743
RS,NOVA BRESCIA,1,10444.0,0.0005769061158696732,0.0001449760378499106
RS,FELIZ,2,9716.77,0.000536735354222421,0.00013488115810981194
RS,BENTO GONCALVES,1,9639.6,0.0005324726344826985,0.00013380994010513198
SC,ITAPEMA,2,9424.83,0.0005206091600949801,0.0001308286586373969
SC,ARAQUARI,1,9294.0,0.0005133823669947092,0.00012901257140722608
SP,OSASCO,1,9047.54,0.000499768399040167,0.0001255913923294313
RS,AGUDO,1,8940.0,0.0004938280999497202,0.00012409859999791277
SC,BLUMENAU,4,8830.05,0.0004877546771768488,0.00012257235379324046
PR,CAMBE,3,8652.3,0.00047793611512247924,0.00012010495713220811
SC,LAGES,1,8536.36,0.00047153181647503295,0.00011849556208928218
RS,NOVO HAMBURGO,1,7100.0,0.00039219010174977787,9.855705368961752e-05
RS,NOVA PRATA,1,7026.51,0.0003881306580064552,9.753691877755414e-05
ES,VILA VELHA,1,6999.9,0.00038666077369553097,9.716753804534558e-05
MG,CARMO DO RIO CLARO,1,6975.0,0.00038528534643728177,9.682189429367355e-05
PR,PINHAIS,2,6905.0,0.00038141868346228396,9.585020503194493e-05
SP,JUNDIAI,2,6806.69,0.00037598823150411206,9.448553687022292e-05
RS,SAO MARTINHO,1,6000.0,0.00033142825499981227,8.328765100531058e-05
PR,ARAPONGAS,2,5908.8,0.0003263905455238151,8.202167871002986e-05
RS,QUARAI,1,5905.69,0.0003262187552116402,8.197850794425876e-05
SP,SAO JOSE DO RIO PRETO,1,5600.0,0.00030933303799982476,7.773514093828987e-05
SC,SANTO AMARO DA IMPERATRIZ,1,5550.6,0.00030660427870032636,7.704940594501282e-05
SP,LIMEIRA,2,5454.81,0.0003013130266092543,7.571971859671303e-05
RS,SANTO ANTONIO DA PATRULHA,1,5362.76,0.0002962283647971322,7.444194721753989e-05
GO,GOIANIA,1,5174.7,0.00028584029852458807,7.183143460953011e-05
SC,TAIO,1,5115.79,0.00028258622544091494,7.101368868940964e-05
RS,ERVAL SECO,1,5100.0,0.0002817140167498404,7.0794503354514e-05
PR,MARINGA,3,4814.59,0.00026594852703992435,6.683264860894304e-05
SP,AMERICANA,2,4724.95,0.00026099698891022714,6.55883311029237e-05
PB,ALAGOINHA,1,4540.0,0.00025078071294985793,6.302098926068501e-05
RS,VIAMAO,4,4520.0,0.00024967595209985857,6.274336375733397e-05
RS,GRAMADO,1,4518.6,0.00024959861884035864,6.27239299720994e-05
RS,JAGUARI,1,4380.6,0.00024197576897536295,6.0808313998977255e-05
RS,PALMITINHO,1,4175.95,0.00023067130357774432,5.796751103593778e-05
PR,IVAIPORA,2,4120.0,0.0002275807350998711,5.7190853690313264e-05
RS,TAQUARUCU DO SUL,2,3791.4,0.00020942951433438136,5.262946667025575e-05
RS,SANTA ROSA,2,3433.29,0.00018964821893471757,4.765844322000379e-05
SC,CAMBORIU,1,3355.0,0.00018532363258739502,4.657167818713617e-05
SP,INDAIATUBA,1,3151.2,0.0001740661195259014,4.3742674307989114e-05
SC,JOINVILLE,1,3080.0,0.00017013317089990362,4.275432751605943e-05
RS,BARRA FUNDA,1,3007.5,0.0001661284128186559,4.1747935066411926e-05
MG,VARGINHA,1,2990.0,0.00016516174707490645,4.150501275097977e-05
MS,NAVIRAI,1,2985.0,0.00016488555686240661,4.143560637514201e-05
RS,SERAFINA CORREA,1,2833.25,0.00015650318391303636,3.9329122868466035e-05
SC,IPORA DO OESTE,1,2806.08,0.0001550023662983122,3.895196862216365e-05
PR,FLORAI,1,2684.0,0.00014825890606991602,3.7257342549708934e-05
SC,BARRA VELHA,1,2672.4,0.0001476181447769164,3.7096319757765335e-05
SP,CAMPINAS,1,2551.54,0.00014094207496037015,3.5418628841015025e-05
MG,CURVELO,2,2500.9,0.00013814482048817175,3.471568106653021e-05
RS,CARLOS BARBOSA,1,2430.0,0.00013422844327492397,3.373149865715078e-05
PR,SANTO ANTONIO DA PLATINA,1,2401.3,0.00013264311145517487,3.333310605984205e-05
RS,GARIBALDI,1,2200.0,0.00012152369349993117,3.053880536861388e-05
SC,BIGUACU,1,2150.5,0.00011878941039618271,2.9851682247820066e-05
RS,ITAARA,1,2118.0,0.00011699417401493373,2.9400540804874634e-05
PR,GUARAPUAVA,1,1989.9,0.00010991818077068774,2.7622349455911254e-05
RS,PIRAPO,1,1742.0,9.62246700349455e-05,2.4181181341875172e-05
PR,UMUARAMA,1,1659.6,9.167305533294806e-05,2.3037364268068905e-05
ES,VITORIA,1,1633.55,9.023410432582389e-05,2.267575704995418e-05
RS,SAO LEOPOLDO,1,1631.5,9.012086633869895e-05,2.26473004358607e-05
RS,CRISSIUMAL,1,1626.0,8.981705710494913e-05,2.2570953422439166e-05
MG,EXTREMA,1,1563.0,8.63370604274511e-05,2.1696433086883407e-05
GO,APARECIDA DE GOIANIA,1,1436.8,7.936601946395504e-05,1.9944616160738372e-05
PR,DOIS VIZINHOS,1,1400.0,7.733325949995619e-05,1.943378523457247e-05
SP,RIO CLARO,1,1349.0,7.451611933245779e-05,1.8725840201027328e-05
RJ,DUQUE DE CAXIAS,1,1171.17,6.469313823468836e-05,1.62573330379816e-05
RS,ESPUMOSO,1,1061.5,5.863518211371679e-05,1.4734973590356196e-05
SC,TIJUCAS,1,970.0,5.358090122496965e-05,1.346483691252521e-05
PR,CAMPO MAGRO,1,950.0,5.247614037497028e-05,1.3187211409174174e-05
MG,SAO JOAO DEL REI,1,934.68,5.1629893563870754e-05,1.2974550273607281e-05
