metric,value,unit,period,nature,source,limitation
"school_meals_cnpj_core_paid","869843.54","R$ pagos a CNPJ","01/01–19/09/2026","OBSERVADO/CALCULADO","Portal PMSB core CNPJ","Exclui credores PF/CPF e não representa toda execução de alimentação escolar"
"school_meals_cnpj_local_paid","327021.02","R$ pagos a CNPJ com presença local","01/01–19/09/2026","CALCULADO","SBMI + RFB","Não incluir como taxa total de compra local; universo só CNPJ"
"school_meals_cnpj_external_paid","542822.52","R$ pagos a CNPJ sem footprint local","01/01–19/09/2026","CALCULADO","SBMI + RFB","Universo só CNPJ"
"school_meals_cnpj_local_share","37.5954","%","01/01–19/09/2026","CALCULADO","SBMI","Share dentro do subconjunto CNPJ, não da alimentação escolar total"
"school_meals_cnpj_external_share","62.4046","%","01/01–19/09/2026","CALCULADO","SBMI","Share dentro do subconjunto CNPJ"
"family_agriculture_agroindustry_contracts_documented","19","contratos","2026","OBSERVADO_PARCIAL","PMSB contratos CPP 01/2026 e 02/2026","Lista não exaustiva; outros contratos podem existir"
"family_agriculture_agroindustry_contract_value_floor","447585.44","R$ contratados","2026","CALCULADO_PISO","Soma dos 19 contratos documentados nesta rodada","VALOR CONTRATADO, NÃO PAGO; não somar ao core de pagamentos"
"restaurant_popular_material_paid","141680.85","R$","01/01–19/09/2026","OBSERVADO","Portal PMSB","Rubrica Material de Consumo"
"restaurant_popular_material_external_share","64.9295","%","01/01–19/09/2026","CALCULADO","SBMI + RFB","Primeira rodada do pagamento"
"restaurant_popular_equipment_paid","108259.05","R$","01/01–19/09/2026","OBSERVADO","Portal PMSB","Equipamentos e material permanente"
"restaurant_popular_equipment_external_share","99.7257","%","01/01–19/09/2026","CALCULADO","SBMI + RFB","Primeira rodada do pagamento"
"restaurant_popular_services_paid","9558.74","R$","01/01–19/09/2026","OBSERVADO","Portal PMSB","Serviços PJ"
"restaurant_popular_services_local_share","100.0000","%","01/01–19/09/2026","CALCULADO","SBMI + RFB","Primeira rodada do pagamento"
