funcao_acao,territorial_class,vendors,empenhos,pago_R$,share_within_funcao_acao
SAUDE | ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,LOCAL_EXACT_ACTIVE,26,105,30354757.27,0.9296630775601598
SAUDE | ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,5,21,277105.52,0.008486800544661655
SAUDE | ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,59,111,2019490.16,0.06185012189517861
URBANISMO | MANUT. DAS ATIV. DOS SERV. URBANOS,LOCAL_EXACT_ACTIVE,8,31,1372978.2,0.26247596206303764
URBANISMO | MANUT. DAS ATIV. DOS SERV. URBANOS,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,15,3797003.02,0.7258833538877452
URBANISMO | MANUT. DAS ATIV. DOS SERV. URBANOS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,23,29,60890.93,0.011640684049217299
URBANISMO | MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,LOCAL_EXACT_ACTIVE,17,101,694232.04,0.19375336931662085
URBANISMO | MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,7,1390455.6,0.3880625523782561
URBANISMO | MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,36,55,1498383.16,0.41818407830512305
SAUDE | TRANSPORTE SANITÁRIO ELETIVO,LOCAL_EXACT_ACTIVE,8,56,429168.08,0.14139092605728512
SAUDE | TRANSPORTE SANITÁRIO ELETIVO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,9,33,2606161.64,0.8586090739427148
ADMINISTRAÇÃO | MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,LOCAL_EXACT_ACTIVE,28,701,1500340.54,0.5729185230184581
ADMINISTRAÇÃO | MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,6,102,719993.67,0.2749360555164622
