cnpj,nome_credor,territorial_class,instituicao,empenho,funcao,subfuncao,programa,acao,rubrica,recurso,data,pago_R$
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,3 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-01-19,0.98
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,13 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-01-27,60.61
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,15 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-01-27,5.41
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,25 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,"Recursos Provenientes de Taxas, Contribuições e Preços Públicos",2026-02-10,19.52
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,26 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,"Recursos Provenientes de Taxas, Contribuições e Preços Públicos",2026-02-10,26.16
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,28 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-02-19,0.98
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,31 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-02-23,1.74
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,38 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-02-27,58.76
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,44 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-02-27,7.26
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,47 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-03-02,13.08
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,49 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-03-02,2.25
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,54 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,"Recursos Provenientes de Taxas, Contribuições e Preços Públicos",2026-03-10,45.68
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,58 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-03-19,0.98
00000000018724,BANCO DO BRASIL S/A,LOCAL_EXACT_ACTIVE,AG MUN DE REG DOS SERV PUB DELEGADOS DE SÃO BORJA,61 / 2026,ADMINISTRAÇÃO,ADMINISTRAÇÃO GERAL,REGULAÇÃO DA AGESB,REGULAÇÃO E MANUTENÇÃO DA AGESB,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,AGÊNCIA MUNIC. SERV. PÚBLICOS - AGESB,2026-03-23,5.41
