funcao,pago_core_R$,local_exact_active_R$,local_exact_active_share,presenca_local_ampliada_R$,presenca_local_ampliada_share,local_nonactive_snapshot_R$,external_no_local_footprint_R$,external_no_local_footprint_share,notfound_R$
SAUDE,39519693.43,31460931.59,0.796082379680545,32088093.32,0.8119519797600818,0.0,7431600.11,0.18804802023991812,0.0
URBANISMO,12309219.73,3197518.88,0.2597661712226174,10266874.27,0.8340800225523313,0.0,2042345.46,0.16591997744766884,0.0
EDUCAÇÃO,7704205.49,4153631.29,0.5391381752980737,5189523.99,0.6735962581392675,0.0,2514681.5,0.32640374186073257,0.0
ADMINISTRAÇÃO,6233828.24,2131395.01,0.34190788195344957,3116772.8,0.49997733014216,0.0,3117055.44,0.50002266985784,0.0
ASSISTÊNCIA SOCIAL,2439087.32,899747.99,0.3688871581686546,1134432.1,0.465105160728727,0.0,1304655.22,0.534894839271273,0.0
TRANSPORTE,982432.18,118808.6,0.12093313148598207,118808.6,0.12093313148598207,0.0,863623.58,0.8790668685140179,0.0
CULTURA,874037.06,739773.7,0.8463871085740918,772057.06,0.8833230252273284,0.0,101980.0,0.11667697477267157,0.0
LEGISLATIVA,804640.73,316414.85,0.393237426596588,511608.13,0.6358218157810629,489.0,292543.6,0.3635704595764125,0.0
SEGURANÇA PÚBLICA,444752.52,342135.71,0.7692721111507137,344131.48,0.7737594831390725,0.0,100621.04,0.2262405168609275,0.0
DESPORTO E LAZER,287415.69,210135.0,0.7311187499889098,210135.0,0.7311187499889098,0.0,77280.69,0.2688812500110902,0.0
AGRICULTURA,133568.25,0.0,0.0,0.0,0.0,0.0,133568.25,1.0,0.0
HABITAÇÃO,127437.59,102283.88,0.8026193841236327,102283.88,0.8026193841236327,0.0,25153.71,0.1973806158763674,0.0
PREVIDÊNCIA SOCIAL,61939.68,11451.72,0.18488503653877442,11451.72,0.18488503653877442,0.0,50487.96,0.8151149634612256,0.0
GESTÃO AMBIENTAL,51539.84,49428.84,0.9590413939973427,49428.84,0.9590413939973427,0.0,2111.0,0.04095860600265736,0.0
SANEAMENTO,43200.0,500.0,0.011574074074074073,500.0,0.011574074074074073,0.0,42700.0,0.9884259259259259,0.0
COMÉRCIO E SERVIÇOS,12213.43,7062.65,0.5782691676294046,9155.43,0.7496198856504683,0.0,3058.0,0.2503801143495316,0.0
TRABALHO,10280.0,10280.0,1.0,10280.0,1.0,0.0,0.0,0.0,0.0
