funcao,territorial_class,vendors,empenhos,pago_R$,share_within_funcao
SAUDE,LOCAL_EXACT_ACTIVE,54,286,31460931.59,0.796082379680545
SAUDE,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,5,48,627161.73,0.01586960007953686
SAUDE,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,207,660,7427500.11,0.18794427449585607
SAUDE,EXTERNAL_EXACT_NONACTIVE_NO_LOCAL_FOOTPRINT,1,1,4100.0,0.00010374574406206369
URBANISMO,LOCAL_EXACT_ACTIVE,44,344,3197518.88,0.2597661712226174
URBANISMO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,5,33,7069355.39,0.5743138513297138
URBANISMO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,67,152,2042345.46,0.16591997744766884
EDUCAÇÃO,LOCAL_EXACT_ACTIVE,55,318,4153631.29,0.5391381752980737
EDUCAÇÃO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,7,34,1035892.7,0.13445808284119373
EDUCAÇÃO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,110,229,2508831.5,0.3256444163199493
EDUCAÇÃO,EXTERNAL_EXACT_NONACTIVE_NO_LOCAL_FOOTPRINT,1,1,5850.0,0.0007593255407833103
ADMINISTRAÇÃO,LOCAL_EXACT_ACTIVE,46,815,2131395.01,0.34190788195344957
ADMINISTRAÇÃO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,9,150,985377.79,0.15806944818871038
ADMINISTRAÇÃO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,100,410,3117055.44,0.50002266985784
ASSISTÊNCIA SOCIAL,LOCAL_EXACT_ACTIVE,35,184,899747.99,0.3688871581686546
ASSISTÊNCIA SOCIAL,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,6,40,234684.11,0.09621800256007236
ASSISTÊNCIA SOCIAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,101,299,1304655.22,0.534894839271273
TRANSPORTE,LOCAL_EXACT_ACTIVE,4,10,118808.6,0.12093313148598207
TRANSPORTE,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,5,14,863623.58,0.8790668685140179
CULTURA,LOCAL_EXACT_ACTIVE,7,32,739773.7,0.8463871085740918
CULTURA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,28,32283.36,0.03693591665323665
CULTURA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,3,4,101980.0,0.11667697477267157
LEGISLATIVA,LOCAL_EXACT_ACTIVE,53,151,316414.85,0.393237426596588
LEGISLATIVA,LOCAL_EXACT_NONACTIVE_SNAPSHOT,3,3,489.0,0.0006077246425246209
LEGISLATIVA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,8,32,195193.28,0.2425843891844749
LEGISLATIVA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,20,82,292543.6,0.3635704595764125
SEGURANÇA PÚBLICA,LOCAL_EXACT_ACTIVE,17,51,342135.71,0.7692721111507137
SEGURANÇA PÚBLICA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,2,1995.77,0.004487371988358829
SEGURANÇA PÚBLICA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,21,29,100621.04,0.2262405168609275
DESPORTO E LAZER,LOCAL_EXACT_ACTIVE,5,15,210135.0,0.7311187499889098
DESPORTO E LAZER,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,23,33,77280.69,0.2688812500110902
AGRICULTURA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,3,133568.25,1.0
HABITAÇÃO,LOCAL_EXACT_ACTIVE,2,5,102283.88,0.8026193841236327
HABITAÇÃO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,9,11,25153.71,0.1973806158763674
PREVIDÊNCIA SOCIAL,LOCAL_EXACT_ACTIVE,6,70,11451.72,0.18488503653877442
PREVIDÊNCIA SOCIAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,8,46,50487.96,0.8151149634612256
GESTÃO AMBIENTAL,LOCAL_EXACT_ACTIVE,2,3,49428.84,0.9590413939973427
GESTÃO AMBIENTAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,3,2111.0,0.04095860600265736
SANEAMENTO,LOCAL_EXACT_ACTIVE,1,1,500.0,0.011574074074074073
SANEAMENTO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,2,42700.0,0.9884259259259259
COMÉRCIO E SERVIÇOS,LOCAL_EXACT_ACTIVE,2,4,7062.65,0.5782691676294046
COMÉRCIO E SERVIÇOS,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,2,4,2092.78,0.17135071802106366
COMÉRCIO E SERVIÇOS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,2,3058.0,0.2503801143495316
TRABALHO,LOCAL_EXACT_ACTIVE,1,2,10280.0,1.0
