funcao_subfuncao,territorial_class,vendors,empenhos,pago_R$,share_within_funcao_subfuncao
SAUDE | ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,LOCAL_EXACT_ACTIVE,44,222,31288519.18,0.8484129983557605
SAUDE | ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,5,27,288554.3,0.00782437856656173
SAUDE | ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,110,259,5301804.19,0.14376262307767781
URBANISMO | SERVIÇOS URBANOS,LOCAL_EXACT_ACTIVE,12,52,2055284.99,0.26105393209638006
URBANISMO | SERVIÇOS URBANOS,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,26,5678899.79,0.7213107317836283
URBANISMO | SERVIÇOS URBANOS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,36,54,138843.5,0.017635336119991685
URBANISMO | INFRA-ESTRUTURA URBANA,LOCAL_EXACT_ACTIVE,38,292,1142233.89,0.2574807473649498
URBANISMO | INFRA-ESTRUTURA URBANA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,7,1390455.6,0.3134345340303111
URBANISMO | INFRA-ESTRUTURA URBANA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,45,98,1903501.96,0.42908471860473923
EDUCAÇÃO | ENSINO FUNDAMENTAL,LOCAL_EXACT_ACTIVE,47,221,2542929.27,0.6300111687512626
EDUCAÇÃO | ENSINO FUNDAMENTAL,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,5,17,640271.13,0.15862728377379984
EDUCAÇÃO | ENSINO FUNDAMENTAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,67,121,853123.71,0.21136154747493754
ADMINISTRAÇÃO | ADMINISTRAÇÃO GERAL,LOCAL_EXACT_ACTIVE,43,793,1710893.67,0.44603571600998776
ADMINISTRAÇÃO | ADMINISTRAÇÃO GERAL,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,9,135,739776.07,0.19286210175148102
ADMINISTRAÇÃO | ADMINISTRAÇÃO GERAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,87,330,1385107.55,0.3611021822385312
SAUDE | ATENÇÃO BÁSICA,LOCAL_EXACT_ACTIVE,20,57,168005.93,0.07724727945604237
SAUDE | ATENÇÃO BÁSICA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,4,19,334594.87,0.15384304248932276
SAUDE | ATENÇÃO BÁSICA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,114,353,1668209.84,0.7670245431324939
SAUDE | ATENÇÃO BÁSICA,EXTERNAL_EXACT_NONACTIVE_NO_LOCAL_FOOTPRINT,1,1,4100.0,0.0018851349221409859
