cnpj,expected_R$,observed_R$,difference_R$
00000000018724,146609.82,146609.82,0.0
00072182000106,1407.84,1407.84,0.0
00331788006583,163023.04,163023.04,-0.0
00341435000108,3100.0,3100.0,0.0
00358519000146,7700.0,7700.0,0.0
00360305050632,556207.86,556207.86,0.0
00390052000111,30690.0,30690.0,0.0
00394494010441,312.36,312.36,0.0
00472805000308,23492.0,23492.0,0.0
00533784000113,411896.4,411896.4,0.0
00662270000320,1171.17,1171.17,0.0
00664113000191,4025.0,4025.0,0.0
00703157000183,21282.0,21282.0,0.0
00735067000174,555047.19,555047.19,0.0
00802002000102,15212.39,15212.39,0.0
00964245000139,164400.0,164400.0,0.0
01227689000154,1349.0,1349.0,0.0
01304858000102,130062.3,130062.3,0.0
01484706000139,12170.17,12170.17,0.0
01568077003655,13850.0,13850.0,0.0
01579286000174,655.0,655.0,0.0
01634429000101,1372.0,1372.0,0.0
01656038000775,11256.28,11256.28,-0.0
01673020000196,3485.0,3485.0,0.0
01778749000127,167925.4,167925.4,0.0
01806961000150,2496.05,2496.05,-0.0
01865820000109,4809.0,4809.0,0.0
01935819000103,2087.47,2087.47,0.0
01952684000194,28986.77,28986.77,-0.0
01968617000168,98.4,98.4,0.0
01997775000146,950.0,950.0,0.0
02012862000160,6158.5,6158.5,0.0
02016440000162,2493344.23,2493344.23,0.0
02016440005040,12997.27,12997.27,0.0
02150800000114,13570.0,13570.0,0.0
02264781000157,165040.54,165040.54,0.0
02267697000197,245775.11,245775.11,0.0
02310921000186,10226.25,10226.25,0.0
02405070000155,146780.77,146780.77,0.0
02453554000170,1404762.24,1404762.24,0.0
02520829000140,75766.25,75766.25,0.0
02558157000162,1615.3,1615.3,0.0
02672248000124,7100.0,7100.0,0.0
02779462000184,244278.52,244278.52,0.0
02823782000194,40000.0,40000.0,0.0
02960111000175,129381.4,129381.4,0.0
03404393000197,16099.2,16099.2,0.0
03422707000184,13158.78,13158.78,0.0
03426592000104,6644.6,6644.6,0.0
03549816000167,15211.0,15211.0,0.0
03550194000197,7440.0,7440.0,0.0
03575238000133,9500.0,9500.0,0.0
03578349000101,1170.0,1170.0,0.0
03652030000170,87816.1,87816.1,0.0
03666234000160,1552.0,1552.0,0.0
03675338000131,459.89,459.89,0.0
03725725000135,9075.33,9075.33,0.0
03961467000196,3020.7,3020.7,0.0
03990925000115,157350.0,157350.0,0.0
04067663000184,1112.0,1112.0,0.0
04071245000160,13920.0,13920.0,0.0
04196645000100,5235.98,5235.98,0.0
04210265000175,82107.92,82107.92,0.0
04309482000117,220793.9,220793.9,0.0
04415928004347,699.0,699.0,0.0
04531195000157,8200.0,8200.0,0.0
04709243000154,2990.0,2990.0,0.0
04812021000162,6261.75,6261.75,0.0
04892707000100,2424.6,2424.6,0.0
04939481000156,25830.0,25830.0,0.0
04963776000168,230.0,230.0,0.0
04998667000186,26700.0,26700.0,0.0
05090524000134,184305.87,184305.87,0.0
05095847000110,2646.9,2646.9,0.0
05117514000145,1061.5,1061.5,0.0
05121961000178,832.3,832.3,0.0
05135045000197,725.76,725.76,0.0
05144411000174,96648.46,96648.46,-0.0
05238851000190,187428.16,187428.16,0.0
05340639000130,702005.12,702005.12,-0.0
05387322000159,3815.0,3815.0,0.0
05462743000954,4100.0,4100.0,0.0
05537296000289,464950.0,464950.0,0.0
05570714000159,1266.36,1266.36,0.0
05700555000160,14028.0,14028.0,0.0
05782733000149,120562.0,120562.0,-0.0
05836388000189,12770.0,12770.0,0.0
06037744000167,7405.0,7405.0,0.0
06136424000164,3797003.02,3797003.02,0.0
06175908000112,4647.3,4647.3,0.0
06223400000142,60292.0,60292.0,0.0
06244192000168,38256.0,38256.0,0.0
06265439000122,487982.04,487982.04,-0.0
06294126000100,93269.92,93269.92,0.0
06636589000103,25009.0,25009.0,0.0
06867357000158,8760.0,8760.0,0.0
07014318000170,2551.54,2551.54,0.0
07052779000138,8940.0,8940.0,0.0
07201428000141,108854.0,108854.0,0.0
07236167000103,70320.62,70320.62,0.0
07239059000186,12205.7,12205.7,0.0
07319261000118,53239.5,53239.5,0.0
07381576000195,3507.0,3507.0,0.0
07454456000170,537975.0,537975.0,0.0
07473735017238,642019.18,642019.18,0.0
07628070000138,438.9,438.9,0.0
07675477000116,6594.29,6594.29,0.0
07752236000123,63493.47,63493.47,0.0
07756651000155,369620.34,369620.34,-0.0
07759909000177,81242.15,81242.15,0.0
07793561000134,13296.0,13296.0,0.0
07797967000195,13291.98,13291.98,0.0
07851418000151,40.0,40.0,0.0
07883005000159,2235.89,2235.89,0.0
07978004000198,8470.9,8470.9,0.0
08070693000109,34000.0,34000.0,0.0
08149396000145,59860.0,59860.0,0.0
08345339000131,136549.55,136549.55,0.0
08371527000134,122458.25,122458.25,0.0
08379462000173,130999.96,130999.96,-0.0
08427697000193,2670.0,2670.0,0.0
08459946000122,1818.0,1818.0,0.0
08476288000187,3108.3,3108.3,0.0
08582779000102,541.24,541.24,0.0
08628327000114,10183.35,10183.35,0.0
08658622000113,1130.91,1130.91,0.0
08713242000134,7530.0,7530.0,0.0
08940091000157,445889.87,445889.87,-0.0
08955458000106,22320.0,22320.0,0.0
08967207000141,163023.5,163023.5,0.0
09012560000130,4375.0,4375.0,0.0
09031569000199,27871.48,27871.48,0.0
09126634000160,8992.86,8992.86,0.0
09396523000173,1245.0,1245.0,0.0
09594945000153,2000.0,2000.0,0.0
09611741000183,3525.0,3525.0,0.0
09647647000184,50687.08,50687.08,0.0
09654067000114,19000.0,19000.0,0.0
09674510000119,104260.66,104260.66,0.0
10439851000512,75537.27,75537.27,-0.0
10573521000191,9047.54,9047.54,-0.0
10583148000150,3712.8,3712.8,0.0
10604267000141,500.0,500.0,0.0
10748403000177,82609.52,82609.52,0.0
10759369000136,20769.0,20769.0,0.0
10790611000134,16523.0,16523.0,0.0
10907550000142,1380.0,1380.0,0.0
10936352000107,56088.0,56088.0,0.0
10942831000136,467.33,467.33,0.0
11079800000166,5691.5,5691.5,0.0
11108062000138,3998.0,3998.0,0.0
11145401000156,17387.32,17387.32,0.0
11175931000147,2483.8,2483.8,0.0
11262969000157,3151.2,3151.2,0.0
11273797000117,22056.0,22056.0,0.0
11383230000101,1502.4,1502.4,-0.0
11417674000455,25996.0,25996.0,0.0
11461374000120,7000.0,7000.0,0.0
11538917000160,110.0,110.0,0.0
11606789000145,66248.85,66248.85,0.0
11660639000110,6193.1,6193.1,0.0
11666105000362,154204.13,154204.13,0.0
11933619000175,1631.5,1631.5,0.0
12130958000186,1399.0,1399.0,0.0
12418191000195,3355.0,3355.0,0.0
12419021000125,525.0,525.0,0.0
12541620000117,14498.0,14498.0,0.0
12581380000184,3894.0,3894.0,0.0
12889035000102,70242.26,70242.26,0.0
13021017000177,26114.0,26114.0,0.0
13054040000168,205228.59,205228.59,-0.0
13055109000178,6800.0,6800.0,0.0
13062485000270,11427.9,11427.9,0.0
13229567000186,12989.1,12989.1,0.0
13255081000112,444909.85,444909.85,0.0
