metric,value,unit,period,nature,source,limitation
"illumination_material_total","1975045.33","R$","01/01–19/09/2026","OBSERVADO","Portal PMSB","Rubrica Material de Consumo; não objeto puro"
"illumination_material_external","1485326.50","R$","01/01–19/09/2026","CALCULADO","SBMI + RFB","Geografia cadastral da primeira rodada"
"illumination_material_external_share","75.2047","%","01/01–19/09/2026","CALCULADO","SBMI","Inclui objeto misto Zagonel"
"illumination_zagonel_paid","1221733.83","R$","01/01–19/09/2026","OBSERVADO","Portal PMSB","Ata 27/2025 mistura aquisição e instalação"
"illumination_zagonel_share_material_rubric","61.8585","%","01/01–19/09/2026","CALCULADO","SBMI","Sensibilidade, não exclusão contábil"
"illumination_material_residual_ex_zagonel","753311.50","R$","01/01–19/09/2026","CALCULADO","SBMI","Apenas análise de sensibilidade"
"illumination_residual_local_share_ex_zagonel","65.0088","%","01/01–19/09/2026","CALCULADO","SBMI","Não representa taxa oficial; exclui objeto misto dominante"
"illumination_services_local_share","99.5832","%","01/01–19/09/2026","CALCULADO","SBMI","Serviços PJ"
"illumination_equipment_local_share","98.3088","%","01/01–19/09/2026","CALCULADO","SBMI","Equipamentos/material permanente"
"roads_material_total","229618.90","R$","01/01–19/09/2026","OBSERVADO","Portal PMSB","Material de consumo em Vias Urbanas e Rurais"
"roads_material_external_share","82.1464","%","01/01–19/09/2026","CALCULADO","SBMI","Primeira rodada do pagamento"
"roads_planet_pav_paid","157350.00","R$","01/01–19/09/2026","OBSERVADO","Portal PMSB","Objeto corrente 2026 não reconciliado; histórico oficial indica CBUQ"
"roads_planet_pav_share_material","68.5266","%","01/01–19/09/2026","CALCULADO","SBMI","Concentração de pagamento, não market share"
"roads_works_local_share","100.0000","%","01/01–19/09/2026","CALCULADO","SBMI","Obras e Instalações na ação; apenas R$64.128"
