cnpj,nome,rubrica,pago_R$,empenhos,classificacao,id_credor
44233812000152,ZAGONEL ILUMINACAO S.A.,MATERIAL DE CONSUMO,1221733.83,1,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,150294
05340639000130,PRIME CONSULTORIA E ASSESSORIA EMPRESARI,MATERIAL DE CONSUMO,701877.6,11,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,146254
14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,EQUIPAMENTOS E MATERIAL PERMANENTE,675000.0,3,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,96965
33827265000117,JS COMERCIO E REPRESENTACAO LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,625800.0,1,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,154644
06265439000122,OLINTO SILVEIRA DA SILVA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",487982.04,11,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,68784
05537296000289,PETROFFACIL COMBUSTIVEIS LTDA,MATERIAL DE CONSUMO,464950.0,8,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,61461
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,MATERIAL DE CONSUMO,460242.47,81,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,152276
14168347000152,BALBE & NORO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",444303.59,5,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,138540
00533784000113,COMAP COMERCIO DE EQUIPAMENTOS EDUCACION,MATERIAL DE CONSUMO,411896.4,1,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,127143
31286638000164,ORTOPEDICA V2 INDUSTRIA E COMERCIO ORTES,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",367464.98,21,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,137293
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",360400.0,4,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,152276
95592077000104,PLANALTO TRANSPORTES LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",313928.1,6,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,17100
30468657000149,COMERCIO DE ALIMENTOS DAL MOLIN LTDA,MATERIAL DE CONSUMO,270931.06,51,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,70544
53326285000111,BRENNER COMERCIO AUTOMOTIVO LTDA.,EQUIPAMENTOS E MATERIAL PERMANENTE,257950.0,1,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,153361
05238851000190,DBSELLER SERVICOS DE INFORMATICA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,187428.16,7,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,91932
56170867000140,EDITORA EDUCACIONAL CORREA LTDA.,MATERIAL DE CONSUMO,187200.0,1,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,154758
05090524000134,COSTA MACHADO & RODRIGUES LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,184305.87,54,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,43298
01778749000127,COMERCIAL UNYLUX LTDA,MATERIAL DE CONSUMO,167925.4,5,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,127290
00964245000139,BRINGHENTTI INDUSTRIA E COMERCIO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",164400.0,2,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,149295
08967207000141,INFISC - INTELIGÊNCIA EM TECNOLOGIA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,163023.5,2,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,145901
00331788006583,AIR LIQUIDE BRASIL LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",163023.04,12,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,72178
03990925000115,PLANET PAV COMERCIO DE ASFALTOS LTDA,MATERIAL DE CONSUMO,157350.0,5,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,147879
11666105000362,DELLAMED S.A.,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",154204.13,7,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,147913
54887860000118,MM PRODUTOS AUTOMOTIVOS LTDA.,MATERIAL DE CONSUMO,130475.2,24,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,150857
27105456000172,MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA,MATERIAL DE CONSUMO,125184.36,6,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,128343
05782733000149,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS L,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",120562.0,9,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,70466
55623647000161,GAMA PNEUS LTDA,MATERIAL DE CONSUMO,110213.78,7,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,152310
14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,MATERIAL DE CONSUMO,105501.5,28,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,96965
44734671002286,CRISTÁLIA PRODUTOS QUIMICOS FARMACEUTICO,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",103584.31,13,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,147115
06294126000100,SOMA/RS PRODUTOS HOSPITALARES LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",93269.92,19,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,92806
26991097000135,SIGMA MAQUINAS E REPRESENTACOES LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,91200.0,1,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,149341
