rank,cnpj,nome_credor,rubrica_orcamentaria,pago_par_R$,semantic_class,object_evidence,confidence,source,method_note
1,44233812000152,ZAGONEL ILUMINACAO S.A.,MATERIAL DE CONSUMO,1221733.83,OBJETO_MISTO_BEM_SERVICO,aquisição e instalação de luminárias LED e acessórios,ALTA,https://www.saoborja.rs.gov.br/images/conteudo/Licitacoes/2024/ZAGONEL.pdf,Ata 27/2025 mistura itens materiais e serviços; rubrica material de consumo não autoriza tratar todo pagamento como bem puro.
2,05340639000130,PRIME CONSULTORIA E ASSESSORIA EMPRESARI,MATERIAL DE CONSUMO,701877.6,INTERMEDIACAO_ABASTECIMENTO,gestão/administração de abastecimento de frota por cartão; pagamentos correntes aparecem em ações de transporte/saúde,MEDIA_ALTA,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/2912-extrato-de-contrato-n-144-2022,Instrumento histórico identifica intermediação; vínculo exato do pagamento 2026 ao mesmo instrumento ainda precisa ser reconciliado.
3,14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,EQUIPAMENTOS E MATERIAL PERMANENTE,675000.0,BEM_CAPITAL_MAQUINARIO,rolo compactador e retroescavadeiras,ALTA,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6142-extrato-de-contrato-no-07-2026-dcl-smpop | https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6914-extrato-de-contrato-no-168-2026-dcl-smpop,Objeto documentalmente identificado; valor pago no par combina execuções de contratos distintos.
4,33827265000117,JS COMERCIO E REPRESENTACAO LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,625800.0,BEM_CAPITAL_VEICULOS,"ambulâncias tipo A para simples remoção, zero km",ALTA,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6848-extrato-de-contrato-no-139-2026-dcl-smpop,Objeto identificado por contrato 139/2026.
5,06265439000122,OLINTO SILVEIRA DA SILVA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",487982.04,SERVICO_TRANSPORTE_PACIENTES,transporte de pacientes usuários do SUS,ALTA,https://www.saoborja.rs.gov.br/images/DOESB/2025/Agosto/doesb25_08_2025.pdf,"5º aditivo do contrato 68/2021 prorrogou até 01/09/2026; apesar da rubrica 3.3.90.32, trata-se de serviço."
6,05537296000289,PETROFFACIL COMBUSTIVEIS LTDA,MATERIAL DE CONSUMO,464950.0,COMBUSTIVEIS_LUBRIFICANTES,aquisição de combustíveis e lubrificantes,ALTA_ACAO,Portal PMSB /despesas — ação orçamentária,Objeto de ação; item/forma de fornecimento ainda não aberto.
7,43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,MATERIAL DE CONSUMO,460242.47,ALIMENTOS_CONSUMO,"fornecimento associado a merenda escolar, restaurante popular e unidades sociais/saúde",MEDIA_ALTA,Portal PMSB /despesas — ações orçamentárias,Ação e perfil do fornecedor sustentam alimento/consumo; itens e condições ainda não abertos.
8,14168347000152,BALBE & NORO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",444303.59,SERVICO_TRANSPORTE_PACIENTES,transporte de pacientes usuários do SUS,ALTA,https://www.saoborja.rs.gov.br/images/DOESB/2025/Setembro/doesb02_09_2025.pdf,5º aditivo do contrato 67/2021 prorrogou até 01/09/2026; serviço classificado em 3.3.90.32.
9,00533784000113,COMAP COMERCIO DE EQUIPAMENTOS EDUCACION,MATERIAL DE CONSUMO,411896.4,MATERIAL_EQUIPAMENTO_EDUCACIONAL,despesa vinculada à manutenção da educação infantil; item exato ainda não reconciliado,MEDIA,Portal PMSB /despesas; referência histórica: https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/5977-extrato-de-adesao-a-ata-de-registro-de-precos-de-outro-orgao-n-03-2025,Não transportar automaticamente o objeto de 2025 para 2026.
10,31286638000164,ORTOPEDICA V2 INDUSTRIA E COMERCIO ORTES,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",367464.98,SAUDE_OPM_REABILITACAO,despesa vinculada à manutenção do CER; item exato ainda não aberto,MEDIA,Portal PMSB /despesas — ação MANUTENÇÃO DO CER,"Nome empresarial sugere órteses/próteses, mas o item precisa de documento."
