family,funcao_acao,total_paid_R$,external_no_local_footprint_R$,external_share_pct,local_exact_R$,root_local_footprint_R$,semantic_status,interpretation_limit
TRANSPORTE_SANITARIO,SAUDE | TRANSPORTE SANITÁRIO ELETIVO,3035329.72,2606161.64,85.8609,429168.08,0.00,FINALIDADE_CLARA,serviço/finalidade de transporte; não interpretar como bem físico
ILUMINACAO_PUBLICA,URBANISMO | MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,3583070.80,1498383.16,41.8184,694232.04,1390455.60,FINALIDADE_CLARA_OBJETO_MISTO_POSSIVEL,iluminação pública; contratos podem combinar bens e instalação
RECADASTRAMENTO_IMOBILIARIO,ADMINISTRAÇÃO | RECADASTRAMENTO IMOBILIÁRIO,1378860.88,1378860.88,100.0000,0.00,0.00,OBJETO_MACRO_CLARO,serviço de recadastramento imobiliário
FARMACIA_BASICA_JUDICIAL,SAUDE | FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,1003709.08,979540.77,97.5921,24168.31,0.00,FINALIDADE_CLARA,finalidade farmacêutica; item específico não identificado
EDUCACAO_INFANTIL_NOVOS,EDUCAÇÃO | MANUTENÇÃO DA EDUCAÇÃO INFANTIL - NOVOS,703369.29,703369.29,100.0000,0.00,0.00,FINALIDADE_CLARA_ITEM_INDETERMINADO,educação infantil; objeto específico não determinado
AQUISICAO_VEICULOS,TRANSPORTE | AQUISIÇÃO DE VEÍCULOS,675000.00,675000.00,100.0000,0.00,0.00,OBJETO_MACRO_CLARO,aquisição de veículos; bem de capital
CER_REABILITACAO,SAUDE | MANUTENÇÃO DO CER,665346.17,596693.60,89.6817,68652.57,0.00,FINALIDADE_CLARA_ITEM_INDETERMINADO,"CER/reabilitação; ação não separa órtese, equipamento, material ou serviço"
COMBUSTIVEIS_LUBRIFICANTES,ADMINISTRAÇÃO | AQUISIÇÃO DE COMBUSTÍVEIS E LUBRIFICANTE,835466.94,523511.09,62.6609,311955.85,0.00,FINALIDADE_CLARA_INTERMEDIACAO_POSSIVEL,combustíveis/lubrificantes; credor pode ser intermediador/gestor de rede
BENEFICIOS_EVENTUAIS,ASSISTÊNCIA SOCIAL | GESTÃO DE BENEFÍCIOS EVENTUAIS,605736.31,513344.50,84.7472,92391.81,0.00,FINALIDADE_CLARA_ITEM_INDETERMINADO,benefícios eventuais; objeto econômico não determinado
VIGILANCIA_PROMOCAO_SAUDE,SAUDE | PROGRAMA DE VIGILÂNCIA E PROMOÇÃO DA SAÚ,419764.15,418858.82,99.7843,905.33,0.00,FINALIDADE_CLARA_ITEM_INDETERMINADO,saúde/vigilância; objeto específico não determinado
ALIMENTACAO_ESCOLAR,EDUCAÇÃO | INICIAÇÃO A EDUCAÇÃO ALIMENTAR E NUTRICI,501164.05,323088.44,64.4676,178075.61,0.00,FINALIDADE_CLARA,alimentação escolar; item específico não identificado
SISTEMA_INFORMATICA,ADMINISTRAÇÃO | MANUTENÇÃO DO SISTEMA DE INFORMÁTICA,479721.24,231569.34,48.2716,16122.00,232029.90,FINALIDADE_CLARA,TIC/sistema de informática
ALIMENTACAO_ESCOLAR,EDUCAÇÃO | INICIAÇÃO À EDUCAÇÃO ALIMENTAR E NUTRICI,368679.49,219734.08,59.6003,148945.41,0.00,FINALIDADE_CLARA,alimentação escolar; item específico não identificado
RESTAURANTE_POPULAR,ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO RESTAURANTE POPULAR,259998.64,200454.73,77.0984,57176.55,2367.36,FINALIDADE_CLARA,alimentação/restaurante popular; item específico não identificado
VIAS_URBANAS_RURAIS,TRANSPORTE | VIAS URBANAS E RURAIS,293746.90,188623.58,64.2130,105123.32,0.00,FINALIDADE_CLARA_ITEM_INDETERMINADO,"infraestrutura viária; ação não separa material, serviço ou obra"
COMBUSTIVEIS_LUBRIFICANTES,ADMINISTRAÇÃO | AQUISIÇÃO DE COMBUSTÍVEIS E LUBRIFICANTES,50450.96,0.00,0.0000,50450.96,0.00,FINALIDADE_CLARA_INTERMEDIACAO_POSSIVEL,combustíveis/lubrificantes; credor pode ser intermediador/gestor de rede
