cnpj,nome_credor,rubrica,acao,pago_R$,empenhos,semantic_class,confidence,object_evidence,source,method_note
26994285000117,TOPOCART TOPOGRAFIA ENGENHARIA E AEROLEV,OUTROS SERVIÇOS DE TERCEIROS PESSOA JURÍDICA,RECADASTRAMENTO IMOBILIÁRIO,1315860.88,1,UNCLASSIFIED,,,,
44233812000152,ZAGONEL ILUMINACAO S.A.,MATERIAL DE CONSUMO,MANUTENÇÃO DO FUNDO MUNICIPAL DE ILUMINA,1221733.83,1,OBJETO_MISTO_BEM_SERVICO,ALTA,aquisição e instalação de luminárias LED e acessórios,https://www.saoborja.rs.gov.br/images/conteudo/Licitacoes/2024/ZAGONEL.pdf,Ata 27/2025 mistura itens materiais e serviços; rubrica material de consumo não autoriza tratar todo pagamento como bem puro.
14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,EQUIPAMENTOS E MATERIAL PERMANENTE,AQUISIÇÃO DE VEÍCULOS,675000.0,3,BEM_CAPITAL_MAQUINARIO,ALTA,rolo compactador e retroescavadeiras,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6142-extrato-de-contrato-no-07-2026-dcl-smpop | https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6914-extrato-de-contrato-no-168-2026-dcl-smpop,Objeto documentalmente identificado; valor pago no par combina execuções de contratos distintos.
76669670000167,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,TRANSPORTE SANITÁRIO ELETIVO,657910.24,4,UNCLASSIFIED,,,,
05340639000130,PRIME CONSULTORIA E ASSESSORIA EMPRESARI,MATERIAL DE CONSUMO,TRANSPORTE SANITÁRIO ELETIVO,641845.1,4,INTERMEDIACAO_ABASTECIMENTO,MEDIA_ALTA,gestão/administração de abastecimento de frota por cartão; pagamentos correntes aparecem em ações de transporte/saúde,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/2912-extrato-de-contrato-n-144-2022,Instrumento histórico identifica intermediação; vínculo exato do pagamento 2026 ao mesmo instrumento ainda precisa ser reconciliado.
33827265000117,JS COMERCIO E REPRESENTACAO LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,625800.0,1,BEM_CAPITAL_VEICULOS,ALTA,"ambulâncias tipo A para simples remoção, zero km",https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6848-extrato-de-contrato-no-139-2026-dcl-smpop,Objeto identificado por contrato 139/2026.
06265439000122,OLINTO SILVEIRA DA SILVA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",TRANSPORTE SANITÁRIO ELETIVO,487982.04,10,SERVICO_TRANSPORTE_PACIENTES,ALTA,transporte de pacientes usuários do SUS,https://www.saoborja.rs.gov.br/images/DOESB/2025/Agosto/doesb25_08_2025.pdf,"5º aditivo do contrato 68/2021 prorrogou até 01/09/2026; apesar da rubrica 3.3.90.32, trata-se de serviço."
05537296000289,PETROFFACIL COMBUSTIVEIS LTDA,MATERIAL DE CONSUMO,AQUISIÇÃO DE COMBUSTÍVEIS E LUBRIFICANTE,464950.0,6,COMBUSTIVEIS_LUBRIFICANTES,ALTA_ACAO,aquisição de combustíveis e lubrificantes,Portal PMSB /despesas — ação orçamentária,Objeto de ação; item/forma de fornecimento ainda não aberto.
14168347000152,BALBE & NORO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",TRANSPORTE SANITÁRIO ELETIVO,444303.59,5,SERVICO_TRANSPORTE_PACIENTES,ALTA,transporte de pacientes usuários do SUS,https://www.saoborja.rs.gov.br/images/DOESB/2025/Setembro/doesb02_09_2025.pdf,5º aditivo do contrato 67/2021 prorrogou até 01/09/2026; serviço classificado em 3.3.90.32.
00533784000113,COMAP COMERCIO DE EQUIPAMENTOS EDUCACION,MATERIAL DE CONSUMO,MANUTENÇÃO DA EDUCAÇÃO INFANTIL - NOVOS,411896.4,1,MATERIAL_EQUIPAMENTO_EDUCACIONAL,MEDIA,despesa vinculada à manutenção da educação infantil; item exato ainda não reconciliado,Portal PMSB /despesas; referência histórica: https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/5977-extrato-de-adesao-a-ata-de-registro-de-precos-de-outro-orgao-n-03-2025,Não transportar automaticamente o objeto de 2025 para 2026.
31286638000164,ORTOPEDICA V2 INDUSTRIA E COMERCIO ORTES,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",MANUTENÇÃO DO CER,367464.98,16,SAUDE_OPM_REABILITACAO,MEDIA,despesa vinculada à manutenção do CER; item exato ainda não aberto,Portal PMSB /despesas — ação MANUTENÇÃO DO CER,"Nome empresarial sugere órteses/próteses, mas o item precisa de documento."
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",GESTÃO DE BENEFÍCIOS EVENTUAIS,360400.0,2,BENEFICIOS_SOCIAIS_BENS,MEDIA,gestão de benefícios eventuais; item exato não aberto,Portal PMSB /despesas — ação GESTÃO DE BENEFÍCIOS EVENTUAIS,Não presumir cesta básica sem objeto documental.
95592077000104,PLANALTO TRANSPORTES LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",TRANSPORTE SANITÁRIO ELETIVO,291133.6,4,SERVICO_TRANSPORTE,ALTA_ACAO,transporte sanitário eletivo e benefícios eventuais relacionados a transporte,Portal PMSB /despesas — ações orçamentárias,Fornecedor de transporte; rubrica 3.3.90.32 não representa bem físico.
53326285000111,BRENNER COMERCIO AUTOMOTIVO LTDA.,EQUIPAMENTOS E MATERIAL PERMANENTE,PROGRAMA DE VIGILÂNCIA E PROMOÇÃO DA SAÚ,257950.0,1,BEM_CAPITAL_VEICULOS,ALTA,veículos para a Secretaria Municipal de Saúde,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6140-extrato-de-contrato-no-05-2026-dcl-smpop,Objeto identificado por contrato 05/2026.
02779462000184,SCHEUERMANN & SCHEUERMANN LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,244278.52,4,UNCLASSIFIED,,,,
