cnpj,nome_credor,rubrica,pago_R$,semantic_class
26994285000117,TOPOCART TOPOGRAFIA ENGENHARIA E AEROLEV,OUTROS SERVIÇOS DE TERCEIROS PESSOA JURÍDICA,1315860.88,UNCLASSIFIED
44233812000152,ZAGONEL ILUMINACAO S.A.,MATERIAL DE CONSUMO,1221733.83,OBJETO_MISTO_BEM_SERVICO
76669670000167,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,946469.38,UNCLASSIFIED
05340639000130,PRIME CONSULTORIA E ASSESSORIA EMPRESARI,MATERIAL DE CONSUMO,701877.6,INTERMEDIACAO_ABASTECIMENTO
14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,EQUIPAMENTOS E MATERIAL PERMANENTE,675000.0,BEM_CAPITAL_MAQUINARIO
33827265000117,JS COMERCIO E REPRESENTACAO LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,625800.0,BEM_CAPITAL_VEICULOS
06265439000122,OLINTO SILVEIRA DA SILVA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",487982.04,SERVICO_TRANSPORTE_PACIENTES
05537296000289,PETROFFACIL COMBUSTIVEIS LTDA,MATERIAL DE CONSUMO,464950.0,COMBUSTIVEIS_LUBRIFICANTES
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,MATERIAL DE CONSUMO,460242.47,ALIMENTOS_CONSUMO
14168347000152,BALBE & NORO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",444303.59,SERVICO_TRANSPORTE_PACIENTES
00533784000113,COMAP COMERCIO DE EQUIPAMENTOS EDUCACION,MATERIAL DE CONSUMO,411896.4,MATERIAL_EQUIPAMENTO_EDUCACIONAL
31286638000164,ORTOPEDICA V2 INDUSTRIA E COMERCIO ORTES,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",367464.98,SAUDE_OPM_REABILITACAO
43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",360400.0,BENEFICIOS_SOCIAIS_BENS
95592077000104,PLANALTO TRANSPORTES LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",313928.1,SERVICO_TRANSPORTE
30468657000149,COMERCIO DE ALIMENTOS DAL MOLIN LTDA,MATERIAL DE CONSUMO,270931.06,ALIMENTOS_CONSUMO
53326285000111,BRENNER COMERCIO AUTOMOTIVO LTDA.,EQUIPAMENTOS E MATERIAL PERMANENTE,257950.0,BEM_CAPITAL_VEICULOS
02779462000184,SCHEUERMANN & SCHEUERMANN LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,244278.52,UNCLASSIFIED
05238851000190,DBSELLER SERVICOS DE INFORMATICA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,187428.16,SERVICO_TIC
56170867000140,EDITORA EDUCACIONAL CORREA LTDA.,MATERIAL DE CONSUMO,187200.0,MATERIAL_EDUCACIONAL_CULTURAL
05090524000134,COSTA MACHADO & RODRIGUES LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,184305.87,SERVICO_TIC
24604095000110,PRECISAO TRATAMENTO DE AGUA LTDA.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,174549.79,UNCLASSIFIED
01778749000127,COMERCIAL UNYLUX LTDA,MATERIAL DE CONSUMO,167925.4,ILUMINACAO_MATERIAIS
02264781000157,CISMISSOES,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,165040.54,UNCLASSIFIED
00964245000139,BRINGHENTTI INDUSTRIA E COMERCIO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",164400.0,BENEFICIOS_SOCIAIS_ITEM_NAO_IDENTIFICADO
