cnpj,nome_credor,rubrica,acao,pago_R$,empenhos,semantic_class,confidence,object_evidence,source,method_note
26994285000117,TOPOCART TOPOGRAFIA ENGENHARIA E AEROLEV,OUTROS SERVIÇOS DE TERCEIROS PESSOA JURÍDICA,RECADASTRAMENTO IMOBILIÁRIO,1315860.88,1,UNCLASSIFIED,,,,
76669670000167,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,TRANSPORTE SANITÁRIO ELETIVO,657910.24,4,UNCLASSIFIED,,,,
02779462000184,SCHEUERMANN & SCHEUERMANN LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,244278.52,4,UNCLASSIFIED,,,,
24604095000110,PRECISAO TRATAMENTO DE AGUA LTDA.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,174549.79,3,UNCLASSIFIED,,,,
02264781000157,CISMISSOES,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,165040.54,10,UNCLASSIFIED,,,,
23870217000158,GLOBAL MED SERVICOS EM SAUDE LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,149085.3,5,UNCLASSIFIED,,,,
02405070000155,OLINA IRACEMA BALBE CORREA LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,MANUTENÇÃO DO TRANSPORTE ESCOLAR - ENSIN,146780.77,8,UNCLASSIFIED,,,,
89161475000173,ASSOC RIOGR DE EMPR DE ASSIST TEC E EXTE,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,FOMENTO AO DESENVOLVIMENTO DA AGRICULTUR,130058.25,2,UNCLASSIFIED,,,,
76669670000167,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA,122626.36,9,UNCLASSIFIED,,,,
41098601000166,MC FARMA LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,84000.0,4,UNCLASSIFIED,,,,
51601943000100,J. M. DE BITTENCOURT & CIA. LTDA.,OBRAS E INSTALAÇÕES,FUNDO MUNICIPAL DO IDOSO,83165.13,3,UNCLASSIFIED,,,,
10748403000177,INSTITUTO DE ANATOMIA PATOLOGICA E CITOP,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,82609.52,3,UNCLASSIFIED,,,,
