cnpj,nome_credor,rubrica,acao,pago_R$,empenhos,semantic_family,evidence_scope,confidence,source,limitation
41098601000166,MC FARMA LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,84000.0,4,MEDICAMENTOS_OU_PRODUTOS_FARMACEUTICOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família compatível com a ação e denominação do fornecedor; item e instrumento 2026 não abertos.
02520829000140,DIMASTER COMERCIO DE PRODUTOS HOSPITALAR,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,75766.25,9,MEDICAMENTOS,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/4007-dispensa-de-licitacao-n-101-2024-smpop-dcl,Fornecedor oficialmente documentado em aquisição de medicamentos; não transportar item/quantidade histórica para 2026.
49333270000103,D C METZ COMERCIAL,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUT.DA.EDUC.INFANT-FUNDEB 30%,71364.0,1,EQUIPAMENTOS_E_MATERIAIS_EDUCACAO_INFANTIL,CURRENT_2026_EXACT_OBJECT,ALTA,https://www.saoborja.rs.gov.br/images/DOESB/2026/Fevereiro/doesb12_02_2026.pdf,"Contrato 24/2026: R$71.364,00; objeto coincide com o pagamento do par."
12889035000102,INOVAMED HOSPITALAR LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,70242.26,18,MEDICAMENTOS,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/4007-dispensa-de-licitacao-n-101-2024-smpop-dcl,Fornecedor oficialmente documentado em medicamentos; item 2026 não individualizado.
07752236000123,MEDILAR IMPORTACAO E DISTRIBUICAO DE PRO,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,63493.47,7,MEDICAMENTOS,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/4007-dispensa-de-licitacao-n-101-2024-smpop-dcl,Fornecedor oficialmente documentado em medicamentos; item 2026 não individualizado.
22525517000137,J.F COMERCIO DE MATERIAL E MEDICAMENTOS,MATERIAL DE CONSUMO,ATENÇÃO BÁSICA,60480.09,9,MATERIAIS_E_MEDICAMENTOS_SAUDE,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família indicada pela denominação empresarial e ação; item 2026 não aberto.
73856593000166,PRATI DONADUZZI & CIA LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,53863.4,11,MEDICAMENTOS,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/images/conteudo/Licitacoes/2020/RANKING_TP_282020.pdf,Fornecedor documentado em itens farmacêuticos; item 2026 não individualizado.
20657155000102,ILG COMERCIAL LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,50498.21,12,MEDICAMENTOS_OU_PRODUTOS_FARMACEUTICOS,CURRENT_ACTION,MEDIA_ALTA,Portal PMSB /despesas,A ação identifica finalidade farmacêutica; item 2026 não aberto.
16779255000304,ELETRO CENTRO COMERCIO DE PEÇAS E ELETRO,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUT.DA.EDUC.INFANT-FUNDEB 30%,46800.0,1,EQUIPAMENTOS_E_MATERIAIS_EDUCACAO_INFANTIL,CURRENT_2026_EXACT_OBJECT,ALTA,https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6280-extrato-de-contrato-no-28-2026-dcl-smpop,"Contrato 28/2026: R$46.800,00; objeto coincide com o pagamento do par."
06244192000168,MSM CREATIVE CONFECCOES LTDA,MATERIAL DE CONSUMO,MANUTENÇÃO DAS ATIVIDADES ADMINISTRATIVA,38256.0,3,CONFECCOES_TEXTEIS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA,Portal PMSB /despesas,Família ampla pela denominação empresarial; item e finalidade material exata não abertos.
08149396000145,DESIGN RICARDENSE - INDÚSTRIA DE MÓVEIS,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUTENÇÃO DA EDUCAÇÃO BÁSICA - SALÁRIO,36706.2,2,MOBILIARIO_E_EQUIPAMENTOS_EDUCACIONAIS,CURRENT_2026_FAMILY_OBJECT,ALTA_FAMILIA,https://saoborja.rs.gov.br/images/DOESB/2026/Marco/doesb25_03_2026.pdf,Há contratos 2026 do mesmo CNPJ para mobiliário/equipamentos escolares; o pagamento agregado pode reunir mais de um instrumento.
24230368000104,ORTOMOBIL INDÚSTRIA E COMÉRCIO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",MANUTENÇÃO DO CER,32267.76,6,ORTOSES_PROTESES_OU_EQUIPAMENTOS_REABILITACAO,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família consistente com CER e denominação do fabricante; item 2026 não aberto.
27343163000123,RD INFORMATICA LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,PROCAD - SUAS,31950.0,2,EQUIPAMENTO_TIC,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família pela denominação do fornecedor e natureza permanente; item 2026 não aberto.
25386019000149,FARMODONTO PRODUTOS HOSPITALARES LTDA -,MATERIAL DE CONSUMO,ATENÇÃO BÁSICA,31158.5,5,PRODUTOS_HOSPITALARES_ODONTOLOGICOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família pela denominação empresarial e ação; item 2026 não aberto.
00390052000111,CONTRANSIN - INDUSTRIA E COMERCIO LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,MANUTENÇÃO DOS SERVIÇOS DE SEGURANÇA NO,30690.0,1,CONTROLADORES_ELETRONICOS_DE_TRAFEGO,CURRENT_2026_EXACT_OBJECT,ALTA,https://saoborja.rs.gov.br/images/DOESB/2026/Marco/doesb03_03_2026.pdf,"Inexigibilidade 08/2026: três controladores, placas CPU e placas de potência; valor R$30.690,00 coincide com o par."
