cnpj,nome_credor,rubrica,acao,pago_R$,semantic_family,evidence_scope,confidence,source,limitation
18740207000168,JOHAN E STEFANI LTDA - ME,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,30420,FRALDAS_E_PRODUTOS_DE_HIGIENE,HISTORICAL_OFFICIAL+CURRENT_ACTION,MEDIA_ALTA,https://www.saoborja.rs.gov.br/images/conteudo/Licitacoes/2021/Ranking_PE50-2020.pdf,"Fonte histórica oficial documenta o mesmo fornecedor em fraldas geriátricas; ação corrente é saúde. Não transportar item, marca ou quantidade para 2026."
23720752000122,JARDIM DISTRIBUIDORA DE COSMETICOS LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,21870,FRALDAS_E_PRODUTOS_DE_HIGIENE,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6053-dispensa-de-licitacao-n-93-2025-smpop-dcl,Dispensa 93/2025 documenta fraldas geriátricas do mesmo fornecedor. Para 2026 classifica-se apenas a família.
47459386000168,ANDRELIS DISTRIBUIDORA LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,BLOC PROT SOC ESPEC MÉDIA E ALTA COMPLEX,20449,EQUIPAMENTO_HUMANIZA_CDI,CURRENT_2026_EXACT_OBJECT,ALTA,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6910-extrato-de-contrato-no-163-2026-dcl-smpop,"Contrato 163/2026: aquisição de equipamento para o Humaniza CDI, R$20.449,00; valor coincide com o par."
11145401000156,L.A DALLA PORTA JUNIOR,MATERIAL DE CONSUMO,ATENÇÃO BÁSICA,17387.32,MEDICAMENTOS_E_MATERIAIS_DE_SAUDE,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/images/conteudo/Licitacoes/2020/RANKING_TP_282020.pdf,Fornecedor aparece em ranking oficial de itens farmacêuticos. Ação corrente é Atenção Básica; item 2026 não individualizado.
03404393000197,JS SERVICOS DE ENGENHARIA LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",MELHORIAS HABITACIONAIS,16099.2,MATERIAIS_DE_CONSTRUCAO_PARA_DOACAO,CURRENT_2026_EXACT_OBJECT,ALTA,https://saoborja.rs.gov.br/images/conteudo/Licitacoes/2024/Contrato_130_2026_JS_Servios_de_Engenharia_Ltda_PEC_12-2026_Postes.pdf,"Contrato 130/2026: materiais de construção destinados à doação a famílias em vulnerabilidade; valor R$16.099,20 coincide com o par."
48346978000136,DAMED DISTRIBUIDORA DE MEDICAMENTOS E MA,MATERIAL DE CONSUMO,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,15505.8,MEDICAMENTOS_E_MATERIAIS_DE_SAUDE,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,"Classificação apenas em nível de família, sustentada pela denominação empresarial e ação de saúde; item não aberto."
00802002000102,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,15212.39,MEDICAMENTOS_E_PRODUTOS_HOSPITALARES,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/images/conteudo/Licitacoes/2020/RANKING_TP_282020.pdf,Fornecedor documentado em processo oficial de medicamentos; ação corrente farmacêutica. Item 2026 não individualizado.
76386283000113,DIMEVA DISTRIBUIDORA DE MEDICAMENTOS LTD,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,15039.94,MEDICAMENTOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família sustentada pela denominação empresarial e ação; item 2026 não aberto.
36757380000150,MEDSANTA COMERCIO DE MEDICAMENTOS E MATE,MATERIAL DE CONSUMO,ATENÇÃO BÁSICA,14574.82,MATERIAIS_AMBULATORIAIS_E_MEDICAMENTOS,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/itemlist/category/28-dispensa-de-licitacao?start=304,Fonte oficial documenta o fornecedor em material ambulatorial; ação corrente é Atenção Básica. Item 2026 não individualizado.
49648233000194,SSZ DISTRIBUIDORA DE MEDICAMENTOS LTDA,MATERIAL DE CONSUMO,PROGRAMA DE VIGILÂNCIA E PROMOÇÃO DA SAÚ,14282.97,MEDICAMENTOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família sustentada pela denominação empresarial e ação de saúde; item não aberto.
04071245000160,"LICIMED DISTRIBUIDORA DE MEDICAMENTOS, C","MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,13920,MEDICAMENTOS,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/images/conteudo/Licitacoes/ItensVenc.pdf,Fornecedor aparece em processo oficial de medicamentos; ação corrente farmacêutica. Item 2026 não individualizado.
08149396000145,DESIGN RICARDENSE - INDÚSTRIA DE MÓVEIS,EQUIPAMENTOS E MATERIAL PERMANENTE,PRÓ-INFÂNCIA,13891.07,MOBILIARIO_E_EQUIPAMENTOS_EDUCACIONAIS,CURRENT_2026_FAMILY_OBJECT,ALTA_FAMILIA,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6278-extrato-de-contrato-no-26-2026-dcl-smpop,Contratos 2026 do fornecedor tratam de equipamentos/materiais e mobiliário para EMEI. O valor desta ação não coincide integralmente com um único contrato.
35250918000173,L FERREIRA DA COSTA DISTRIBUIDORA DE MED,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",FARMÁCIA BÁSICA E DEMANDAS JUDICIAIS,13738.25,MEDICAMENTOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família sustentada pela denominação empresarial e ação farmacêutica; item não aberto.
36757380000150,MEDSANTA COMERCIO DE MEDICAMENTOS E MATE,MATERIAL DE CONSUMO,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,13652,MATERIAIS_AMBULATORIAIS_E_MEDICAMENTOS,HISTORICAL_OFFICIAL+CURRENT_ACTION,ALTA_FAMILIA,https://www.saoborja.rs.gov.br/index.php/licitacoes-e-contratos/itemlist/category/28-dispensa-de-licitacao?start=304,Mesmo controle da família de saúde; item 2026 não individualizado.
49648233000194,SSZ DISTRIBUIDORA DE MEDICAMENTOS LTDA,MATERIAL DE CONSUMO,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,13450.43,MEDICAMENTOS,CURRENT_ACTION+SUPPLIER_NAME,MEDIA_ALTA,Portal PMSB /despesas,Família sustentada pela denominação empresarial e ação de saúde; item não aberto.
46728867000169,RIKA COMERCIAL DE PRODUTOS GOVERNAMENTAI,EQUIPAMENTOS E MATERIAL PERMANENTE,PRÓ-INFÂNCIA,13165.05,EQUIPAMENTOS_E_MATERIAIS_EDUCACAO_INFANTIL,CURRENT_2026_FAMILY_OBJECT,ALTA_FAMILIA,https://saoborja.rs.gov.br/index.php/licitacoes-e-contratos/item/6284-extrato-de-contrato-no-32-2026-dcl-smpop,Contrato 32/2026 documenta equipamentos e materiais para EMEI; o valor desta ação é apenas parte da relação 2026.
