item,descricao,quantidade,unidade,valor_unit_ref_R$,familia,valor_estimado_item_R$,source_class,source_url,status
1,Porca quadrada galvanizada p/ parafuso 10mm,5000,un,1.47,FERRAGENS_FIXACAO,7350.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
2,Porca quadrada galvanizada p/ parafuso 12mm,5000,un,2.91,FERRAGENS_FIXACAO,14550.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
3,Porca quadrada galvanizada p/ parafuso 14mm,5000,un,3.00,FERRAGENS_FIXACAO,15000.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
4,Arruela quadrada galvanizada 50x50mm,5000,un,4.06,FERRAGENS_FIXACAO,20300.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
5,Lâmpada LED tubular 20W T8 120cm,5050,un,4.88,ILUMINACAO,24644.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
6,Arruela quadrada galvanizada 38x38mm,5030,un,1.85,FERRAGENS_FIXACAO,9305.50,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
7,"Fio plastichumbo cobre 2x4,0mm",4200,m,6.24,CONDUTORES,26208.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
8,"Fio plastichumbo cobre 2x2,5mm",4200,m,6.54,CONDUTORES,27468.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
9,"Fio plastichumbo cobre 2x1,5mm",4000,m,3.18,CONDUTORES,12720.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
10,Disjuntor DIN trifásico 40A,470,un,28.03,PROTECAO_DISTRIBUICAO,13174.10,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
