item,cluster,descricao,quantidade,unidade,valor_unitario_estimado,valor_total_estimado,status_ata,tipo_beneficio_ou_cota,vencedor_ata,marca_fabricante_vencedor,valor_unitario_vencedor,valor_total_vencedor,operador_local_confirmado,cnpj_operador_local,valor_unitario_final_local,valor_total_final_local,status_final_local,observacao
7,T01,"FIO PLASTICHUMBO EM COBRE 2 X 4,0 MM 450/750V - NORMA ABNT.",4200,Metro,6.24,26208.00,Fracassado,"Participação exclusiva para ME/EPP",,,,,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,12.60,52920.00,"Desclassificado","Valor acima da referência; item fracassado"
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",4200,Metro,6.54,27468.00,Aceito,"Participação exclusiva para ME/EPP","DFER DISTRIBUIDORA DE FERRAGENS LTDA","Controller",5.72,24024.00,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,9.30,39060.00,Classificado,"Participou e permaneceu classificado; não venceu"
18,T03,"CABO FLEXÍVEL 16,00 MM 0,6/1KV - AZUL, ATOX",2500,Metro,17.00,42500.00,Aceito,"Participação exclusiva para ME/EPP","JOÃO BATISTA SANCHES SILVA E CIA LTDA","SCREEN VISION",12.00,30000.00,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,19.20,48000.00,Classificado,"Participou e permaneceu classificado; não venceu"
25,T03,"CABO FLEXÍVEL 16,00 MM 0,6/1KV - VERDE, ATOX",2500,Metro,17.00,42500.00,Aceito,"Participação exclusiva para ME/EPP","JOÃO BATISTA SANCHES SILVA E CIA LTDA","PLAY GO",12.07,30175.00,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,15.98,39950.00,Classificado,"Participou e permaneceu classificado; não venceu"
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,Metro,5.51,19836.00,Aceito,"Participação exclusiva para ME/EPP","TIAGO TURCHETTO PESSOTTO","ultraflex/sccable",4.05,14580.00,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,8.50,30600.00,Classificado,"Participou e permaneceu classificado; não venceu"
35,T05,"CABO PP 4 X 10,00 MM 1KV",2115,Metro,36.65,77514.75,Aceito,"Sem benefício / cota principal","D33D COMERCIO LTDA","CONDUFAST",32.16,68018.40,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,62.00,131130.00,Classificado,"Parcela principal de 75%; participou e permaneceu classificado"
36,T05,"CABO PP 4 X 10,00 MM 1KV",705,Metro,36.65,25838.25,Aceito,"Participação exclusiva para ME/EPP / cota reservada","D33D COMERCIO LTDA","CONDUFAST",32.16,22672.80,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,3.90,2749.50,"Desclassificado","Desclassificação a pedido da empresa; sistema equalizou resultados principal/reservada"
41,T03,"CABO FLEXÍVEL 16,00 MM 0,6/1KV - PRETO, ATOX",1500,Metro,21.68,32520.00,Aceito,"Participação exclusiva para ME/EPP","Instalart Materiais Elétricos LTDA","CABO ENERGY",19.00,28500.00,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,6.90,10350.00,"Desclassificado","Não apresentou o documento solicitado"
49,T06,"CABO MULTIPLEX 4 X 16,00 MM 1KV - ALUMÍNIO",3820,Metro,11.92,45534.40,Aceito,"Participação exclusiva para ME/EPP","ILUMINA GOIAS ILUMINACAO LTDA","PLUZIE",6.66,25441.20,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,9.92,37894.40,Classificado,"Participou e permaneceu classificado; não venceu"
78,T07,"CABO FLEXÍVEL DE COBRE 6MM AZUL - COM ISOLAMENTO EM PVC 70C SEM ALUMÍNIO. ESPESSURA 6MM.",4000,Metro,4.21,16840.00,Aceito,"Participação exclusiva para ME/EPP","JOÃO BATISTA SANCHES SILVA E CIA LTDA","AMPEX",1.74,6960.00,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,8.10,32400.00,Classificado,"Participou e permaneceu classificado; não venceu"
79,T07,"CABO FLEXÍVEL DE COBRE 6MM VERDE - COM ISOLAMENTO EM PVC 70C SEM ALUMÍNIO. ESPESSURA 6MM.",4000,Metro,4.21,16840.00,Aceito,"Participação exclusiva para ME/EPP","JOÃO BATISTA SANCHES SILVA E CIA LTDA","AMPEX",1.74,6960.00,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,8.10,32400.00,Classificado,"Participou e permaneceu classificado; não venceu"
80,T07,"CABO FLEXÍVEL DE COBRE 6MM PRETO - COM ISOLAMENTO EM PVC 70C SEM ALUMÍNIO. ESPESSURA 6MM.",4000,Metro,4.21,16840.00,Aceito,"Participação exclusiva para ME/EPP","CBX COMERCIAL IMPORTADORA LTDA","VIBRA",2.41,9640.00,"COMERCIAL DE TINTAS SANTO ANTONIO LTDA",28927340000181,13.70,54800.00,Classificado,"Participou e permaneceu classificado; não venceu"
