operador,cnpj,operator_source_status,presenca_local,cluster_id,cluster_descricao,itens_pe39,participacao_pe39,classificacao_processual,produto_equivalente,escala_estoque,prazo_logistica,habilitacao,preco_entregue,resultado_conversao,barreira_observada,nota
Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,ACTUAL_PE39_BIDDER_PLUS_RFB_LOCAL_EXACT_ACTIVE,OBSERVED_LOCAL_EXACT_ACTIVE,T01,"plastichumbo Cu 2x4,0mm 450/750V",7,OBSERVED,DESCLASSIFIED,NOT_FULLY_VALIDATED_BY_NONWINNER_STATUS,QUANTITY_BID_NOT_STOCK_OBSERVED,BID_SUBJECT_TO_20_DAY_DELIVERY_AND_FREIGHT_INCLUDED,NOT_FULLY_TESTED,ABOVE_REFERENCE_NO_WINNER,NO_CONVERSION_ITEM_FAILED,PRICE_ABOVE_REFERENCE,"Participou; proposta local desclassificada por valor acima da referência; item fracassado após esgotamento das propostas válidas."
Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,ACTUAL_PE39_BIDDER_PLUS_RFB_LOCAL_EXACT_ACTIVE,OBSERVED_LOCAL_EXACT_ACTIVE,T02,"plastichumbo Cu 2x2,5mm 450/750V",8,OBSERVED,CLASSIFIED,PROPOSAL_CLASSIFIED_NOT_FULL_TECHNICAL_VALIDATION,QUANTITY_BID_NOT_STOCK_OBSERVED,BID_SUBJECT_TO_20_DAY_DELIVERY_AND_FREIGHT_INCLUDED,NOT_FULLY_TESTED_NONWINNER,LOCAL_PREMIUM_62.59_PCT,NOT_WINNER,PRICE,"Proposta local classificada; valor final 62,59% acima do vencedor."
Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,ACTUAL_PE39_BIDDER_PLUS_RFB_LOCAL_EXACT_ACTIVE,OBSERVED_LOCAL_EXACT_ACTIVE,T03,"flexível 16mm² 0,6/1kV ATOX","18;25;41",OBSERVED_ALL_CLUSTER_ITEMS,MIXED_2_CLASSIFIED_1_DESCLASSIFIED_DOCUMENT,PROPOSAL_CLASSIFIED_ON_2_LINES_NOT_FULL_TECHNICAL_VALIDATION,QUANTITY_BID_NOT_STOCK_OBSERVED,BID_SUBJECT_TO_20_DAY_DELIVERY_AND_FREIGHT_INCLUDED,DOCUMENT_FAILURE_ITEM41_OTHERWISE_NOT_FULLY_TESTED,LOCAL_PREMIUM_46.16_PCT_WEIGHTED_ON_CLASSIFIED_LINES,NOT_WINNER_2_CLASSIFIED_1_DOCUMENT_FAILURE,PRICE_PLUS_DOCUMENT_COMPLIANCE,"Itens 18 e 25 classificados; prêmio ponderado +46,16%. Item 41 desclassificado por não apresentar documento solicitado."
Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,ACTUAL_PE39_BIDDER_PLUS_RFB_LOCAL_EXACT_ACTIVE,OBSERVED_LOCAL_EXACT_ACTIVE,T04,"PP 2x2,5mm 1kV",30,OBSERVED,CLASSIFIED,PROPOSAL_CLASSIFIED_NOT_FULL_TECHNICAL_VALIDATION,QUANTITY_BID_NOT_STOCK_OBSERVED,BID_SUBJECT_TO_20_DAY_DELIVERY_AND_FREIGHT_INCLUDED,NOT_FULLY_TESTED_NONWINNER,LOCAL_PREMIUM_109.88_PCT,NOT_WINNER,PRICE,"Proposta local classificada; valor final 109,88% acima do vencedor."
Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,ACTUAL_PE39_BIDDER_PLUS_RFB_LOCAL_EXACT_ACTIVE,OBSERVED_LOCAL_EXACT_ACTIVE,T05,PP 4x10mm 1kV,"35;36",OBSERVED_BOTH_QUOTAS,MIXED_MAIN_CLASSIFIED_RESERVED_DESCLASSIFIED_AT_SUPPLIER_REQUEST,PROPOSAL_CLASSIFIED_MAIN_QUOTA_NOT_FULL_TECHNICAL_VALIDATION,QUANTITY_BID_NOT_STOCK_OBSERVED,BID_SUBJECT_TO_20_DAY_DELIVERY_AND_FREIGHT_INCLUDED,NOT_FULLY_TESTED,LOCAL_PREMIUM_92.79_PCT_ON_MAIN_QUOTA,NOT_WINNER_MAIN_AND_WITHDRAWN_RESERVED,PRICE_MAIN_PLUS_SUPPLIER_WITHDRAWAL_RESERVED,"Item 35 ampla concorrência: classificado, +92,79%. Item 36 cota reservada: chegou a arrematante e foi desclassificado a pedido da empresa."
Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,ACTUAL_PE39_BIDDER_PLUS_RFB_LOCAL_EXACT_ACTIVE,OBSERVED_LOCAL_EXACT_ACTIVE,T06,multiplex 4x16mm² 1kV alumínio,49,OBSERVED,CLASSIFIED,PROPOSAL_CLASSIFIED_NOT_FULL_TECHNICAL_VALIDATION,QUANTITY_BID_NOT_STOCK_OBSERVED,BID_SUBJECT_TO_20_DAY_DELIVERY_AND_FREIGHT_INCLUDED,NOT_FULLY_TESTED_NONWINNER,LOCAL_PREMIUM_48.95_PCT,NOT_WINNER,PRICE,"Proposta local classificada; valor final 48,95% acima do vencedor."
Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,ACTUAL_PE39_BIDDER_PLUS_RFB_LOCAL_EXACT_ACTIVE,OBSERVED_LOCAL_EXACT_ACTIVE,T07,flexível Cu 6mm² PVC70°C,"78;79;80",OBSERVED_ALL_CLUSTER_ITEMS,CLASSIFIED_ALL_CLUSTER_ITEMS,PROPOSAL_CLASSIFIED_NOT_FULL_TECHNICAL_VALIDATION,QUANTITY_BID_NOT_STOCK_OBSERVED,BID_SUBJECT_TO_20_DAY_DELIVERY_AND_FREIGHT_INCLUDED,NOT_FULLY_TESTED_NONWINNER,LOCAL_PREMIUM_407.64_PCT_WEIGHTED,NOT_WINNER,PRICE,"Três linhas classificadas; prêmio ponderado local +407,64% sobre vencedores."
Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,ACTUAL_PE39_BIDDER_PLUS_RFB_LOCAL_EXACT_ACTIVE,OBSERVED_LOCAL_EXACT_ACTIVE,T08,flexível Cu 10mm² PVC70°C,"81;82;83",OBSERVED_ALL_CLUSTER_ITEMS,CLASSIFIED_ALL_CLUSTER_ITEMS,PROPOSAL_CLASSIFIED_NOT_FULL_TECHNICAL_VALIDATION,QUANTITY_BID_NOT_STOCK_OBSERVED,BID_SUBJECT_TO_20_DAY_DELIVERY_AND_FREIGHT_INCLUDED,NOT_FULLY_TESTED_NONWINNER,LOCAL_PREMIUM_301.31_PCT_WEIGHTED,NOT_WINNER,PRICE,"Três linhas classificadas; prêmio ponderado local +301,31% sobre vencedores."
Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,ACTUAL_PE39_BIDDER_PLUS_RFB_LOCAL_EXACT_ACTIVE,OBSERVED_LOCAL_EXACT_ACTIVE,T09,flexível Cu 25mm² PVC70°C,"84;85;86",OBSERVED_ALL_CLUSTER_ITEMS,CLASSIFIED_ALL_CLUSTER_ITEMS,PROPOSAL_CLASSIFIED_NOT_FULL_TECHNICAL_VALIDATION,QUANTITY_BID_NOT_STOCK_OBSERVED,BID_SUBJECT_TO_20_DAY_DELIVERY_AND_FREIGHT_INCLUDED,NOT_FULLY_TESTED_NONWINNER,LOCAL_PREMIUM_85.79_PCT_WEIGHTED,NOT_WINNER,PRICE,"Três linhas classificadas; prêmio ponderado local +85,79% sobre vencedores."
Iluminar Materiais Elétricos e Ferragens,09.674.510/0001-19,CURRENT_INVENTORY_CASE_EVIDENCE,OBSERVED_LOCAL,T01,"plastichumbo Cu 2x4,0mm 450/750V",,NOT_OBSERVED_EXACT_CNPJ_NAME_IN_ATA,NOT_APPLICABLE,NOT_DEMONSTRATED_FROM_PE39,NOT_TESTED,NOT_TESTED,NOT_TESTED,NOT_TESTED,NO_PARTICIPATION_OBSERVED,PARTICIPATION_GATE,"Busca dirigida por nome/CNPJ exato na Ata Final não encontrou participação; não inferir incapacidade de produto ou de escala a partir disso."
