cnpj,nome_participante,itens_prioritarios_count,itens_prioritarios,territorial_class,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count
01189295000159,Ricardo Ferreira de Carvalho,18,7;8;18;25;30;35;36;41;49;78;79;80;81;82;83;84;85;86,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
05117514000145,Instalart Materiais Elétricos Ltda,18,7;8;18;25;30;35;36;41;49;78;79;80;81;82;83;84;85;86,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8647,ESPUMOSO,0
11175931000147,MASTERFER Comércio de Ferragens Ltda,18,7;8;18;25;30;35;36;41;49;78;79;80;81;82;83;84;85;86,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8637,ERECHIM,0
13338681000144,Comercial Sponchiado Ltda,1,49,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8667,FREDERICO WESTPHALEN,0
17379156000128,João Batista Sanches Silva e Cia Ltda,9,18;25;41;78;79;80;81;82;83,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8507,ALEGRETE,0
21867049000116,USIFER - Termo Conexões Ltda,18,7;8;18;25;30;35;36;41;49;78;79;80;81;82;83;84;85;86,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,MG,5035,POCOS DE CALDAS,0
23143410000197,DFER Distribuidora de Ferragens Ltda,4,7;8;30;49,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8791,PELOTAS,0
28927340000181,Comercial de Tintas Santo Antonio Ltda,18,7;8;18;25;30;35;36;41;49;78;79;80;81;82;83;84;85;86,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,2
32005178000111,EMGESA Empresa de Gerenciamento de Sobressalentes e Automação Ltda,15,18;25;30;35;36;41;78;79;80;81;82;83;84;85;86,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SP,7107,SAO PAULO,0
32246085000189,R. Busetto & F. Kruger Ltda,9,30;78;79;80;81;82;83;84;85,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8637,ERECHIM,0
37683566000175,Tiago Turchetto Pessotto,11,30;49;78;79;80;81;82;83;84;85;86,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,7313,TAQUARUCU DO SUL,0
39538437000119,Utilar Comércio de Ferragem Ltda,3,18;30;41,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8713,ITAQUI,0
46423434000103,Atrium Indústria e Comércio de Ferragens Ltda,1,49,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8637,ERECHIM,0
47812320000100,CBX Comercial Importadora Ltda,3,78;79;80,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SP,7107,SAO PAULO,0
49392317000290,Solarserv PC Materiais e Soluções Fotovoltaicas Ltda,6,7;8;30;35;36;49,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8105,FLORIANOPOLIS,0
50246619000159,D33D Comércio Ltda,15,18;25;30;35;36;49;78;79;80;81;82;83;84;85;86,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RJ,5867,NOVA FRIBURGO,0
52299446000162,Lux Comercial Ltda,14,8;30;35;36;49;78;79;80;81;82;83;84;85;86,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8833,SALVADOR DO SUL,0
55073244000196,KP Materiais Elétrico e Construção Ltda,1,49,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,MT,9067,CUIABA,0
56004897000186,Triunfo Iluminação Ltda,5,8;49;81;82;83,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,GO,9373,GOIANIA,0
60699174000116,60.699.174 Alana Gabrielli Santos Araujo,5,30;49;80;81;82,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8799,PORTAO,0
61772337000101,Souza & Ricetti Estratégia Pública Ltda,1,49,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,PR,7535,CURITIBA,0
64436697000120,Ilumina Goiás Iluminação Ltda,1,49,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,GO,9487,NEROPOLIS,0
