cnpj,nome_participante,itens_prioritarios_count,itens_prioritarios
01189295000159,Ricardo Ferreira de Carvalho,18,"7;8;18;25;30;35;36;41;49;78;79;80;81;82;83;84;85;86"
05117514000145,Instalart Materiais Elétricos Ltda,18,"7;8;18;25;30;35;36;41;49;78;79;80;81;82;83;84;85;86"
11175931000147,MASTERFER Comércio de Ferragens Ltda,18,"7;8;18;25;30;35;36;41;49;78;79;80;81;82;83;84;85;86"
13338681000144,Comercial Sponchiado Ltda,1,49
17379156000128,João Batista Sanches Silva e Cia Ltda,9,"18;25;41;78;79;80;81;82;83"
21867049000116,USIFER - Termo Conexões Ltda,18,"7;8;18;25;30;35;36;41;49;78;79;80;81;82;83;84;85;86"
23143410000197,DFER Distribuidora de Ferragens Ltda,4,"7;8;30;49"
28927340000181,Comercial de Tintas Santo Antonio Ltda,18,"7;8;18;25;30;35;36;41;49;78;79;80;81;82;83;84;85;86"
32005178000111,EMGESA Empresa de Gerenciamento de Sobressalentes e Automação Ltda,15,"18;25;30;35;36;41;78;79;80;81;82;83;84;85;86"
32246085000189,R. Busetto & F. Kruger Ltda,9,"30;78;79;80;81;82;83;84;85"
37683566000175,Tiago Turchetto Pessotto,11,"30;49;78;79;80;81;82;83;84;85;86"
39538437000119,Utilar Comércio de Ferragem Ltda,3,"18;30;41"
46423434000103,Atrium Indústria e Comércio de Ferragens Ltda,1,49
47812320000100,CBX Comercial Importadora Ltda,3,"78;79;80"
49392317000290,Solarserv PC Materiais e Soluções Fotovoltaicas Ltda,6,"7;8;30;35;36;49"
50246619000159,D33D Comércio Ltda,15,"18;25;30;35;36;49;78;79;80;81;82;83;84;85;86"
52299446000162,Lux Comercial Ltda,14,"8;30;35;36;49;78;79;80;81;82;83;84;85;86"
55073244000196,KP Materiais Elétrico e Construção Ltda,1,49
56004897000186,Triunfo Iluminação Ltda,5,"8;49;81;82;83"
60699174000116,60.699.174 Alana Gabrielli Santos Araujo,5,"30;49;80;81;82"
61772337000101,Souza & Ricetti Estratégia Pública Ltda,1,49
64436697000120,Ilumina Goiás Iluminação Ltda,1,49
