rank,item,descricao,familia,quantidade,unidade,valor_unit_ref_R$,valor_estimado_item_R$,participacao_total_pct,acumulado_pct,source_status
1,35,Cabo PP 4x10mm 1kV,CONDUTORES,2115,m,36.65,77514.75,7.2129,7.2129,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
2,60,Refletor LED 200W,ILUMINACAO,1070,un,50.69,54238.30,5.0470,12.2598,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
3,49,Cabo multiplex 4x16mm 1kV alumínio,CONDUTORES,3820,m,11.92,45534.40,4.2371,16.4969,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
4,18,"Cabo flexível 16mm 0,6/1kV azul ATOX",CONDUTORES,2500,m,17.00,42500.00,3.9547,20.4516,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
5,25,"Cabo flexível 16mm 0,6/1kV verde ATOX",CONDUTORES,2500,m,17.00,42500.00,3.9547,24.4063,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
6,41,"Cabo flexível 16mm 0,6/1kV preto ATOX",CONDUTORES,1500,m,21.68,32520.00,3.0260,27.4323,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
7,14,Caixa CD para 12 disjuntores,PROTECAO_DISTRIBUICAO,580,un,47.37,27474.60,2.5566,29.9889,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
8,8,"Fio plastichumbo cobre 2x2,5mm",CONDUTORES,4200,m,6.54,27468.00,2.5559,32.5448,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
9,7,"Fio plastichumbo cobre 2x4,0mm",CONDUTORES,4200,m,6.24,26208.00,2.4387,34.9835,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
10,36,Cabo PP 4x10mm 1kV,CONDUTORES,705,m,36.65,25838.25,2.4043,37.3878,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
11,5,Lâmpada LED tubular 20W T8 120cm,ILUMINACAO,5050,un,4.88,24644.00,2.2932,39.6810,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
12,84,Cabo flexível cobre 25mm azul,CONDUTORES,1300,m,18.95,24635.00,2.2923,41.9733,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
13,85,Cabo flexível cobre 25mm verde,CONDUTORES,1300,m,18.95,24635.00,2.2923,44.2657,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
14,86,Cabo flexível cobre 25mm preto,CONDUTORES,1300,m,18.95,24635.00,2.2923,46.5580,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
15,81,Cabo flexível cobre 10mm azul,CONDUTORES,2500,m,9.18,22950.00,2.1355,48.6935,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
16,82,Cabo flexível cobre 10mm verde,CONDUTORES,2500,m,9.18,22950.00,2.1355,50.8291,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
17,83,Cabo flexível cobre 10mm vermelho,CONDUTORES,2500,m,9.18,22950.00,2.1355,52.9646,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
18,61,IDR 30mA 25A,PROTECAO_DISTRIBUICAO,355,un,64.25,22808.75,2.1224,55.0870,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
19,62,IDR 30mA 40A,PROTECAO_DISTRIBUICAO,360,un,59.24,21326.40,1.9845,57.0715,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
20,4,Arruela quadrada galvanizada 50x50mm,FERRAGENS_FIXACAO,5000,un,4.06,20300.00,1.8889,58.9604,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
21,30,"Cabo PP 2x2,5mm 1kV",CONDUTORES,3600,m,5.51,19836.00,1.8458,60.8062,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
22,78,Cabo flexível cobre 6mm azul,CONDUTORES,4000,m,4.21,16840.00,1.5670,62.3732,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
23,79,Cabo flexível cobre 6mm verde,CONDUTORES,4000,m,4.21,16840.00,1.5670,63.9402,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
24,80,Cabo flexível cobre 6mm preto,CONDUTORES,4000,m,4.21,16840.00,1.5670,65.5072,SECONDARY_ITEM_STRUCTURE_PENDING_OFFICIAL_RECONCILIATION
