item,cluster_id,descricao_item,role,cnpj,nome_participante,declaracao_modelo_marca_raw,data_proposta_inicial,quantidade_proposta,valor_unitario_inicial_R$,valor_total_inicial_R$,status_final,rank_final,valor_global_final_R$,valor_unitario_final_R$,contains_corfio
7,T01,"FIO PLASTICHUMBO EM COBRE 2 X 4,0 MM 450/750V - NORMA ABNT.",LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,corfio cordio,10/07/2026 - 17:07:20,4.200,12.6,52920.0,Desclassificado,5,52920.0,12.6,True
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,corfio corfio,10/07/2026 - 17:49:37,4.200,9.3,39060.0,Classificado,7,39060.0,9.3,True
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",WINNER,23143410000197,DFER DISTRIBUIDORA DE FERRAGENS LTDA,CONTROLLER CONTROLLER,21/07/2026 - 17:36:01,4.200,6.54,27468.0,Arrematante,1,24024.0,5.72,False
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,corfio corfio,11/07/2026 - 10:07:19,2.500,19.2,48000.0,Classificado,5,48000.0,19.2,True
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",WINNER,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,SCREEN VISION SCREEN VISION,21/07/2026 - 20:23:50,2.500,17.0,42500.0,Arrematante,1,30000.0,12.0,False
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,corfio corfio,11/07/2026 - 10:11:34,2.500,19.2,48000.0,Classificado,3,39950.0,15.98,True
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",WINNER,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,PLAY GO PLAY GO,21/07/2026 - 20:25:15,2.500,17.0,42500.0,Arrematante,1,30175.0,12.07,False
30,T04,"CABO PP 2 X 2,5 MM 1KV",LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORFIO,11/07/2026 - 10:12:14,3.600,8.5,30600.0,Classificado,11,30600.0,8.5,True
30,T04,"CABO PP 2 X 2,5 MM 1KV",WINNER,37683566000175,TIAGO TURCHETTO PESSOTTO,ultraflex/sccable ultraflex/blucabos,22/07/2026 - 08:13:55,3.600,5.51,19836.0,Arrematante,1,14580.0,4.05,False
35,T05,"CABO PP 4 X 10,00 MM 1KV",LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,ELETROMAX ELETROMAX,16/07/2026 - 15:48:35,2.115,62.0,131130.0,Classificado,7,131130.0,62.0,False
35,T05,"CABO PP 4 X 10,00 MM 1KV",WINNER,50246619000159,D33D COMERCIO LTDA,Cabo PP 4x10mm CONDUFAST,21/07/2026 - 17:55:34,2.115,50.81,107463.15,Arrematante,1,68018.4,32.16,False
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,DEPECIL DECEPIL,11/07/2026 - 10:21:06,705,3.9,2749.5,Desclassificado,9,2749.5,3.9,False
36,T05,"CABO PP 4 X 10,00 MM 1KV A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 159 de 229",WINNER,50246619000159,D33D COMERCIO LTDA,Cabo PP 4x10mm CONDUFAST,21/07/2026 - 17:55:34,705,50.81,35821.05,Arrematante,1,22672.8,32.16,False
41,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - PRETO, ATOX",LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORFIO,16/07/2026 - 16:00:24,1.500,6.9,10350.0,Desclassificado,8,10350.0,6.9,True
41,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - PRETO, ATOX",WINNER,05117514000145,Instalart Materiais Elétricos LTDA,CABO ENERGY,20/07/2026 - 17:33:48,1.500,21.0,31500.0,Arrematante,1,28500.0,19.0,False
49,T06,"CABO MULTIPLEX 4 X 16,00 MM 1KV - ALUMiNIO",LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,TRAMONTINA TRAMONTINA,16/07/2026 - 16:53:38,3.820,9.92,37894.4,Classificado,11,37894.4,9.92,False
49,T06,"CABO MULTIPLEX 4 X 16,00 MM 1KV - ALUMiNIO",WINNER,64436697000120,ILUMINA GOIAS ILUMINACAO LTDA,PLUZIE PLUZIE,21/07/2026 - 16:29:56,3.820,10.18,38887.6,Arrematante,1,25441.2,6.66,False
78,T07,CABO FLEXiVEL DE COBRE 6MM AZUL - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 6MM.,LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORFIO,13/07/2026 - 15:12:29,4.000,8.1,32400.0,Classificado,10,32400.0,8.1,True
78,T07,CABO FLEXiVEL DE COBRE 6MM AZUL - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 6MM.,WINNER,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,AMPEX AMPEX,21/07/2026 - 21:04:02,4.000,4.21,16840.0,Arrematante,1,6960.0,1.74,False
79,T07,CABO FLEXiVEL DE COBRE 6MM VERDE - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 6MM. A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 167 de 229,LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORFIO,13/07/2026 - 15:14:51,4.000,8.1,32400.0,Classificado,10,32400.0,8.1,True
79,T07,CABO FLEXiVEL DE COBRE 6MM VERDE - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 6MM. A autenticidade do documento pode ser verificada no site https://validaarquivo.portaldecompraspublicas.com.br Documento gerado eletronicamente no Portal de Compras Públicas em 25/08/2026 às 14:44:29. Código verificador: 176D2C9 Página 167 de 229,WINNER,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,AMPEX AMPEX,21/07/2026 - 21:04:23,4.000,4.21,16840.0,Arrematante,1,6960.0,1.74,False
80,T07,CABO FLEXiVEL DE COBRE 6MM PRETO - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 6MM.,LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORFIO,13/07/2026 - 15:19:50,4.000,13.7,54800.0,Classificado,11,54800.0,13.7,True
80,T07,CABO FLEXiVEL DE COBRE 6MM PRETO - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 6MM.,WINNER,47812320000100,CBX COMERCIAL IMPORTADORA LTDA,19007 VIBRA,22/07/2026 - 01:39:37,4.000,2.41,9640.0,Arrematante,1,9640.0,2.41,False
81,T08,CABO FLEXiVEL DE COBRE 10MM AZUL - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 10MM.,LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORF,13/07/2026 - 15:20:59,2.500,13.7,34250.0,Classificado,11,34250.0,13.7,True
81,T08,CABO FLEXiVEL DE COBRE 10MM AZUL - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 10MM.,WINNER,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,AMPEX AMPEX,21/07/2026 - 21:05:17,2.500,9.18,22950.0,Arrematante,1,12750.0,5.1,False
82,T08,CABO FLEXiVEL DE COBRE 10MM VERDE - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 10MM.,LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORFIO,13/07/2026 - 15:48:35,2.500,13.7,34250.0,Classificado,11,34250.0,13.7,True
82,T08,CABO FLEXiVEL DE COBRE 10MM VERDE - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 10MM.,WINNER,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,AMPEX AMPEX,21/07/2026 - 21:05:33,2.500,9.18,22950.0,Arrematante,1,12750.0,5.1,False
83,T08,CABO FLEXiVEL DE COBRE 10MM VERMELHO - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 10MM.,LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORFIO,16/07/2026 - 17:20:31,2.500,34.0,85000.0,Classificado,11,85000.0,34.0,True
83,T08,CABO FLEXiVEL DE COBRE 10MM VERMELHO - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 10MM.,WINNER,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,AMPEX AMPEX,21/07/2026 - 21:05:50,2.500,9.18,22950.0,Arrematante,1,12750.0,5.1,False
84,T09,CABO FLEXiVEL DE COBRE 25MM AZUL - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 25MM.,LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORFIO,16/07/2026 - 17:23:42,1.300,34.0,44200.0,Classificado,8,44200.0,34.0,True
84,T09,CABO FLEXiVEL DE COBRE 25MM AZUL - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 25MM.,WINNER,37683566000175,TIAGO TURCHETTO PESSOTTO,MASTERPLUS/FCCABOSMASTERPLUS/FCCABOS,22/07/2026 - 08:27:33,1.300,18.95,24635.0,Arrematante,1,23400.0,18.0,False
85,T09,CABO FLEXiVEL DE COBRE 25MM VERDE - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 25MM.,LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORFIO,16/07/2026 - 17:25:43,1.300,34.0,44200.0,Classificado,8,44200.0,34.0,True
85,T09,CABO FLEXiVEL DE COBRE 25MM VERDE - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 25MM.,WINNER,32246085000189,R. BUSETTO & F. KRUGER LTDA,Cabo Flexível 25mm DeltaFlex,16/07/2026 - 08:45:02,1.300,18.0,23400.0,Arrematante,1,23400.0,18.0,False
86,T09,CABO FLEXiVEL DE COBRE 25MM PRETO - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 25MM.,LOCAL,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,CORFIO CORFIO,16/07/2026 - 17:27:07,1.300,34.0,44200.0,Classificado,7,44200.0,34.0,True
86,T09,CABO FLEXiVEL DE COBRE 25MM PRETO - COM ISOLAMENTO EM PVC 70C SEM ALUMINIO. ESPESSURA 25MM.,WINNER,32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO EIRELI,39/2026 39/2026,21/07/2026 - 12:31:55,1.300,18.9,24570.0,Arrematante,1,24570.0,18.9,False
