item,cluster,descricao,valor_estimado_R$,resultado,vencedor,cnpj_vencedor,valor_vencedor_R$,operador_local_observado,cnpj_local,participacao_local,status_final_local,rank_local,valor_final_local_R$,premium_local_vs_vencedor_pct,barreira_observada,fonte
7,T01,"Fio plastichumbo Cu 2x4,0mm 450/750V",26208,FRACASSADO,,,0,Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,OBSERVED,DESCLASSIFICADO,5,52920,,VALOR_ACIMA_REFERENCIA,PNCP_Ata_Final_2026-08-25
8,T02,"Fio plastichumbo Cu 2x2,5mm 450/750V",27468,VENCEDOR,DFER Distribuidora de Ferragens Ltda,23.143.410/0001-97,24024,Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,OBSERVED,CLASSIFICADO,7,39060,62.59,PRECO,PNCP_Ata_Final_2026-08-25
18,T03,"Cabo flexível 16mm² 0,6/1kV azul ATOX",42500,VENCEDOR,João Batista Sanches Silva e Cia Ltda,17.379.156/0001-28,30000,Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,OBSERVED,CLASSIFICADO,5,48000,60,PRECO,PNCP_Ata_Final_2026-08-25
25,T03,"Cabo flexível 16mm² 0,6/1kV verde ATOX",42500,VENCEDOR,João Batista Sanches Silva e Cia Ltda,17.379.156/0001-28,30175,Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,OBSERVED,CLASSIFICADO,3,39950,32.39,PRECO,PNCP_Ata_Final_2026-08-25
30,T04,"Cabo PP 2x2,5mm 1kV",19836,VENCEDOR,Tiago Turchetto Pessotto,37.683.566/0001-75,14580,Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,OBSERVED,CLASSIFICADO,11,30600,109.88,PRECO,PNCP_Ata_Final_2026-08-25
35,T05,Cabo PP 4x10mm 1kV — cota principal,77514.75,VENCEDOR,D33D Comércio Ltda,50.246.619/0001-59,68018.4,Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,OBSERVED,CLASSIFICADO,7,131130,92.79,PRECO,PNCP_Ata_Final_2026-08-25
36,T05,Cabo PP 4x10mm 1kV — cota reservada ME/EPP,25838.25,VENCEDOR,D33D Comércio Ltda,50.246.619/0001-59,22672.8,Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,OBSERVED,DESCLASSIFICADO,9,2749.5,,DESCLASSIFICACAO_A_PEDIDO_DA_EMPRESA,PNCP_Ata_Final_2026-08-25
41,T03,"Cabo flexível 16mm² 0,6/1kV preto ATOX",32520,VENCEDOR,Instalart Materiais Elétricos Ltda,05.117.514/0001-45,28500,Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,OBSERVED,DESCLASSIFICADO,8,10350,,DOCUMENTO_SOLICITADO_NAO_APRESENTADO,PNCP_Ata_Final_2026-08-25
49,T06,Cabo multiplex 4x16mm² 1kV alumínio,45534.4,VENCEDOR,Ilumina Goiás Iluminação Ltda,64.436.697/0001-20,25441.2,Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,OBSERVED,CLASSIFICADO,11,37894.4,48.95,PRECO,PNCP_Ata_Final_2026-08-25
78,T07,Cabo flexível Cu 6mm² azul PVC70°C,16840,VENCEDOR,João Batista Sanches Silva e Cia Ltda,17.379.156/0001-28,6960,Comercial de Tintas Santo Antonio Ltda,28.927.340/0001-81,OBSERVED,CLASSIFICADO,10,32400,365.52,PRECO,PNCP_Ata_Final_2026-08-25
