item,cluster_id,participants_total,local_sb,rs_other,other_uf,arrematantes,classificados,desclassificados,winner_cnpj,winner_name,winner_geo_tier,winner_uf,winner_municipio,winner_value_R$,local_rank,local_status,local_value_R$,local_premium_vs_winner_pct
7,T01,7,1,4,2,0,0,7,,,FRACASSADO,,,,5,Desclassificado,52920.0,
8,T02,9,1,5,3,1,8,0,23143410000197,DFER DISTRIBUIDORA DE FERRAGENS LTDA,RS_OTHER,RS,PELOTAS,24024.0,7,Classificado,39060.0,62.5874
18,T03,9,1,5,3,1,8,0,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,RS_OTHER,RS,ALEGRETE,30000.0,5,Classificado,48000.0,60.0
25,T03,8,1,4,3,1,7,0,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,RS_OTHER,RS,ALEGRETE,30175.0,3,Classificado,39950.0,32.3944
30,T04,14,1,9,4,1,13,0,37683566000175,TIAGO TURCHETTO PESSOTTO,RS_OTHER,RS,TAQUARUCU DO SUL,14580.0,11,Classificado,30600.0,109.8765
35,T05,9,1,4,4,1,8,0,50246619000159,D33D COMERCIO LTDA,OTHER_UF,RJ,NOVA FRIBURGO,68018.4,7,Classificado,131130.0,92.7861
36,T05,9,1,4,4,1,7,1,50246619000159,D33D COMERCIO LTDA,OTHER_UF,RJ,NOVA FRIBURGO,22672.8,9,Desclassificado,2749.5,
41,T03,8,1,5,2,1,5,2,05117514000145,Instalart Materiais Elétricos LTDA,RS_OTHER,RS,ESPUMOSO,28500.0,8,Desclassificado,10350.0,
49,T06,17,1,9,7,1,16,0,64436697000120,ILUMINA GOIAS ILUMINACAO LTDA,OTHER_UF,GO,NEROPOLIS,25441.2,11,Classificado,37894.4,48.9489
78,T07,12,1,7,4,1,11,0,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,RS_OTHER,RS,ALEGRETE,6960.0,10,Classificado,32400.0,365.5172
79,T07,12,1,7,4,1,11,0,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,RS_OTHER,RS,ALEGRETE,6960.0,10,Classificado,32400.0,365.5172
80,T07,13,1,8,4,1,12,0,47812320000100,CBX COMERCIAL IMPORTADORA LTDA,OTHER_UF,SP,SAO PAULO,9640.0,11,Classificado,54800.0,468.4647
81,T08,13,1,8,4,1,12,0,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,RS_OTHER,RS,ALEGRETE,12750.0,11,Classificado,34250.0,168.6275
82,T08,13,1,8,4,1,12,0,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,RS_OTHER,RS,ALEGRETE,12750.0,11,Classificado,34250.0,168.6275
83,T08,12,1,7,4,1,11,0,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,RS_OTHER,RS,ALEGRETE,12750.0,11,Classificado,85000.0,566.6667
84,T09,10,1,6,3,1,9,0,37683566000175,TIAGO TURCHETTO PESSOTTO,RS_OTHER,RS,TAQUARUCU DO SUL,23400.0,8,Classificado,44200.0,88.8889
85,T09,10,1,6,3,1,9,0,32246085000189,R. BUSETTO & F. KRUGER LTDA,RS_OTHER,RS,ERECHIM,23400.0,8,Classificado,44200.0,88.8889
86,T09,9,1,5,3,1,8,0,32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO EIRELI,OTHER_UF,SP,SAO PAULO,24570.0,7,Classificado,44200.0,79.8942
