item,cluster_id,descricao_item,quantidade,rank_final,cnpj,nome_participante,status_final,valor_global_final_R$,valor_unitario_final_R$,territorial_class,geo_tier,uf,municipio,root_local_active_count,winner_cnpj,winner_geo_tier,winner_value_global_R$,premium_vs_winner_pct
7,T01,"FIO PLASTICHUMBO EM COBRE 2 X 4,0 MM 450/750V - NORMA ABNT.",4200,1,23143410000197,DFER DISTRIBUIDORA DE FERRAGENS LTDA,Desclassificado,26208.0,6.24,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PELOTAS,0,,,,
7,T01,"FIO PLASTICHUMBO EM COBRE 2 X 4,0 MM 450/750V - NORMA ABNT.",4200,2,49392317000290,SOLARSERV PC MATERIAIS E SOLUCOES FOTOVOLTAICAS LTDA,Desclassificado,41454.0,9.87,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SC,FLORIANOPOLIS,0,,,,
7,T01,"FIO PLASTICHUMBO EM COBRE 2 X 4,0 MM 450/750V - NORMA ABNT.",4200,3,05117514000145,Instalart Materiais Elétricos LTDA,Desclassificado,46200.0,11.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ESPUMOSO,0,,,,
7,T01,"FIO PLASTICHUMBO EM COBRE 2 X 4,0 MM 450/750V - NORMA ABNT.",4200,4,21867049000116,USIFER - TERMO CONEXOES LTDA,Desclassificado,48384.0,11.52,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,MG,POCOS DE CALDAS,0,,,,
7,T01,"FIO PLASTICHUMBO EM COBRE 2 X 4,0 MM 450/750V - NORMA ABNT.",4200,5,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,Desclassificado,52920.0,12.6,LOCAL_EXACT_ACTIVE,SAO_BORJA,RS,SAO BORJA,2,,,,
7,T01,"FIO PLASTICHUMBO EM COBRE 2 X 4,0 MM 450/750V - NORMA ABNT.",4200,6,01189295000159,Ricardo Ferreira de Carvalho,Desclassificado,63000.0,15.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PORTO ALEGRE,0,,,,
7,T01,"FIO PLASTICHUMBO EM COBRE 2 X 4,0 MM 450/750V - NORMA ABNT.",4200,7,11175931000147,MASTERFER COMERCIO DE FERRAGENS LTDA,Desclassificado,42000000.0,10000.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ERECHIM,0,,,,
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",4200,1,23143410000197,DFER DISTRIBUIDORA DE FERRAGENS LTDA,Arrematante,24024.0,5.72,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PELOTAS,0,23143410000197,RS_OTHER,24024.0,0.0
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",4200,2,05117514000145,Instalart Materiais Elétricos LTDA,Classificado,24108.0,5.74,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ESPUMOSO,0,23143410000197,RS_OTHER,24024.0,0.3497
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",4200,3,56004897000186,TRIUNFO ILUMINACAO LTDA,Classificado,26334.0,6.27,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,GO,GOIANIA,0,23143410000197,RS_OTHER,24024.0,9.6154
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",4200,4,49392317000290,SOLARSERV PC MATERIAIS E SOLUCOES FOTOVOLTAICAS LTDA,Classificado,28140.0,6.7,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SC,FLORIANOPOLIS,0,23143410000197,RS_OTHER,24024.0,17.1329
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",4200,5,21867049000116,USIFER - TERMO CONEXOES LTDA,Classificado,30912.0,7.36,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,MG,POCOS DE CALDAS,0,23143410000197,RS_OTHER,24024.0,28.6713
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",4200,6,01189295000159,Ricardo Ferreira de Carvalho,Classificado,37800.0,9.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PORTO ALEGRE,0,23143410000197,RS_OTHER,24024.0,57.3427
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",4200,7,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,Classificado,39060.0,9.3,LOCAL_EXACT_ACTIVE,SAO_BORJA,RS,SAO BORJA,2,23143410000197,RS_OTHER,24024.0,62.5874
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",4200,8,52299446000162,LUX COMERCIAL LTDA,Classificado,63000.0,15.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,SALVADOR DO SUL,0,23143410000197,RS_OTHER,24024.0,162.2378
8,T02,"FIO PLASTICHUMBO EM COBRE 2 X 2,5 MM 450/750V - NORMA ABNT.",4200,9,11175931000147,MASTERFER COMERCIO DE FERRAGENS LTDA,Classificado,42000000.0,10000.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ERECHIM,0,23143410000197,RS_OTHER,24024.0,174725.1748
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",2500,1,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,Arrematante,30000.0,12.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ALEGRETE,0,17379156000128,RS_OTHER,30000.0,0.0
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",2500,2,50246619000159,D33D COMERCIO LTDA,Classificado,32450.0,12.98,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,RJ,NOVA FRIBURGO,0,17379156000128,RS_OTHER,30000.0,8.1667
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",2500,3,32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO EIRELI,Classificado,42475.0,16.99,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SP,SAO PAULO,0,17379156000128,RS_OTHER,30000.0,41.5833
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",2500,4,05117514000145,Instalart Materiais Elétricos LTDA,Classificado,47500.0,19.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ESPUMOSO,0,17379156000128,RS_OTHER,30000.0,58.3333
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",2500,5,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,Classificado,48000.0,19.2,LOCAL_EXACT_ACTIVE,SAO_BORJA,RS,SAO BORJA,2,17379156000128,RS_OTHER,30000.0,60.0
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",2500,6,21867049000116,USIFER - TERMO CONEXOES LTDA,Classificado,49125.0,19.65,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,MG,POCOS DE CALDAS,0,17379156000128,RS_OTHER,30000.0,63.75
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",2500,7,01189295000159,Ricardo Ferreira de Carvalho,Classificado,75000.0,30.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PORTO ALEGRE,0,17379156000128,RS_OTHER,30000.0,150.0
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",2500,8,39538437000119,UTILAR COMERCIO DE FERRAGEM LTDA,Classificado,212350.0,84.94,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ITAQUI,0,17379156000128,RS_OTHER,30000.0,607.8333
18,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - AZUL, ATOX",2500,9,11175931000147,MASTERFER COMERCIO DE FERRAGENS LTDA,Classificado,25000000.0,10000.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ERECHIM,0,17379156000128,RS_OTHER,30000.0,83233.3333
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",2500,1,17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,Arrematante,30175.0,12.07,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ALEGRETE,0,17379156000128,RS_OTHER,30175.0,0.0
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",2500,2,50246619000159,D33D COMERCIO LTDA,Classificado,31325.0,12.53,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,RJ,NOVA FRIBURGO,0,17379156000128,RS_OTHER,30175.0,3.8111
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",2500,3,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,Classificado,39950.0,15.98,LOCAL_EXACT_ACTIVE,SAO_BORJA,RS,SAO BORJA,2,17379156000128,RS_OTHER,30175.0,32.3944
