cnpj,nome_participante,geo_tier,uf,municipio,itens_participados,vitorias,classificados_sem_vitoria,desclassificados,win_rate_itens_pct,rank_mediano_classificados,premium_mediano_vs_winner_pct,premium_medio_vs_winner_pct
01189295000159,Ricardo Ferreira de Carvalho,RS_OTHER,RS,PORTO ALEGRE,18,0,17,1,0.0,6,78.4314,103.1382
05117514000145,Instalart Materiais Elétricos LTDA,RS_OTHER,RS,ESPUMOSO,18,1,16,1,5.5556,6,57.4151,87.7627
11175931000147,MASTERFER COMERCIO DE FERRAGENS LTDA,RS_OTHER,RS,ERECHIM,18,0,17,1,0.0,10,150050.1502,186341.907
13338681000144,COMERCIAL SPONCHIADO LTDA,RS_OTHER,RS,FREDERICO WESTPHALEN,1,0,1,0,0.0,2,0.3003,0.3003
17379156000128,JOÃO BATISTA SANCHES SILVA E CIA LTDA,RS_OTHER,RS,ALEGRETE,9,7,1,1,77.7778,1.0,0.0,4.3568
21867049000116,USIFER - TERMO CONEXOES LTDA,OTHER_UF,MG,POCOS DE CALDAS,18,0,17,1,0.0,7,62.8003,100.2123
23143410000197,DFER DISTRIBUIDORA DE FERRAGENS LTDA,RS_OTHER,RS,PELOTAS,4,1,2,1,25.0,2,0.7407,17.8145
28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,SAO_BORJA,RS,SAO BORJA,18,0,15,3,0.0,10,92.7861,184.5124
32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO EIRELI,OTHER_UF,SP,SAO PAULO,15,1,14,0,6.6667,4,40.4308,50.9763
32246085000189,R. BUSETTO & F. KRUGER LTDA,RS_OTHER,RS,ERECHIM,9,1,8,0,11.1111,3,36.4706,51.8792
37683566000175,TIAGO TURCHETTO PESSOTTO,RS_OTHER,RS,TAQUARUCU DO SUL,11,2,9,0,18.1818,2,0.9804,16.6778
39538437000119,UTILAR COMERCIO DE FERRAGEM LTDA,RS_OTHER,RS,ITAQUI,3,0,3,0,0.0,8,800.8947,782.5801
46423434000103,ATRIUM INDUSTRIA E COMERCIO DE FERRAGENS LTDA,RS_OTHER,RS,ERECHIM,1,0,1,0,0.0,13,62.3123,62.3123
47812320000100,CBX COMERCIAL IMPORTADORA LTDA,OTHER_UF,SP,SAO PAULO,3,1,2,0,33.3333,2,1.1494,0.7663
49392317000290,SOLARSERV PC MATERIAIS E SOLUCOES FOTOVOLTAICAS LTDA,OTHER_UF,SC,FLORIANOPOLIS,6,0,5,1,0.0,6,49.6296,49.4904
50246619000159,D33D COMERCIO LTDA,OTHER_UF,RJ,NOVA FRIBURGO,15,2,13,0,13.3333,4,11.8519,39.9222
52299446000162,LUX COMERCIAL LTDA,RS_OTHER,RS,SALVADOR DO SUL,14,0,14,0,0.0,10.5,240.6578,373.3293
55073244000196,KP MATERIAIS ELETRICO E CONSTRUCAO LTDA,OTHER_UF,MT,CUIABA,1,0,1,0,0.0,14,69.0691,69.0691
56004897000186,TRIUNFO ILUMINACAO LTDA,OTHER_UF,GO,GOIANIA,5,0,5,0,0.0,5,41.1765,34.9473
60699174000116,60.699.174 ALANA GABRIELLI SANTOS ARAUJO,RS_OTHER,RS,PORTAO,5,0,5,0,0.0,6,68.2353,87.1488
61772337000101,SOUZA & RICETTI ESTRATEGIA PUBLICA LTDA,OTHER_UF,PR,CURITIBA,1,0,1,0,0.0,6,32.1321,32.1321
64436697000120,ILUMINA GOIAS ILUMINACAO LTDA,OTHER_UF,GO,NEROPOLIS,1,1,0,0,100.0,1,0.0,0.0
