rubrica,territorial_class,vendors,pago_core_R$,share_within_rubric
OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,LOCAL_EXACT_ACTIVE,111,38789223.17,0.7800760721931485
OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,LOCAL_EXACT_NONACTIVE_SNAPSHOT,1,239.0,4.806442769865931e-06
OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,14,7772422.12,0.15630837700008385
OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,89,3158939.41,0.06352829074325962
OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,EXTERNAL_EXACT_NONACTIVE_NO_LOCAL_FOOTPRINT,1,4100.0,8.245362073828584e-05
MATERIAL DE CONSUMO,LOCAL_EXACT_ACTIVE,95,3351609.85,0.3593436116533237
MATERIAL DE CONSUMO,LOCAL_EXACT_NONACTIVE_SNAPSHOT,2,250.0,2.6803806807445367e-05
MATERIAL DE CONSUMO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,10417.11,0.0011168728157276288
MATERIAL DE CONSUMO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,182,5964756.39,0.6395127117241413
"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",LOCAL_EXACT_ACTIVE,6,518685.91,0.1253199463221751
"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,65,3620207.58,0.8746800536778249
EQUIPAMENTOS E MATERIAL PERMANENTE,LOCAL_EXACT_ACTIVE,21,310158.76,0.0940751494261088
EQUIPAMENTOS E MATERIAL PERMANENTE,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,3,151380.91,0.04591578109388344
EQUIPAMENTOS E MATERIAL PERMANENTE,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,85,2829535.84,0.8582346890815862
EQUIPAMENTOS E MATERIAL PERMANENTE,EXTERNAL_EXACT_NONACTIVE_NO_LOCAL_FOOTPRINT,1,5850.0,0.0017743803984215586
OBRAS E INSTALAÇÕES,LOCAL_EXACT_ACTIVE,4,741003.44,0.25938298905086127
OBRAS E INSTALAÇÕES,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,1880196.43,0.6581494007857216
OBRAS E INSTALAÇÕES,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,5,235592.87,0.08246761016341703
OUTROS SERVIÇOS DE TERCEIROS PESSOA JURÍDICA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1315860.88,1.0
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,LOCAL_EXACT_ACTIVE,3,12612.88,0.011096094482441135
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,369620.34,0.3251709534437826
SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,20,754462.22,0.6637329520737763
SERVIÇOS DE CONSULTORIA,LOCAL_EXACT_ACTIVE,1,16000.0,0.10259391398795562
SERVIÇOS DE CONSULTORIA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,3,139954.67,0.8974060860120444
PASSAGENS E DESPESAS COM LOCOMOÇÃO,LOCAL_EXACT_ACTIVE,1,12205.7,0.1412510386361059
PASSAGENS E DESPESAS COM LOCOMOÇÃO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,74205.7,0.8587489613638941
