rank,cnpj,nome_credor,pago_core_R$,share_core,territorial_class,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count,rubricas_core,empenhos_core
1,96488598000189,FUNDACAO IVAN GOULART,28342657.23,0.39343222398923067,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,2,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,41
2,06136424000164,ECO VERDE PRESTAÇÃO DE SERVIÇO DE COLETA,3797003.02,0.052707243732645084,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,02,RS,7309,VILA MARIA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,19
3,02016440000162,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,2493344.23,0.03461079734405749,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,02,RS,8877,SAO LEOPOLDO,5,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,68
4,18728542000140,HIPERTEX SERVICOS DE CONCRETAGEM LTDA,1880196.43,0.02609952401387849,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,02,RS,8847,SANTA ROSA,1,OBRAS E INSTALAÇÕES,9
5,02453554000170,MERCOSERVICE PRESTAÇÃO DE SERVIÇOS LTDA,1404762.24,0.019499891198426402,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,53
6,26994285000117,TOPOCART TOPOGRAFIA ENGENHARIA E AEROLEV,1315860.88,0.01826582695749682,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,DF,9701,BRASILIA,0,OUTROS SERVIÇOS DE TERCEIROS PESSOA JURÍDICA,2
7,44233812000152,ZAGONEL ILUMINACAO S.A.,1221733.83,0.016959223475736918,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,SC,8253,PINHALZINHO,0,MATERIAL DE CONSUMO,1
8,33729746000190,PGR ATERRO SANITARIO E TRATAMENTOS DE RE,1179648.63,0.016375027234055466,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,9
9,76669670000167,TRANSVEPAR TRANSPORTES E VEICULOS PARANÁ,946469.38,0.013138201901442121,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,PR,7535,CURITIBA,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,24
10,43463101000101,ABF DISTRIBUIDORA DE ALIMENTOS LTDA,820642.47,0.01139156394024935,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,1008,NOVO CABRAIS,0,"MATERIAL DE CONSUMO | MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",85
