dimensao,conceito,produto_ncm,menor_geografia_confirmada,janela_periodo,periodicidade_atualizacao,sao_borja_direto,status_evidencia,fonte,uso_sbmi,limitacao
"Demanda interna estadual por produto","INT + OUF + EXT para o consumo do RS; na página Oportunidades a Part. RS usa INT/(INT+OUF+EXT)","NCM 8 dígitos ou Categoria","Rio Grande do Sul","LTM 12 meses vs. 12 meses anteriores","Mensal; mês anterior disponível nos primeiros dias úteis","Não","Confirmado integralmente pela NT CIET 05/2026","Sefaz/RS — NT CIET 05/2026","Dimensionar mercado estadual e dependência por produto","Demanda estadual não é demanda municipal"
"Dependência externa","Classificação conforme participação da indústria gaúcha na demanda estadual: crítica <5%; alta 5%-15%; média 15%-30%","NCM 8 dígitos ou Categoria","Rio Grande do Sul","LTM 12 meses","Mensal","Não","Confirmado integralmente pela NT CIET 05/2026","Sefaz/RS — NT CIET 05/2026","Triagem de produtos em que o RS depende de OUF/EXT","Classificação não prova viabilidade de expansão em São Borja"
"Volume financeiro saindo do RS","Soma das entradas no RS oriundas de OUF e EXT","NCM 8 dígitos ou Categoria","Rio Grande do Sul / origem OUF ou exterior","LTM 12 meses","Mensal","Não","Confirmado integralmente pela NT CIET 05/2026","Sefaz/RS — NT CIET 05/2026","Mensurar compras externas ao estado por produto","Não mede vazamento monetário de São Borja"
"Consumidores nacionais","Estados brasileiros que compram da indústria gaúcha","Setor industrial; drill-down pode exibir NCM/Categoria por UF","Outras UFs","LTM 12 meses","Mensal","Não","Confirmado integralmente pela NT CIET 05/2026","Sefaz/RS — NT CIET 05/2026","Mercados consumidores domésticos da produção gaúcha","Origem produtiva agregada no RS; não identifica unidade de São Borja"
"Fornecedores nacionais","Estados brasileiros que vendem produtos demandados no RS","NCM ou Categoria","Outras UFs","LTM 12 meses","Mensal","Não","Confirmado integralmente pela NT CIET 05/2026","Sefaz/RS — NT CIET 05/2026","Mapear origem interestadual do abastecimento","Não identifica fornecedor empresarial"
"Concorrentes nacionais","Estados cujos produtos disputam o mercado interno gaúcho com a indústria local","Setor industrial","Outras UFs","LTM 12 meses","Mensal","Não","Confirmado integralmente pela NT CIET 05/2026","Sefaz/RS — NT CIET 05/2026","Análise concorrencial territorial por setor","Não equivale a concorrência específica de empresas de São Borja"
"Competitividade RS","Composição da demanda INT/OUF/EXT para portfólio Top 90% de NCMs do setor","Setor; portfólio de NCMs","Rio Grande do Sul","24 meses de valores; market share móvel 12 meses","Mensal","Não","Confirmado integralmente pela NT CIET 05/2026","Sefaz/RS — NT CIET 05/2026","Tendência e sazonalidade do market share da indústria gaúcha","Top 90% exclui NCMs residuais e não deve ser tratado como total bruto do setor"
"Perfil de vendas","Destino das vendas da indústria do RS entre INT, OUF e EXT; detalhamento de OUF e países","Produto/Categoria ou Setor","RS / UF destino / país destino","LTM 12 meses vs. 12 meses anteriores","Mensal","Não","Confirmado integralmente pela NT CIET 05/2026","Sefaz/RS — NT CIET 05/2026","Mapear mercados de destino por produto/setor","Países usam Siscomex; valor financeiro principal usa NFe"
"Composição de mercado","Origem do consumo do RS entre produção interna, compras OUF e importações EXT","NCM/Categoria ou Setor","RS / UF origem / país origem","LTM 12 meses vs. 12 meses anteriores","Mensal","Não","Confirmado integralmente pela NT CIET 05/2026","Sefaz/RS — NT CIET 05/2026","Medir origem da oferta e dependência por produto/setor","Países usam Siscomex; valor financeiro principal usa NFe"
"Dados abertos","Seis bases CSV: Saídas por Setor; Exportações por NCM; Composição de Mercado; Importações por NCM; Portfólio de NCMs por Setor; Categorias de Produtos","Setor e/ou NCM conforme base","Rio Grande do Sul; UF/país conforme base","Mensal nominal; histórico conforme arquivo","Mensal incremental, exceto portfólio substitutivo e categorias ocasional","Não","Confirmado integralmente pela NT CIET 05/2026","Sefaz/RS — NT CIET 05/2026","Caminho preferencial para extração reproduzível","Necessário auditar o schema real dos CSVs, sobretudo a abertura NCM da Composição de Mercado"
"Localização municipal da produção — histórico","Mapas por município observados em material secundário que utilizou versão anterior do Radar","Setor","Município — evidência histórica","2023 em publicação secundária","Não confirmado na versão 2026","Potencialmente, apenas histórico","Não documentado na NT CIET 05/2026; evidência histórica secundária preservada","Publicação acadêmica 2025 / Radar histórico","Referência histórica de territorialização","Não usar como funcionalidade corrente sem validação direta do painel atual"
