pagina_secao,elemento,conceito,fonte_primaria,granularidade,geografia,janela_periodo,unidade_formula,filtros_ou_detalhamento,atualizacao,uso_sbmi,limitacao
"1. Visão Geral","Base principal","NFe complementada por MDIC/Siscomex","NFe + MDIC/Siscomex","Setor industrial e NCM","RS / OUF / exterior","Mês anterior consolidado","Valores fiscais/alfandegários conforme painel","Regime Geral + Simples Nacional","Mensal; primeiros dias úteis","Governança da fonte","Não fornece por si só granularidade municipal"
"2. Oportunidades","Demanda e dependência","Produtos demandados no RS e parcela atendida por indústria gaúcha vs OUF/EXT","NFe","NCM 8 dígitos ou Categoria","Rio Grande do Sul","Últimos 12 meses vs 12 anteriores","Part.RS = INT/(INT+OUF+EXT); valores corrigidos pelo D-ICMS","NCM; Categoria; Dependência; Top registros","Mensal","Priorizar produtos com dependência externa","Demanda estadual não é demanda municipal"
"2. Oportunidades","Dependência crítica","Participação da indústria gaúcha inferior a 5% da demanda estadual","NFe","NCM/Categoria","Rio Grande do Sul","LTM 12 meses","Part.RS < 5%","Filtro Dependência","Mensal","Triagem de oportunidade","Não prova viabilidade local"
"2. Oportunidades","Dependência alta","Participação da indústria gaúcha entre 5% e 15%","NFe","NCM/Categoria","Rio Grande do Sul","LTM 12 meses","5% <= Part.RS < 15%","Filtro Dependência","Mensal","Triagem de oportunidade","Não prova viabilidade local"
"2. Oportunidades","Dependência média","Participação da indústria gaúcha entre 15% e 30%","NFe","NCM/Categoria","Rio Grande do Sul","LTM 12 meses","15% <= Part.RS < 30%","Filtro Dependência","Mensal","Triagem de oportunidade","Acima de 30% não entra nessas três classes"
"2. Oportunidades","Volume financeiro saindo do RS","Compras do RS originadas de OUF + EXT","NFe","NCM/Categoria","RS / OUF / exterior","LTM 12 meses","R$ milhões = OUF + EXT","Drill-down Categoria > NCM","Mensal","Mensurar dependência financeira estadual","Não equivale a fuga de renda municipal"
"3. Mercado Nacional","Consumidores","Estados para os quais a indústria gaúcha vende","NFe","Atividade > Classe > Setor; drill-down UF > NCM/Categoria","OUF","LTM 12 meses","R$; Part.% e variação p.p.","Top Estados; NCM/Categoria","Mensal","Mercados consumidores domésticos","Exterior excluído"
"3. Mercado Nacional","Fornecedores","Estados dos quais o RS compra determinado produto","NFe","NCM/Categoria","OUF","LTM 12 meses","R$; Part.% e variação p.p.","Top Estados; NCM/Categoria","Mensal","Origem interestadual de produtos","Exterior excluído"
"3. Mercado Nacional","Concorrentes","Estados que disputam o mercado interno gaúcho com a indústria do RS","NFe","Atividade > Classe > Setor","OUF","LTM 12 meses","R$; Part.% e variação p.p.","Top Estados","Mensal","Concorrência territorial por setor","Exterior excluído; não identifica empresa"
"4. Competitividade RS","Portfólio Top 90%","NCMs que representam os 90% superiores do volume de vendas do setor","NFe","Setor com portfólio de NCMs","Rio Grande do Sul","Portfólio corrente","Critério Top 90% das saídas","Atividade > Área > Setor","Mensal; portfólio substitutivo","Limpar outliers/resíduos para market share setorial","Resultado não é total bruto de todos os NCMs"
"4. Competitividade RS","Valores mensais","Composição da demanda em INT, OUF e EXT","NFe","Setor","Rio Grande do Sul","24 meses","R$ milhões","Setor(es) selecionado(s)","Mensal","Tendência e sazonalidade","Setorial, sem NCM nesta página"
"4. Competitividade RS","Market share móvel","Participação da produção interna no mercado gaúcho","NFe","Setor","Rio Grande do Sul","12 meses móveis","ΣINT12m / Σ(INT+OUF+EXT)12m","Setor(es) selecionado(s)","Mensal","Competitividade da indústria gaúcha","Baseada no portfólio Top 90%"
"5. Perfil de Vendas","Perfil de saídas","Destino das vendas entre INT, OUF e EXT","NFe + Siscomex para países","Produto/Categoria ou Setor","RS / OUF / país","LTM 12 meses vs 12 anteriores","R$ milhões; Part.%; Variação%; var.p.p.","Tipo de agregação; linha selecionada","Mensal","Mercados de destino","Países usam Siscomex; financeiro da tabela principal usa NFe"
